Country	Male	Female
Afghanistan	..	..
Albania	..	..
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	96.4	98.7
Argentina	..	..
Armenia	91	90.7
Aruba	..	..
Australia	96.1	96.9
Austria	88.1	89.7
Azerbaijan	92.8	92.4
Bahamas, The	73.5	75.3
Bahrain	99	97.2
Bangladesh	..	..
Barbados	99.2	97.5
Belarus	95.3	95.1
Belgium	99	99.2
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	89.4	90.8
Bolivia	93.3	93.1
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	..	..
Brunei Darussalam	..	..
Bulgaria	88	88.1
Burkina Faso	80.2	78.4
Burundi	92	94.8
Cabo Verde	94.4	92.6
Cambodia	90.7	90.6
Cameroon	97	88.7
Canada	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	82.6	64.3
Channel Islands	..	..
Chile	94.8	94.8
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	96.4	96.4
Colombia	97.3	98.2
Comoros	81.8	81.7
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	96.6	96.5
Cote d'Ivoire	97.6	89.7
Croatia	..	..
Cuba	98	97.7
Curacao	..	..
Cyprus	97.4	98.2
Czech Republic	..	..
Denmark	..	..
Djibouti	61.4	62.9
Dominica	..	..
Dominican Republic	93.7	94.1
Ecuador	..	..
Egypt, Arab Rep.	..	..
El Salvador	81.1	82.1
Equatorial Guinea	..	..
Eritrea	54.2	49.4
Estonia	93.4	94.6
Eswatini	82.7	82.5
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	98.6	98.8
France	99.1	99.7
French Polynesia	..	..
Gabon	..	..
Gambia, The	78	85.7
Georgia	97.7	98.3
Germany	89.8	91.5
Ghana	84.4	85.6
Greece	98	98.5
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	88.9	89.5
Guinea	85.4	70.6
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	79.6	81.4
Hungary	96.4	96.6
Iceland	99.6	99.5
India	..	..
Indonesia	96.6	92
Iran, Islamic Rep.	..	..
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	97.3	97.1
Jamaica	81	81.8
Japan	..	..
Jordan	81.6	80.3
Kazakhstan	..	..
Kenya	..	..
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	97.6	97.5
Kosovo	..	..
Kuwait	84.1	93
Kyrgyz Republic	..	..
Lao PDR	92.3	90.6
Latvia	96.4	97.8
Lebanon	..	..
Lesotho	90.5	91.9
Liberia	44.4	44.7
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	..	..
Malawi	..	..
Malaysia	..	..
Maldives	94.5	96.4
Mali	62	55.8
Malta	..	..
Marshall Islands	72.9	76.2
Mauritania	79.2	81.4
Mauritius	..	..
Mexico	..	..
Micronesia, Fed. Sts.	..	..
Moldova	89.5	90.1
Monaco	..	..
Mongolia	..	..
Montenegro	95.8	96.6
Morocco	96.9	97
Mozambique	95.4	92.5
Myanmar	..	..
Namibia	..	..
Nepal	..	..
Netherlands	98.6	99.5
New Caledonia	..	..
New Zealand	98.2	98.9
Nicaragua	..	..
Niger	71.3	58.3
Nigeria	..	..
North Macedonia	95.7	95.8
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	73.9	62.1
Palau	..	..
Panama	87.1	86.5
Papua New Guinea	78.1	72.8
Paraguay	..	..
Peru	..	..
Philippines	94.9	95.2
Poland	97	97.3
Portugal	98.1	97.4
Puerto Rico	77.3	80.4
Qatar	97	99.5
Romania	85.6	85.8
Russian Federation	96.7	98
Rwanda	95	95.5
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	94	94
Saudi Arabia	95.2	95
Senegal	72.3	80.8
Serbia	98	98.4
Seychelles	..	..
Sierra Leone	..	..
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	82.2	84.2
Slovenia	..	..
Solomon Islands	67.1	67.8
Somalia	..	..
South Africa	90.3	94.7
South Sudan	..	..
Spain	97	97.7
Sri Lanka	..	..
St. Kitts and Nevis	..	..
St. Lucia	97.1	99.5
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	62.4	61
Suriname	84.4	87.7
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	98.3	97.1
Tanzania	80.6	84.1
Thailand	..	..
Timor-Leste	94.1	96.7
Togo	97.2	92.2
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	..	..
Turkey	95.2	94.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	91.3	84.3
Uganda	..	..
Ukraine	..	..
United Arab Emirates	..	..
United Kingdom	99.7	99.4
United States	95.6	95.5
Uruguay	..	..
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	89.6	89.7
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	97	97.3
Yemen, Rep.	89.7	78.9
Zambia	83.2	87
Zimbabwe	..	..
World	91.5	89.5
East Asia & Pacific	96.4	95.6
Europe & Central Asia	95.7	96.5
Latin America & Caribbean	94.6	95.3
Middle East & North Africa	..	..
North America	96.2	95.6
South Asia	92.6	90.7
Sub-Saharan Africa	80.8	76.1
Low income	83	78.1
Lower middle income	90.2	87.5
Upper middle income	96.1	96.2
High income	96.2	96.4
