Country	Reference Year	Crude rate Marriage	Crude rate Divorce	Actual Ratio	Percent Ratio
Albania	2016	7.8	1.9	4.11	24.36
Algeria	2013	10.1	1.6	6.31	15.84
Armenia	2011	6.0	1.0	6	16.67
Australia	2017	4.6	2.0	2.3	43.48
Austria	2016	5.1	1.8	2.83	35.29
Azerbaijan	2011	9.7	1.5	6.47	15.46
Bahamas	2007	6.1	1.0	6.1	16.39
Belarus	2011	9.2	4.1	2.24	44.57
Belgium	2016	3.9	2.1	1.86	53.85
Bermuda	2009	10.6	2.7	3.93	25.47
Bosnia and Herzegovina	2012	4.8	0.6	8	12.5
Brazil	2009	6.6	1.4	4.71	21.21
Bulgaria	2015	3.8	1.5	2.53	39.47
Canada	2008	4.4	2.1	2.1	47.73
Chile	2009	3.3	0.7	4.71	21.21
China	2018	7.2	3.2	2.25	44.44
Colombia	2007	2.3	0.7	3.29	30.43
Costa Rica	2010	5.3	2.5	2.12	47.17
Croatia	2016	4.9	1.7	2.88	34.69
Cuba	2010	5.2	2.9	1.79	55.77
Cyprus	2016	7.5	2.3	3.26	30.67
Czech Republic	2016	4.8	2.4	2	50
Denmark	2016	5.4	3.0	1.8	55.56
Dominican Republic	2010	4.4	1.8	2.44	40.91
Ecuador	2006	5.6	1.1	05.09	19.64
Egypt	2010	11.0	1.9	5.79	17.27
El Salvador	2006	3.5	0.8	4.38	22.86
Estonia	2016	5.2	2.6	2	50
EU	2017	4.4	2	2.2	45.45
Finland	2016	4.5	2.5	1.8	55.56
France	2016	3.5	1.9	1.84	54.29
Georgia	2011	6.9	1.3	5.31	18.84
Germany	2016	5.0	2.0	2.5	40
Gibraltar	2010	6.7	3.2	02.09	47.76
Grenada	2001	5.0	1.1	4.55	22
Greece	2016	4.6	1.0	4.6	21.74
Guatemala	2008	3.8	1.2	3.17	31.58
Hungary	2016	5.3	2.0	2.65	37.74
Iceland	2010	4.9	1.8	2.72	36.73
Iran	2017	11.2	1.6	7	14.29
Ireland	2015	4.7	0.7	6.71	14.89
Israel	(2009)[citation needed]	6.5	1.8	3.61	27.69
Italy	2016	3.4	1.6	2.13	47.06
Jamaica	2011	7.5	1.5	5	20
Japan	2019	4.8	1.7	2.82	35.42
Jordan	2010	10.2	2.6	3.92	25.49
Kazakhstan	2008	8.6	2.3	3.74	26.74
Kuwait	2010	5.2	2.2	2.36	42.31
Kyrgyzstan	2010	9.7	1.6	06.06	16.49
Latvia	2016	6.6	3.1	2.13	46.97
Lebanon	2007	9.5	1.6	5.94	16.84
Libya	2008	10.8	2.5	4.32	23.15
Liechtenstein	2010	5.0	2.4	02.08	48
Lithuania	2016	7.4	3.1	2.39	41.89
Luxembourg	2016	3.2	2.1	1.52	65.63
Malta	2016	6.7	0.8	8.38	11.94
Mauritius	2010	8.2	1.4	5.86	17.07
Mexico	2009	5.2	0.9	5.78	17.31
Moldova	2011	7.3	3.1	2.35	42.47
Mongolia	2010	3.4	1.1	03.09	32.35
Montenegro	2016	5.1	1.1	4.64	21.57
Netherlands	2016	3.8	2.0	1.9	52.63
New Zealand	2008	4.8	2.0	2.4	41.67
Nicaragua	2005	4.5	0.8	5.63	17.78
North Macedonia	2016	6.4	1.0	6.4	15.63
Norway	2016	4.5	1.9	2.37	42.22
Panama	2010	3.7	1.0	3.7	27.03
Poland	2016	5.1	1.7	3	33.33
Portugal	2016	3.1	2.2	1.41	70.97
Qatar	2011	3.3	1.1	3	33.33
Romania	2016	6.8	1.5	4.53	22.06
Russia	2011	9.2	4.8	1.92	52.17
Saint Lucia	2004	2.8	0.7	4	25
Saint Vincent and the Grenadines	2007	5.8	0.8	7.25	13.79
San Marino	2011	6.1	2.5	2.44	40.98
Saudi Arabia	2005	5.2	1.1	4.73	21.15
Serbia	2016	5.1	1.3	3.92	25.49
Seychelles	2011	17.4	1.9	9.16	10.92
Singapore	2015	6.8	1.9	3.58	27.94
Slovakia	2016	5.5	1.7	3.24	30.91
Slovenia	2016	3.2	1.2	2.67	37.5
South Africa	2009	3.5	0.6	5.83	17.14
South Korea	2019	4.7	2.2	2.14	46.81
Spain	2016	3.7	2.1	1.76	56.76
Sri Lanka			0.15		
Suriname	2007	4.2	1.3	3.23	30.95
Sweden	2016	5.4	2.4	2.25	44.44
Switzerland	2016	5.0	2.0	2.5	40
Syria	2006	10.6	1.3	8.15	12.26
Taiwan	2018	5.7	2.3	2.48	40.35
Tajikistan	2009	13.5	1.4	9.64	10.37
Thailand	2005	5.5	1.4	3.93	25.45
Tonga	2003	7.1	1.2	5.92	16.9
Trinidad and Tobago	2005	6.3	2.2	2.86	34.92
Tunisia	2016				
Turkey	2016	7.5	1.6	4.69	21.33
Ukraine	2010	6.7	2.8	2.39	41.79
United Arab Emirates	2005	2.8	0.7	4	25
United Kingdom	2015	4.4	1.8	2.44	40.91
United States	2017	6.5	2.9	2.24	44.62
Uruguay	2010	3.2			
Uzbekistan	2006	7.8	1.1	07.09	14.1
Venezuela	2006	3.3	1.2	2.75	36.36
Vietnam	2015	5.7	0.4	14.25	07.02
