Country	Expenditure % (2010)	Expenditure % (2018)
Afghanistan	0	1
Albania	5	5
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	1	3
Antigua and Barbuda	..	..
Argentina	..	5
Armenia	20	15
Aruba	..	..
Australia	9	8
Austria	6	5
Azerbaijan	36	32
Bahamas, The	5	11
Bahrain	..	..
Bangladesh	9	7
Barbados	2	2
Belarus	7	3
Belgium	3	2
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	10	30
Bolivia	7	..
Bosnia and Herzegovina	5	8
Botswana	..	8
Brazil	2	2
Brunei Darussalam	..	..
Bulgaria	4	5
Burkina Faso	21	8
Burundi	..	..
Cabo Verde	4	3
Cambodia	7	8
Cameroon	8	0
Canada	5	5
Cayman Islands	..	..
Central African Republic	0	24
Chad	..	..
Channel Islands	..	..
Chile	23	32
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	36	21
Colombia	18	8
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	13	13
Costa Rica	12	13
Cote d'Ivoire	15	8
Croatia	4	3
Cuba	..	..
Curacao	..	..
Cyprus	5	5
Czech Republic	7	7
Denmark	4	4
Djibouti	..	..
Dominica	..	..
Dominican Republic	5	11
Ecuador	..	..
Egypt, Arab Rep.	8	7
El Salvador	12	14
Equatorial Guinea	..	23
Eritrea	..	..
Estonia	10	9
Eswatini	..	..
Ethiopia	0	12
Faroe Islands	..	..
Fiji	7	8
Finland	5	5
France	3	3
French Polynesia	..	..
Gabon	3	2
Gambia, The	..	..
Georgia	11	12
Germany	8	4
Ghana	12	5
Greece	5	6
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	12	6
Guinea	..	..
Guinea-Bissau	..	1
Guyana	..	..
Haiti	..	..
Honduras	20	26
Hungary	9	14
Iceland	18	11
India	1	0
Indonesia	2	11
Iran, Islamic Rep.	14	..
Iraq	..	1
Ireland	1	3
Isle of Man	..	..
Israel	10	10
Italy	3	3
Jamaica	..	..
Japan	12	10
Jordan	2	4
Kazakhstan	2	2
Kenya	..	16
Kiribati	2	7
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	15	8
Kosovo	..	..
Kuwait	19	19
Kyrgyz Republic	..	0
Lao PDR	..	..
Latvia	18	13
Lebanon	2	2
Lesotho	13	5
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	5	7
Luxembourg	3	4
Madagascar	4	1
Malawi	1	0
Malaysia	1	0
Maldives	..	..
Mali	15	3
Malta	5	5
Marshall Islands	9	13
Mauritania	..	..
Mauritius	10	11
Mexico	8	4
Micronesia, Fed. Sts.	11	21
Moldova	5	2
Monaco	..	..
Mongolia	7	1
Montenegro	..	..
Morocco	15	7
Mozambique	6	1
Myanmar	17	2
Namibia	0	0
Nepal	1	0
Netherlands	5	6
New Caledonia	..	..
New Zealand	13	13
Nicaragua	5	7
Niger	..	..
Nigeria	..	..
North Macedonia	4	2
Northern Mariana Islands	..	..
Norway	8	10
Oman	..	..
Pakistan	..	..
Palau	33	23
Panama	..	..
Papua New Guinea	..	1
Paraguay	8	5
Peru	8	8
Philippines	3	1
Poland	4	4
Portugal	4	4
Puerto Rico	..	..
Qatar	..	..
Romania	4	4
Russian Federation	9	7
Rwanda	..	7
Samoa	5	4
San Marino	8	6
Sao Tome and Principe	..	..
Saudi Arabia	13	17
Senegal	..	13
Serbia	1	..
Seychelles	9	4
Sierra Leone	..	..
Singapore	..	20
Sint Maarten (Dutch part)	..	..
Slovak Republic	6	6
Slovenia	4	4
Solomon Islands	5	1
Somalia	..	0
South Africa	3	3
South Sudan	..	..
Spain	8	8
Sri Lanka	11	..
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	4
Sudan	..	..
Suriname	..	..
Sweden	12	11
Switzerland	9	10
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	2	2
Thailand	0	5
Timor-Leste	21	15
Togo	4	5
Tonga	3	6
Trinidad and Tobago	8	2
Tunisia	12	..
Turkey	7	14
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	17
Ukraine	4	2
United Arab Emirates	18	6
United Kingdom	10	9
United States	8	6
Uruguay	10	9
Uzbekistan	..	28
Vanuatu	2	4
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	11	2
Yemen, Rep.	..	..
Zambia	1	1
Zimbabwe	2	2
World	7	6
East Asia & Pacific	7	8
Europe & Central Asia	5	5
Latin America & Caribbean	9	8
Middle East & North Africa	8	6
North America	6	5
South Asia	1	0
Sub-Saharan Africa	..	5
Low income	..	..
Lower middle income	8	2
Upper middle income	5	5
High income	8	6
