Country	Imports (1990)	Imports (2015)
Afghanistan	..	..
Albania	8	14
Algeria	-351	-177
American Samoa	..	..
Andorra	..	..
Angola	-387	-541
Antigua and Barbuda	..	..
Argentina	-5	13
Armenia	98	71
Aruba	..	..
Australia	-82	-190
Austria	67	64
Azerbaijan	8	-310
Bahamas, The	..	..
Bahrain	-173	-62
Bangladesh	16	17
Barbados	..	..
Belarus	93	87
Belgium	73	80
Belize	..	..
Benin	-7	47
Bermuda	..	..
Bhutan	..	..
Bolivia	-89	-178
Bosnia and Herzegovina	34	23
Botswana	29	44
Brazil	26	12
Brunei Darussalam	-806	-357
Bulgaria	66	37
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	33
Cameroon	-120	-28
Canada	-31	-73
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	43	65
China	-1	15
Hong Kong SAR, China	99	99
Macao SAR, China	..	..
Colombia	-99	-274
Comoros	..	..
Congo, Dem. Rep.	-2	2
Congo, Rep.	-1011	-497
Costa Rica	59	50
Cote d'Ivoire	22	7
Croatia	40	46
Cuba	57	50
Curacao	100	100
Cyprus	100	94
Czech Republic	17	32
Denmark	42	2
Djibouti	..	..
Dominica	..	..
Dominican Republic	76	87
Ecuador	-159	-115
Egypt, Arab Rep.	-70	-7
El Salvador	31	49
Equatorial Guinea	..	..
Eritrea	19	22
Estonia	45	-3
Eswatini	..	..
Ethiopia	4	6
Faroe Islands	..	..
Fiji	..	..
Finland	57	45
France	50	44
French Polynesia	..	..
Gabon	-1138	-213
Gambia, The	..	..
Georgia	84	69
Germany	47	61
Ghana	17	-8
Greece	57	64
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	23	33
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	20	22
Honduras	29	53
Hungary	49	58
Iceland	29	12
India	8	34
Indonesia	-71	-103
Iran, Islamic Rep.	-171	-33
Iraq	-451	-229
Ireland	65	86
Isle of Man	..	..
Israel	96	65
Italy	83	76
Jamaica	83	82
Japan	83	93
Jordan	95	97
Kazakhstan	-24	-117
Kenya	18	17
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	13	-75
Korea, Rep.	76	81
Kosovo	..	27
Kuwait	-453	-391
Kyrgyz Republic	67	50
Lao PDR	..	..
Latvia	86	45
Lebanon	93	98
Lesotho	..	..
Liberia	..	..
Libya	-555	-103
Liechtenstein	..	..
Lithuania	69	75
Luxembourg	99	96
North Macedonia	49	52
Madagascar	..	..
Malawi	..	..
Malaysia	-122	-6
Maldives	..	..
Mali	..	..
Malta	100	98
Marshall Islands	..	..
Mauritania	..	..
Mauritius	55	85
Mexico	-58	-5
Micronesia, Fed. Sts.	..	..
Moldova	99	90
Monaco	..	..
Mongolia	20	-168
Montenegro	..	28
Morocco	81	91
Mozambique	5	-55
Myanmar	0	-33
Namibia	55	74
Nepal	5	17
Netherlands	8	35
New Caledonia	..	..
New Zealand	10	19
Nicaragua	30	41
Niger	..	-6
Nigeria	-120	-93
Northern Mariana Islands	..	..
Norway	-467	-581
Oman	-808	-206
Pakistan	20	24
Palau	..	..
Panama	59	81
Papua New Guinea	..	..
Paraguay	-49	-37
Peru	-9	-15
Philippines	40	46
Poland	-1	29
Portugal	80	77
Puerto Rico	..	..
Qatar	-324	-399
Romania	34	17
Russian Federation	-47	-84
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	-535	-192
Senegal	43	53
Serbia	30	29
Seychelles	..	..
Sierra Leone	..	..
Singapore	99	98
Sint Maarten (Dutch part)	..	..
Slovak Republic	75	61
Slovenia	46	49
Solomon Islands	..	..
Somalia	..	..
South Africa	-26	-14
South Sudan	..	-1058
Spain	62	71
Sri Lanka	24	50
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	17	-9
Suriname	..	-44
Sweden	37	25
Switzerland	58	50
Syrian Arab Republic	-113	48
Tajikistan	62	36
Tanzania	7	11
Thailand	37	42
Timor-Leste	..	..
Togo	17	20
Tonga	..	..
Trinidad and Tobago	-111	-103
Tunisia	-16	36
Turkey	51	75
Turkmenistan	-317	-192
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	46	27
United Arab Emirates	-440	-184
United Kingdom	-1	35
United States	14	7
Uruguay	49	44
Uzbekistan	17	-26
Vanuatu	..	..
Venezuela, RB	-266	-179
Vietnam	-2	-15
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	-273	-121
Zambia	9	8
Zimbabwe	8	15
World	-3	21
East Asia & Pacific	18	45
Europe & Central Asia	12	43
Latin America & Caribbean	-35	7
Middle East & North Africa	-290	65
North America	9	-2
South Asia	10	33
Sub-Saharan Africa	-53	-49
Low income	-7	-9
Lower middle income	-2	4
Upper middle income	-33	28
High income	15	21
