Country	Land area
Afghanistan	652.9
Albania	27.4
Algeria	2381.7
American Samoa	0.2
Andorra	0.5
Angola	1.7
Antigua and Barbuda	0.4
Argentina	2736.7
Armenia	28.5
Aruba	0.2
Australia	7692
Austria	82.5
Azerbaijan	82.7
Bahamas, The	10
Bahrain	0.8
Bangladesh	130.2
Barbados	0.4
Belarus	203
Belgium	30.3
Belize	22.8
Benin	112.8
Bermuda	0.1
Bhutan	38.1
Bolivia	1083.3
Bosnia and Herzegovina	51.2
Botswana	566.7
Brazil	8358.1
Brunei Darussalam	5.3
Bulgaria	108.6
Burkina Faso	273.6
Burundi	25.7
Cabo Verde	4
Cambodia	176.5
Cameroon	472.7
Canada	1.5
Cayman Islands	0.2
Central African Republic	623
Chad	1.2
Channel Islands	0.2
Chile	743.5
China	9388.2
Hong Kong SAR, China	1.1
Macao SAR, China	0
Colombia	1109.5
Comoros	1.9
Congo, Dem. Rep.	1.1
Congo, Rep.	341.5
Costa Rica	51.1
Cote d'Ivoire	318
Croatia	56
Cuba	104
Curacao	0.4
Cyprus	9.2
Czech Republic	77.2
Denmark	42
Djibouti	23.2
Dominica	0.8
Dominican Republic	48.3
Ecuador	248.4
Egypt, Arab Rep.	995.5
El Salvador	20.7
Equatorial Guinea	28.1
Eritrea	101
Estonia	43.5
Eswatini	17.2
Ethiopia	1000
Faroe Islands	1.4
Fiji	18.3
Finland	303.9
France	547.6
French Polynesia	3.7
Gabon	257.7
Gambia, The	10.1
Georgia	69.5
Germany	349.4
Ghana	227.5
Greece	128.9
Greenland	410.5
Grenada	0.3
Guam	0.5
Guatemala	107.2
Guinea	245.7
Guinea-Bissau	28.1
Guyana	196.9
Haiti	27.6
Honduras	111.9
Hungary	90.5
Iceland	100.3
India	2973.2
Indonesia	1811.6
Iran, Islamic Rep.	1628.8
Iraq	434.1
Ireland	68.9
Isle of Man	0.6
Israel	21.6
Italy	294.1
Jamaica	10.8
Japan	364.6
Jordan	88.8
Kazakhstan	1.7
Kenya	569.1
Kiribati	0.8
Korea, Dem. Peopleâ€™s Rep.	120.4
Korea, Rep.	97.5
Kosovo	10.9
Kuwait	17.8
Kyrgyz Republic	191.8
Lao PDR	230.8
Latvia	62.2
Lebanon	10.2
Lesotho	30.4
Liberia	96.3
Libya	1759.5
Liechtenstein	0.2
Lithuania	62.6
Luxembourg	2.4
North Macedonia	25.2
Madagascar	581.8
Malawi	94.3
Malaysia	328.6
Maldives	0.3
Mali	1.2
Malta	0.3
Marshall Islands	0.2
Mauritania	1030.7
Mauritius	2
Mexico	1944
Micronesia, Fed. Sts.	0.7
Moldova	32.9
Monaco	0
Mongolia	1.6
Montenegro	13.5
Morocco	446.3
Mozambique	786.4
Myanmar	653.1
Namibia	823.3
Nepal	143.4
Netherlands	33.7
New Caledonia	18.3
New Zealand	263.3
Nicaragua	120.3
Niger	1.7
Nigeria	910.8
Northern Mariana Islands	0.5
Norway	365.1
Oman	309.5
Pakistan	770.9
Palau	0.5
Panama	74.3
Papua New Guinea	452.9
Paraguay	397.3
Peru	1280
Philippines	298.2
Poland	306.2
Portugal	91.6
Puerto Rico	8.9
Qatar	11.6
Romania	230.1
Russian Federation	16376.9
Rwanda	24.7
Samoa	2.8
San Marino	0.1
Sao Tome and Principe	1
Saudi Arabia	2149.7
Senegal	192.5
Serbia	87.5
Seychelles	0.5
Sierra Leone	72.2
Singapore	0.7
Sint Maarten (Dutch part)	0
Slovak Republic	48.1
Slovenia	20.1
Solomon Islands	28
Somalia	627.3
South Africa	1213.1
South Sudan	..
Spain	499.6
Sri Lanka	62.7
St. Kitts and Nevis	0.3
St. Lucia	0.6
St. Martin (French part)	0.1
St. Vincent and the Grenadines	0.4
Sudan	..
Suriname	156
Sweden	407.3
Switzerland	39.5
Syrian Arab Republic	183.6
Tajikistan	138.8
Tanzania	885.8
Thailand	510.9
Timor-Leste	14.9
Togo	54.4
Tonga	0.7
Trinidad and Tobago	5.1
Tunisia	155.4
Turkey	769.6
Turkmenistan	469.9
Turks and Caicos Islands	1
Tuvalu	0
Uganda	200.5
Ukraine	579.3
United Arab Emirates	71
United Kingdom	241.9
United States	9147.4
Uruguay	175
Uzbekistan	425.4
Vanuatu	12.2
Venezuela, RB	882.1
Vietnam	310.1
Virgin Islands (U.S.)	0.4
West Bank and Gaza	6
Yemen, Rep.	528
Zambia	743.4
Zimbabwe	386.9
World	127354.6
East Asia & Pacific	24396.7
Europe & Central Asia	27440.1
Latin America & Caribbean	20039.4
Middle East & North Africa	11223.5
North America	18241
South Asia	4771.6
Sub-Saharan Africa	21242.4
Low income	12509.5
Lower middle income	21916.5
Upper middle income	57551.1
High income	35377.6
