Country	To export	To import
Afghanistan	..	..
Albania	10	14
Algeria	4	5
American Samoa	..	..
Andorra	..	..
Angola	14	14
Antigua and Barbuda	..	..
Argentina	4	5
Armenia	7	..
Aruba	..	..
Australia	1	1
Austria	2	3
Azerbaijan	3	2
Bahamas, The	1	2
Bahrain	1	1
Bangladesh	4	5
Barbados	..	..
Belarus	2	2
Belgium	2	3
Belize	..	..
Benin	14	10
Bermuda	..	..
Bhutan	..	..
Bolivia	3	6
Bosnia and Herzegovina	1	3
Botswana	..	..
Brazil	5	5
Brunei Darussalam	1	1
Bulgaria	2	2
Burkina Faso	5	2
Burundi	18	15
Cabo Verde	..	..
Cambodia	3	4
Cameroon	5	6
Canada	4	5
Cayman Islands	..	..
Central African Republic	..	..
Chad	22	24
Channel Islands	..	..
Chile	3	3
China	2	6
Hong Kong SAR, China	3	2
Macao SAR, China	..	..
Colombia	2	5
Comoros	..	..
Congo, Dem. Rep.	8	7
Congo, Rep.	18	12
Costa Rica	3	4
Cote d'Ivoire	4	4
Croatia	2	3
Cuba	6	7
Curacao	..	..
Cyprus	1	1
Czech Republic	7	5
Denmark	3	3
Djibouti	2	3
Dominica	..	..
Dominican Republic	4	4
Ecuador	1	3
Egypt, Arab Rep.	2	5
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	2	2
Ethiopia	60	10
Faroe Islands	..	..
Fiji	..	..
Finland	2	3
France	2	3
French Polynesia	..	..
Gabon	25	25
Gambia, The	1	1
Georgia	2	2
Germany	2	2
Ghana	1	1
Greece	3	3
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	4	5
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	2	2
Honduras	4	7
Hungary	1	3
Iceland	1	1
India	3	3
Indonesia	2	4
Iran, Islamic Rep.	3	5
Iraq	39	7
Ireland	2	2
Isle of Man	..	..
Israel	1	2
Italy	3	4
Jamaica	3	3
Japan	2	3
Jordan	2	7
Kazakhstan	10	3
Kenya	4	4
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2	3
Kosovo	..	..
Kuwait	2	3
Kyrgyz Republic	1	2
Lao PDR	2	2
Latvia	1	1
Lebanon	1	1
Lesotho	..	..
Liberia	7	7
Libya	11	4
Liechtenstein	..	..
Lithuania	2	2
Luxembourg	2	2
North Macedonia	1	2
Madagascar	1	1
Malawi	4	14
Malaysia	2	2
Maldives	6	9
Mali	..	..
Malta	1	1
Marshall Islands	..	..
Mauritania	13	32
Mauritius	1	2
Mexico	5	5
Micronesia, Fed. Sts.	..	..
Moldova	25	32
Monaco	..	..
Mongolia	4	4
Montenegro	7	12
Morocco	2	3
Mozambique	3	5
Myanmar	3	4
Namibia	3	4
Nepal	1	2
Netherlands	2	1
New Caledonia	..	..
New Zealand	..	..
Nicaragua	8	8
Niger	1	12
Nigeria	3	2
Northern Mariana Islands	..	..
Norway	1	2
Oman	2	2
Pakistan	4	8
Palau	..	..
Panama	3	2
Papua New Guinea	2	2
Paraguay	3	..
Peru	2	4
Philippines	1	2
Poland	1	1
Portugal	3	3
Puerto Rico	..	..
Qatar	10	7
Romania	2	2
Russian Federation	3	5
Rwanda	2	3
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	4	5
Senegal	1	7
Serbia	2	2
Seychelles	..	..
Sierra Leone	..	..
Singapore	2	2
Sint Maarten (Dutch part)	..	..
Slovak Republic	2	3
Slovenia	1	3
Solomon Islands	..	..
Somalia	..	..
South Africa	3	3
South Sudan	..	..
Spain	2	3
Sri Lanka	6	4
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	11	12
Suriname	..	..
Eswatini	..	..
Sweden	1	3
Switzerland	3	2
Syrian Arab Republic	1	5
Tajikistan	14	14
Tanzania	4	4
Thailand	4	5
Timor-Leste	..	..
Togo	2	3
Tonga	..	..
Trinidad and Tobago	7	7
Tunisia	4	5
Turkey	3	3
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	3	14
Ukraine	3	2
United Arab Emirates	2	2
United Kingdom	2	3
United States	2	2
Uruguay	4	3
Uzbekistan	16	3
Vanuatu	..	..
Venezuela, RB	15	12
Vietnam	2	3
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	3	7
Zambia	9	6
Zimbabwe	5	10
World	4.4	4
East Asia & Pacific	1.9	2.7
Europe & Central Asia	3.2	2.9
Latin America & Caribbean	4.5	5.2
Middle East & North Africa	3.2	3.8
North America	3	3.5
South Asia	3.5	4.3
Sub-Saharan Africa	9.3	6.8
Low income	13.4	7.7
Lower middle income	4.6	4.1
Upper middle income	4.8	5.5
High income	2.4	2.6
