Country	average annual (1990-2000)	average annual (2000-2019)
Afghanistan	..	..
Albania	..	-1.8
Algeria	17.4	7.4
American Samoa	..	..
Andorra	..	..
Angola	..	-1.3
Antigua and Barbuda	..	..
Argentina	7.4	-0.9
Armenia	0.1	-1.4
Aruba	..	..
Australia	5.2	0.5
Austria	2.5	2.5
Azerbaijan	41.7	..
Bahamas, The	9.8	0.8
Bahrain	..	6.5
Bangladesh	8.6	8.8
Barbados	..	..
Belarus	-7.5	-3.1
Belgium	2.5	2.7
Belize	4.2	6.5
Benin	5	14.3
Bermuda	..	..
Bhutan	..	1.8
Bolivia	8.5	7.8
Bosnia and Herzegovina	..	6
Botswana	4.6	1.9
Brazil	3.8	-3.4
Brunei Darussalam	1.2	2.6
Bulgaria	33.1	1.3
Burkina Faso	3.1	8.2
Burundi	..	-4
Cabo Verde	..	-0.2
Cambodia	10.3	9.8
Cameroon	1	6
Canada	4.3	0.5
Cayman Islands	..	..
Central African Republic	..	6.9
Chad	..	-8
Channel Islands	..	..
Chile	9.7	1
China	7.7	6.7
Hong Kong SAR, China	4.8	0.9
Macao SAR, China	-3.2	4.1
Colombia	3.9	3.7
Comoros	1.6	9.9
Congo, Dem. Rep.	1.7	8.6
Congo, Rep.	2.2	-9.1
Costa Rica	7.1	3.3
Cote d'Ivoire	..	17.2
Croatia	6.2	3.8
Cuba	-7.8	5.5
Curacao	..	..
Cyprus	-3.9	0.5
Czech Republic	5.2	2.7
Denmark	5.3	4.5
Djibouti	..	..
Dominica	..	..
Dominican Republic	14.2	6.5
Ecuador	-0.6	0.6
Egypt, Arab Rep.	6.7	4.7
El Salvador	6.3	3
Equatorial Guinea	..	-19
Eritrea	19.3	..
Estonia	12.4	6
Eswatini	-4.4	4.8
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	3.6	1.6
France	1.8	2.2
French Polynesia	..	..
Gabon	3	1.9
Gambia, The	..	7.4
Georgia	..	8.3
Germany	1.1	2.1
Ghana	..	5.4
Greece	3.5	-4.1
Greenland	..	-7.8
Grenada	..	..
Guam	..	..
Guatemala	7.2	1.9
Guinea	..	12.1
Guinea-Bissau	..	4.6
Guyana	..	16
Haiti	7.3	4.3
Honduras	7.5	4
Hungary	9.3	4.4
Iceland	6.1	10.1
India	7.3	4.6
Indonesia	-1.4	5.5
Iran, Islamic Rep.	-0.4	-3
Iraq	..	..
Ireland	9.7	18.2
Isle of Man	..	..
Israel	6.6	5.1
Italy	1.8	-0.6
Jamaica	..	1.3
Japan	-0.3	2.4
Jordan	0.4	3.7
Kazakhstan	-18.3	5.9
Kenya	6.1	4.4
Kiribati	..	15.4
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	4.8	3.4
Kosovo	..	2.7
Kuwait	..	7.2
Kyrgyz Republic	-3.8	9.6
Lao PDR	..	11.5
Latvia	17.1	3.4
Lebanon	10.5	1.2
Lesotho	10.6	4.4
Liberia	..	2.2
Libya	..	..
Liechtenstein	..	..
Lithuania	11.6	3.7
Luxembourg	5.9	3
Madagascar	3.5	1.7
Malawi	..	4.7
Malaysia	5.3	4.8
Maldives	..	..
Mali	2.8	2.4
Malta	..	5.8
Marshall Islands	..	1.5
Mauritania	7.1	0.5
Mauritius	4.5	0.9
Mexico	3.2	1.2
Micronesia, Fed. Sts.	..	..
Moldova	-2.8	5.6
Monaco	..	..
Mongolia	..	1.2
Montenegro	..	9.7
Morocco	4.2	3.2
Mozambique	16.4	9.4
Myanmar	..	10.5
Namibia	7.6	-0.7
Nepal	..	13.3
Netherlands	4.1	3.2
New Caledonia	..	..
New Zealand	5.9	5.5
Nicaragua	10.8	1.2
Niger	5.6	4.6
Nigeria	-1	2.5
North Macedonia	1.7	5.8
Northern Mariana Islands	..	..
Norway	5.6	2.1
Oman	..	3.9
Pakistan	1.8	5.3
Palau	..	5.7
Panama	10.6	8.3
Papua New Guinea	..	..
Paraguay	1.1	3
Peru	7.4	1.4
Philippines	2.1	11.4
Poland	11.2	3.7
Portugal	5.7	0.9
Puerto Rico	7.5	-2.1
Qatar	..	8.1
Romania	1.9	2.4
Russian Federation	-18.2	-1.1
Rwanda	2.8	10.6
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	0.1
Senegal	3.5	14.4
Serbia	-10.3	5.3
Seychelles	..	..
Sierra Leone	..	-7.1
Singapore	6.9	3.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	8.3	3.1
Slovenia	10	1.4
Solomon Islands	..	..
Somalia	..	..
South Africa	4.6	0.8
South Sudan	..	-11.7
Spain	3.2	1.9
Sri Lanka	6.1	5.4
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	19	-0.6
Suriname	..	..
Sweden	1.4	3.7
Switzerland	0.9	-0.1
Syrian Arab Republic	..	..
Tajikistan	-20.9	..
Tanzania	-1	10.1
Thailand	-4.2	2.1
Timor-Leste	..	-1
Togo	-0.1	8.5
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	3.1	..
Turkey	4.9	4.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	8.4	5.5
Ukraine	-18.5	-1.8
United Arab Emirates	..	5.6
United Kingdom	4.7	3.1
United States	6.4	4
Uruguay	5.5	-0.8
Uzbekistan	-2.5	..
Vanuatu	..	..
Venezuela, RB	5	..
Vietnam	19.8	7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	7.8	4.1
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	..	0.9
World	1	3.5
East Asia & Pacific	-10.9	5.1
Europe & Central Asia	-0.2	2.2
Latin America & Caribbean	4.2	-0.7
Middle East & North Africa	..	3
North America	6.2	3.6
South Asia	6.8	5
Sub-Saharan Africa	3.2	2.6
Low income	..	..
Lower middle income	1.4	5.1
Upper middle income	-16.7	4.3
High income	3.3	2.8
