Country	%
Afghanistan	4.6
Albania	..
Algeria	..
American Samoa	..
Andorra	..
Angola	21.7
Antigua and Barbuda	..
Argentina	..
Armenia	..
Aruba	..
Australia	..
Austria	..
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	..
Barbados	..
Belarus	..
Belgium	..
Belize	..
Benin	69.8
Bermuda	..
Bhutan	..
Bolivia	..
Bosnia and Herzegovina	..
Botswana	..
Brazil	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	54.4
Burundi	39.9
Cabo Verde	..
Cambodia	..
Cameroon	54.8
Canada	..
Cayman Islands	..
Central African Republic	..
Chad	36.4
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	..
Comoros	..
Congo, Dem. Rep.	55.8
Congo, Rep.	60.5
Costa Rica	..
Cote d'Ivoire	59.7
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	..
Dominica	..
Dominican Republic	..
Ecuador	..
Egypt, Arab Rep.	..
El Salvador	..
Equatorial Guinea	..
Eritrea	..
Estonia	..
Eswatini	..
Ethiopia	45.3
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	..
Gambia, The	62.4
Georgia	..
Germany	..
Ghana	52.2
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	..
Guinea	26.6
Guinea-Bissau	80.6
Guyana	7.4
Haiti	18.2
Honduras	..
Hungary	..
Iceland	..
India	4.6
Indonesia	..
Iran, Islamic Rep.	..
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	..
Kazakhstan	..
Kenya	56.1
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	..
Lao PDR	49.8
Latvia	..
Lebanon	..
Lesotho	..
Liberia	43.7
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	73.4
Malawi	67.5
Malaysia	..
Maldives	..
Mali	73.2
Malta	..
Marshall Islands	..
Mauritania	32.1
Mauritius	..
Mexico	..
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	..
Montenegro	..
Morocco	..
Mozambique	72.7
Myanmar	18.6
Namibia	5.6
Nepal	..
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	95.5
Nigeria	52.2
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	0.4
Palau	..
Panama	..
Papua New Guinea	51.5
Paraguay	..
Peru	..
Philippines	..
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	68
Samoa	..
San Marino	..
Sao Tome and Principe	61.1
Saudi Arabia	..
Senegal	60.7
Serbia	..
Seychelles	..
Sierra Leone	59.5
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	69.6
Somalia	..
South Africa	..
South Sudan	45.8
Spain	..
Sri Lanka	..
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	..
Tanzania	54.6
Thailand	..
Timor-Leste	55.4
Togo	69.7
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	62
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	..
Vanuatu	51
Venezuela, RB	..
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	..
Zambia	51.6
Zimbabwe	9
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	3.8
Sub-Saharan Africa	54.3
Low income	54
Lower middle income	20.4
Upper middle income	..
High income	..
