Country	Total
Afghanistan	3121.6
Albania	361.1
Algeria	139.4
American Samoa	..
Andorra	..
Angola	103.5
Antigua and Barbuda	3.3
Argentina	20.2
Armenia	186.1
Aruba	..
Australia	..
Austria	..
Azerbaijan	126.6
Bahamas, The	..
Bahrain	..
Bangladesh	2.523,00
Barbados	..
Belarus	99.1
Belgium	..
Belize	15.9
Benin	357.8
Bermuda	..
Bhutan	42.7
Bolivia	304.9
Bosnia and Herzegovina	270.2
Botswana	69.7
Brazil	401.9
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	631.7
Burundi	265.9
Cabo Verde	64.3
Cambodia	635.8
Cameroon	717.5
Canada	..
Cayman Islands	..
Central African Republic	407.8
Chad	478.1
Channel Islands	..
Chile	..
China	-200,00
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	1.2
Comoros	37.6
Congo, Dem. Rep.	1571.7
Congo, Rep.	91.6
Costa Rica	84.5
Cote d'Ivoire	609.3
Croatia	..
Cuba	279.8
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	99.7
Dominica	25.6
Dominican Republic	69.2
Ecuador	400,00
Egypt, Arab Rep.	799.6
El Salvador	248.6
Equatorial Guinea	6.1
Eritrea	25.1
Estonia	..
Ethiopia	2332.4
Faroe Islands	..
Fiji	96.6
Finland	..
France	..
French Polynesia	..
Gabon	107.8
Gambia, The	97.6
Georgia	632.3
Germany	..
Ghana	703
Greece	..
Greenland	..
Grenada	1.5
Guam	..
Guatemala	364.5
Guinea	311.1
Guinea-Bissau	51.1
Guyana	42,00
Haiti	718.7
Honduras	402.4
Hungary	..
Iceland	..
India	2645.8
Indonesia	1103.6
Iran, Islamic Rep.	147.6
Iraq	2234.9
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	90.2
Japan	..
Jordan	1.1
Kazakhstan	11.9
Kenya	1.9
Kiribati	61.4
Korea, Dem. Peopleâ€™s Rep.	30.7
Korea, Rep.	..
Kosovo	296.5
Kuwait	..
Kyrgyz Republic	179.9
Lao PDR	407.4
Latvia	..
Lebanon	1.8
Lesotho	104.8
Liberia	382.7
Libya	264.6
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	165.9
Madagascar	380.8
Malawi	840.7
Malaysia	-50.5
Maldives	5.2
Mali	1027.2
Malta	..
Marshall Islands	51.1
Mauritania	148.7
Mauritius	62.2
Mexico	508
Micronesia, Fed. Sts.	74.4
Moldova	206
Monaco	..
Mongolia	259.1
Montenegro	156.2
Morocco	595.2
Mozambique	1318.9
Myanmar	1325.3
Namibia	122.2
Nepal	658.3
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	222.5
Niger	768.2
Nigeria	2020
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	1117.5
Palau	83.5
Panama	28.6
Papua New Guinea	540.6
Paraguay	110.8
Peru	423.7
Philippines	499.7
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	590.2
Samoa	90.5
San Marino	..
Sao Tome and Principe	23.1
Saudi Arabia	..
Senegal	751.5
Serbia	670.5
Seychelles	..
Sierra Leone	329.3
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	174.4
Somalia	1.411,00
South Africa	789.4
South Sudan	1.475,00
Spain	..
Sri Lanka	153,00
St. Kitts and Nevis	..
St. Lucia	6.5
St. Martin (French part)	..
St. Vincent and the Grenadines	6.8
Sudan	727.2
Suriname	9,00
Eswatini	80.3
Sweden	..
Switzerland	..
Syrian Arab Republic	3074.2
Tajikistan	184.2
Tanzania	1.4
Thailand	-447.7
Timor-Leste	172.7
Togo	145.2
Tonga	68.8
Trinidad and Tobago	..
Tunisia	668.9
Turkey	1.154,00
Turkmenistan	12.3
Turks and Caicos Islands	..
Tuvalu	14.5
Uganda	1319.1
Ukraine	1.5
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	283.5
Vanuatu	86.3
Venezuela, RB	129.6
Vietnam	857.3
Virgin Islands (U.S.)	..
West Bank and Gaza	1370.8
Yemen, Rep.	1514.2
Zambia	725.7
Zimbabwe	535
World	121846.6
East Asia & Pacific	6551.4
Europe & Central Asia	6269.9
Latin America & Caribbean	8263.6
Middle East & North Africa	15182.5
North America	..
South Asia	10336
Sub-Saharan Africa	34018.8
Low income	28804.3
Lower middle income	30482.1
Upper middle income	12376
High income	141.7
