Country	Millions	Percentage
Afghanistan	2605	13.4
Albania	10122	67.2
Algeria	5710	3.2
American Samoa	..	..
Andorra	..	..
Angola	54563	54
Antigua and Barbuda	..	..
Argentina	280516	56.1
Armenia	11019	87.5
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	16212	36.4
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	52124	18.2
Barbados	..	..
Belarus	38844	67.7
Belgium	..	..
Belize	1380	76.8
Benin	3691	35.9
Bermuda	..	..
Bhutan	2549	109.2
Bolivia	13280	33.8
Bosnia and Herzegovina	15824	80.4
Botswana	1749	9.7
Brazil	557823	30.3
Brunei Darussalam	..	..
Bulgaria	39874	60.3
Burkina Faso	3286	23.4
Burundi	589	19.2
Cabo Verde	1735	89.3
Cambodia	13347	58.2
Cameroon	10865	28.7
Canada	..	..
Cayman Islands	..	..
Central African Republic	779	32.7
Chad	3242	29.3
Channel Islands	..	..
Chile	..	..
China	1962304	14.5
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	134940	42.3
Comoros	191	16.5
Congo, Dem. Rep.	4984	10.9
Congo, Rep.	5147	51.1
Costa Rica	27819	49
Cote d'Ivoire	15660	37.9
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	3264	157.6
Dominica	279	55.3
Dominican Republic	33905	43.8
Ecuador	45019	42.6
Egypt, Arab Rep.	98705	40.4
El Salvador	17486	71.1
Equatorial Guinea	..	..
Eritrea	791	..
Estonia	..	..
Ethiopia	28027	33.4
Faroe Islands	..	..
Fiji	852	16.7
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	6767	43
Gambia, The	681	42.7
Georgia	17118	110.6
Germany	..	..
Ghana	23316	36.3
Greece	..	..
Greenland	..	..
Grenada	645	58.8
Guam	..	..
Guatemala	22349	29
Guinea	2555	24.6
Guinea-Bissau	421	28.9
Guyana	1609	44.6
Haiti	2213	22.8
Honduras	9709	43.7
Hungary	..	..
Iceland	..	..
India	521391	19.3
Indonesia	379664	37.6
Iran, Islamic Rep.	6324	..
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	16307	108
Japan	..	..
Jordan	32045	76.1
Kazakhstan	156921	105.7
Kenya	31511	36.1
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	2297	28.5
Kuwait	..	..
Kyrgyz Republic	8120	103
Lao PDR	15588	90.2
Latvia	..	..
Lebanon	79345	145.1
Lesotho	915	29.2
Liberia	1256	44.7
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
North Macedonia	8744	72
Madagascar	3716	31.8
Malawi	2266	32.2
Malaysia	..	..
Maldives	2332	48
Mali	4896	29.5
Malta	..	..
Marshall Islands	..	..
Mauritania	5218	97.8
Mauritius	11207	71.8
Mexico	452991	38
Micronesia, Fed. Sts.	..	..
Moldova	7296	61.3
Monaco	..	..
Mongolia	29377	253.9
Montenegro	7951	144.1
Morocco	49041	42.2
Mozambique	15218	107.6
Myanmar	14936	21.5
Namibia	..	..
Nepal	5478	18.9
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	11618	90.7
Niger	3260	36.1
Nigeria	47047	12.4
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	90957	27.6
Palau	..	..
Panama	..	..
Papua New Guinea	17718	78.4
Paraguay	15806	39.9
Peru	66697	31.3
Philippines	78824	19.9
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	112116	48
Russian Federation	453938	28.1
Rwanda	5403	58
Samoa	427	51.3
San Marino	..	..
Sao Tome and Principe	250	58.8
Saudi Arabia	..	..
Senegal	12273	52.4
Serbia	34339	71.7
Seychelles	..	..
Sierra Leone	1713	45.1
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	389	29.1
Somalia	2932	39.4
South Africa	179306	50.6
South Sudan	..	..
Spain	..	..
Sri Lanka	52626	60.8
St. Kitts and Nevis	..	..
St. Lucia	616	35.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	328	37.6
Sudan	21596	56.9
Suriname	..	..
Eswatini	509	10.9
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	4589	..
Tajikistan	5977	67.7
Tanzania	18585	33.1
Thailand	169241	35.1
Timor-Leste	158	6.7
Togo	1761	33.3
Tonga	189	41.3
Trinidad and Tobago	..	..
Tunisia	34661	90
Turkey	445139	59
Turkmenistan	907	2.3
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	12330	46.3
Ukraine	114512	89.6
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	..	..
Uzbekistan	17630	33.9
Vanuatu	402	45.9
Venezuela, RB	154898	..
Vietnam	108096	46.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	7037	26.1
Zambia	19116	73.7
Zimbabwe	12286	39.8
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	730063	21.1
Sub-Saharan Africa	..	..
Low income	150280	27.8
Lower middle income	1973041	29.6
Upper middle income	5695716	24.4
High income	..	..
