Country	Total
Afghanistan	0.08
Albania	0.05
Algeria	0.09
American Samoa	..
Andorra	..
Angola	1.45
Antigua and Barbuda	..
Argentina	0.24
Armenia	0.1
Aruba	..
Australia	0.06
Austria	..
Azerbaijan	0.09
Bahamas, The	..
Bahrain	..
Bangladesh	..
Barbados	0.34
Belarus	0.39
Belgium	..
Belize	..
Benin	0.52
Bermuda	..
Bhutan	..
Bolivia	0.14
Bosnia and Herzegovina	..
Botswana	8.23
Brazil	..
Brunei Darussalam	..
Bulgaria	0.08
Burkina Faso	0.19
Burundi	0.2
Cabo Verde	0.29
Cambodia	0.08
Cameroon	1.1
Canada	..
Cayman Islands	..
Central African Republic	2
Chad	0.5
Channel Islands	..
Chile	0.46
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	0.4
Comoros	0.01
Congo, Dem. Rep.	0.31
Congo, Rep.	2.5
Costa Rica	0.33
Cote d'Ivoire	0.8
Croatia	0.04
Cuba	0.26
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	0.16
Dominica	..
Dominican Republic	0.45
Ecuador	0.24
Egypt, Arab Rep.	0.09
El Salvador	0.23
Equatorial Guinea	6.48
Eritrea	0.15
Estonia	..
Eswatini	9.77
Ethiopia	0.23
Faroe Islands	..
Fiji	0.26
Finland	..
France	..
French Polynesia	..
Gabon	01.07
Gambia, The	1.77
Georgia	..
Germany	..
Ghana	1.1
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	0.12
Guinea	0.68
Guinea-Bissau	1.85
Guyana	0.71
Haiti	0.79
Honduras	0.19
Hungary	..
Iceland	..
India	..
Indonesia	..
Iran, Islamic Rep.	0.08
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	0.09
Jamaica	0.91
Japan	..
Jordan	..
Kazakhstan	0.36
Kenya	1.47
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	0.25
Lao PDR	0.19
Latvia	0.38
Lebanon	0.05
Lesotho	11.35
Liberia	0.74
Libya	0.1
Liechtenstein	..
Lithuania	0.19
Luxembourg	..
Madagascar	0.4
Malawi	3.71
Malaysia	0.34
Maldives	..
Mali	..
Malta	..
Marshall Islands	..
Mauritania	..
Mauritius	0.96
Mexico	..
Micronesia, Fed. Sts.	..
Moldova	0.45
Monaco	..
Mongolia	0.02
Montenegro	0.1
Morocco	0.04
Mozambique	8.94
Myanmar	0.31
Namibia	5.34
Nepal	0.05
Netherlands	0.04
New Caledonia	..
New Zealand	0.06
Nicaragua	0.1
Niger	0.09
Nigeria	0.78
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	0.07
Pakistan	0.2
Palau	..
Panama	..
Papua New Guinea	0.61
Paraguay	0.28
Peru	0.18
Philippines	0.27
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	0.08
Russian Federation	..
Rwanda	0.76
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	0.14
Serbia	0.05
Seychelles	..
Sierra Leone	0.92
Singapore	0.04
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	..
Somalia	0.04
South Africa	6.9
South Sudan	2.53
Spain	0.12
Sri Lanka	0.01
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	0.13
Suriname	0.75
Sweden	..
Switzerland	0.05
Syrian Arab Republic	0.01
Tajikistan	0.25
Tanzania	2.57
Thailand	0.15
Timor-Leste	0.26
Togo	0.9
Tonga	..
Trinidad and Tobago	0.12
Tunisia	0.09
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	2.61
Ukraine	0.56
United Arab Emirates	..
United Kingdom	..
United States	0.22
Uruguay	..
Uzbekistan	0.18
Vanuatu	..
Venezuela, RB	0.33
Vietnam	0.09
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0.07
Zambia	6.3
Zimbabwe	4.87
World	0.37
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	0.08
North America	0.22
South Asia	..
Sub-Saharan Africa	1.62
Low income	0.96
Lower middle income	..
Upper middle income	..
High income	..
