Country	Exports (2010)	Exports (2019)
Afghanistan	10	20
Albania	10	7
Algeria	22	24
American Samoa	..	..
Andorra	..	..
Angola	5	7
Antigua and Barbuda	26	12
Argentina	16	13
Armenia	15	12
Aruba	3	6
Australia	13	8
Austria	26	23
Azerbaijan	27	30
Bahamas, The	5	2
Bahrain	19	2
Bangladesh	14	20
Barbados	2	5
Belarus	62	42
Belgium	28	21
Belize	6	4
Benin	29	39
Bermuda	3	4
Bhutan	35	30
Bolivia	10	31
Bosnia and Herzegovina	17	21
Botswana	6	5
Brazil	17	17
Brunei Darussalam	49	46
Bulgaria	20	22
Burkina Faso	16	16
Burundi	10	9
Cabo Verde	35	22
Cambodia	12	13
Cameroon	39	33
Canada	16	14
Cayman Islands	..	3
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	61	33
China	29	19
Hong Kong SAR, China	37	30
Macao SAR, China	2	2
Colombia	23	20
Comoros	8	6
Congo, Dem. Rep.	31	21
Congo, Rep.	27	59
Costa Rica	8	5
Cote d'Ivoire	23	26
Croatia	12	8
Cuba	..	..
Curacao	11	4
Cyprus	35	26
Czech Republic	25	23
Denmark	62	52
Djibouti	77	78
Dominica	3	1
Dominican Republic	9	7
Ecuador	26	19
Egypt, Arab Rep.	34	35
El Salvador	21	16
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	40	29
Eswatini	8	2
Ethiopia	62	72
Faroe Islands	46	..
Fiji	27	32
Finland	16	14
France	21	17
French Polynesia	33	36
Gabon	8	..
Gambia, The	29	16
Georgia	45	22
Germany	25	20
Ghana	27	6
Greece	54	43
Greenland	..	..
Grenada	7	3
Guam	..	..
Guatemala	12	14
Guinea	6	1
Guinea-Bissau	1	1
Guyana	6	2
Haiti	..	..
Honduras	3	5
Hungary	20	25
Iceland	39	29
India	11	10
Indonesia	17	13
Iran, Islamic Rep.	..	..
Iraq	18	9
Ireland	5	4
Isle of Man	..	..
Israel	17	8
Italy	15	12
Jamaica	11	6
Japan	32	13
Jordan	21	19
Kazakhstan	59	53
Kenya	55	43
Kiribati	13	30
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	48	25
Kosovo	6	4
Kuwait	50	16
Kyrgyz Republic	26	26
Lao PDR	11	13
Latvia	46	39
Lebanon	4	7
Lesotho	9	2
Liberia	10	..
Libya	64	39
Liechtenstein	..	..
Lithuania	56	60
Luxembourg	6	5
Madagascar	32	28
Malawi	44	17
Malaysia	14	13
Maldives	2	8
Mali	2	6
Malta	4	7
Marshall Islands	36	33
Mauritania	7	45
Mauritius	14	13
Mexico	7	7
Micronesia, Fed. Sts.	8	..
Moldova	35	27
Monaco	..	..
Mongolia	36	32
Montenegro	16	21
Morocco	15	20
Mozambique	35	61
Myanmar	44	8
Namibia	27	17
Nepal	7	7
Netherlands	19	19
New Caledonia	30	33
New Zealand	16	13
Nicaragua	5	5
Niger	1	9
Nigeria	75	31
North Macedonia	28	25
Northern Mariana Islands	..	..
Norway	44	46
Oman	29	48
Pakistan	49	19
Palau	4	5
Panama	54	51
Papua New Guinea	8	4
Paraguay	41	32
Peru	27	23
Philippines	8	7
Poland	25	28
Portugal	26	21
Puerto Rico	..	..
Qatar	70	58
Romania	25	29
Russian Federation	31	35
Rwanda	12	28
Samoa	4	6
San Marino	..	..
Sao Tome and Principe	1	0
Saudi Arabia	20	20
Senegal	5	13
Serbia	22	19
Seychelles	30	15
Sierra Leone	45	17
Singapore	39	29
Sint Maarten (Dutch part)	4	6
Slovak Republic	29	28
Slovenia	26	29
Solomon Islands	36	25
Somalia	..	..
South Africa	20	15
South Sudan	..	8
Spain	12	12
Sri Lanka	47	30
St. Kitts and Nevis	11	4
St. Lucia	6	1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	8	5
Sudan	2	28
Suriname	15	32
Sweden	20	14
Switzerland	11	11
Syrian Arab Republic	8	..
Tajikistan	44	80
Tanzania	23	31
Thailand	17	9
Timor-Leste	3	4
Togo	45	38
Tonga	23	19
Trinidad and Tobago	26	27
Tunisia	29	31
Turkey	26	39
Turkmenistan	..	..
Turks and Caicos Islands	..	4
Tuvalu	9	..
Uganda	4	11
Ukraine	45	36
United Arab Emirates	..	..
United Kingdom	10	10
United States	13	11
Uruguay	19	11
Uzbekistan	..	41
Vanuatu	12	15
Venezuela, RB	35	47
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	3	2
Yemen, Rep.	13	29
Zambia	8	4
Zimbabwe	30	45
World	25	19
East Asia & Pacific	30	19
Europe & Central Asia	24	21
Latin America & Caribbean	19	13
Middle East & North Africa	32	28
North America	14	12
South Asia	16	11
Sub-Saharan Africa	32	19
Low income	16	28
Lower middle income	26	18
Upper middle income	25	20
High income	24	19
