Country	Migrants
Afghanistan	-315
Albania	-70
Algeria	-50
American Samoa	..
Andorra	..
Angola	32
Antigua and Barbuda	0
Argentina	24
Armenia	-25
Aruba	1,00
Australia	791,00
Austria	325,00
Azerbaijan	6
Bahamas, The	5,00
Bahrain	239,00
Bangladesh	-1.848,00
Barbados	0,00
Belarus	44
Belgium	240,00
Belize	6
Benin	-10
Bermuda	..
Bhutan	2
Bolivia	-48,00
Bosnia and Herzegovina	-108
Botswana	15
Brazil	106
Brunei Darussalam	0,00
Bulgaria	-24,00
Burkina Faso	-125
Burundi	10
Cabo Verde	-7
Cambodia	-150
Cameroon	-24
Canada	1.210,00
Cayman Islands	..
Central African Republic	-200,00
Chad	10
Channel Islands	7,00
Chile	559,00
China	-1742
Hong Kong SAR, China	147,00
Macao SAR, China	25,00
Colombia	1024
Comoros	-10
Congo, Dem. Rep.	119
Congo, Rep.	-20
Costa Rica	21
Cote d'Ivoire	-40
Croatia	-40,00
Cuba	-72
Curacao	3,00
Cyprus	25,00
Czech Republic	110,00
Denmark	76,00
Djibouti	5
Dominica	..
Dominican Republic	-150,00
Ecuador	182
Egypt, Arab Rep.	-190,00
El Salvador	-203
Equatorial Guinea	80
Eritrea	-199
Estonia	20,00
Eswatini	-42
Ethiopia	150,00
Faroe Islands	..
Fiji	-31,00
Finland	70,00
France	183,00
French Polynesia	-5,00
Gabon	16
Gambia, The	-15
Georgia	-50,00
Germany	2719
Ghana	-50,00
Greece	-80,00
Greenland	..
Grenada	-1,00
Guam	-3
Guatemala	-46
Guinea	-20
Guinea-Bissau	-7
Guyana	-30,00
Haiti	-175
Honduras	-34,00
Hungary	30,00
Iceland	2
India	-2663
Indonesia	-495
Iran, Islamic Rep.	-275
Iraq	39,00
Ireland	118,00
Isle of Man	..
Israel	50,00
Italy	745
Jamaica	-57,00
Japan	358
Jordan	51
Kazakhstan	-90
Kenya	-50,00
Kiribati	-4
Korea, Dem. Peopleâ€™s Rep.	-27,00
Korea, Rep.	59
Kosovo	..
Kuwait	198
Kyrgyz Republic	-20
Lao PDR	-74,00
Latvia	-74
Lebanon	-150
Lesotho	-50
Liberia	-25,00
Libya	-10,00
Liechtenstein	..
Lithuania	-164,00
Luxembourg	49
North Macedonia	-5
Madagascar	-8
Malawi	-80
Malaysia	250
Maldives	57
Mali	-200,00
Malta	5,00
Marshall Islands	..
Mauritania	25,00
Mauritius	0
Mexico	-300,00
Micronesia, Fed. Sts.	-3
Moldova	-7,00
Monaco	..
Mongolia	-4
Montenegro	-2
Morocco	-257
Mozambique	-25
Myanmar	-817
Namibia	-24,00
Nepal	209,00
Netherlands	80,00
New Caledonia	3,00
New Zealand	74,00
Nicaragua	-106
Niger	20
Nigeria	-300,00
Northern Mariana Islands	..
Norway	140,00
Oman	437
Pakistan	-1.167,00
Palau	..
Panama	56
Papua New Guinea	-4
Paraguay	-83,00
Peru	495
Philippines	-336,00
Poland	-147,00
Portugal	-30,00
Puerto Rico	-490,00
Qatar	200,00
Romania	-370,00
Russian Federation	912
Rwanda	-45
Samoa	-14,00
San Marino	..
Sao Tome and Principe	-8,00
Saudi Arabia	675
Senegal	-100
Serbia	20,00
Seychelles	-1
Sierra Leone	-21,00
Singapore	135,00
Sint Maarten (Dutch part)	..
Slovak Republic	7,00
Slovenia	10
Solomon Islands	-8,00
Somalia	-200,00
South Africa	727,00
South Sudan	-871,00
Spain	200,00
Sri Lanka	-490,00
St. Kitts and Nevis	..
St. Lucia	0,00
St. Martin (French part)	..
St. Vincent and the Grenadines	-1
Sudan	-250,00
Suriname	-5
Sweden	200,00
Switzerland	260,00
Syrian Arab Republic	-2137
Tajikistan	-100
Tanzania	-200
Thailand	97,00
Timor-Leste	-27
Togo	-10
Tonga	-4
Trinidad and Tobago	-4,00
Tunisia	-20,00
Turkey	1.420,00
Turkmenistan	-25
Turks and Caicos Islands	..
Tuvalu	..
Uganda	843
Ukraine	50
United Arab Emirates	200,00
United Kingdom	1.303,00
United States	4.774,00
Uruguay	-15,00
Uzbekistan	-44
Vanuatu	1
Venezuela, RB	-3266
Vietnam	-400,00
Virgin Islands (U.S.)	-2,00
West Bank and Gaza	-53
Yemen, Rep.	-150
Zambia	-40
Zimbabwe	-584
World	0,00
East Asia & Pacific	-2057
Europe & Central Asia	7894
Latin America & Caribbean	-2606
Middle East & North Africa	-1194
North America	5.984,00
South Asia	-6215
Sub-Saharan Africa	-1.814,00
Low income	-4052
Lower middle income	-10239
Upper middle income	-1562
High income	15.845,00
