Country	Capacity (2004)	Capacity (2019)
Afghanistan	24.4	50
Albania	76.7	78.9
Algeria	54.4	52.2
American Samoa	..	..
Andorra	..	..
Angola	41.1	48.9
Antigua and Barbuda	36.7	47.8
Argentina	92.2	80
Armenia	77.8	93.3
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	76.7	76.7
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	70	62.2
Barbados	..	..
Belarus	80	86.7
Belgium	..	..
Belize	66.7	63.3
Benin	53.3	68.9
Bermuda	..	..
Bhutan	57.8	63.3
Bolivia	68.9	66.7
Bosnia and Herzegovina	50	64.4
Botswana	72.2	51.1
Brazil	83.3	84.4
Brunei Darussalam	..	..
Bulgaria	86.7	84.4
Burkina Faso	67.8	62.2
Burundi	43.3	67.8
Cambodia	64.4	60
Cameroon	51.1	56.7
Canada	..	..
Cabo Verde	68.9	64.4
Cayman Islands	..	..
Central African Republic	40	35.6
Chad	60	50
Channel Islands	..	..
Chile	91.1	90
China	64.4	80
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	86.7	81.1
Comoros	56.7	47.8
Congo, Dem. Rep.	32.2	41.1
Congo, Rep.	42.2	45.6
Costa Rica	82.2	91.1
Cote d'Ivoire	80	70
Croatia	95.6	81.1
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	50	58.9
Dominica	60	50
Dominican Republic	71.1	70
Ecuador	82.2	66.7
Egypt, Arab Rep.	77.8	85.6
El Salvador	74.4	88.9
Equatorial Guinea	34.4	36.7
Eritrea	37.8	27.8
Estonia	..	50
Ethiopia	66.7	61.1
Faroe Islands	..	..
Fiji	53.3	57.8
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	44.4	43.3
Gambia, The	63.3	71.1
Georgia	76.7	87.8
Germany	..	..
Ghana	51.1	77.8
Greece	..	..
Greenland	..	..
Grenada	52.2	57.8
Guam	..	..
Guatemala	80	67.8
Guinea	66.7	58.9
Guinea-Bissau	37.8	57.8
Guyana	55.6	50
Haiti	37.8	46.7
Honduras	62.2	56.7
Hungary	90	50
Iceland	..	..
India	78.9	75.6
Indonesia	86.7	88.9
Iran, Islamic Rep.	64.4	78.9
Iraq	32.2	34.4
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	76.7	61.1
Japan	..	..
Jordan	68.9	82.2
Kazakhstan	86.7	86.7
Kenya	64.4	57.8
Kiribati	32.2	40
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	40
Kuwait	..	..
Kyrgyz Republic	87.8	96.7
Lao PDR	68.9	67.8
Latvia	..	53.3
Lebanon	42.2	44.4
Lesotho	71.1	67.8
Liberia	16.7	54.4
Libya	28.9	27.8
Liechtenstein	..	..
Lithuania	..	43.3
Luxembourg	..	..
North Macedonia	76.7	75.6
Madagascar	63.3	55.6
Malawi	67.8	73.3
Malaysia	75.6	78.9
Maldives	71.1	64.4
Mali	55.6	67.8
Malta	..	..
Marshall Islands	32.2	32.2
Mauritania	55.6	54.4
Mauritius	70	85.6
Mexico	74.4	93.3
Micronesia, Fed. Sts.	30	41.1
Moldova	74.4	91.1
Monaco	..	..
Mongolia	72.2	91.1
Montenegro	53.3	85.6
Morocco	80	66.7
Mozambique	67.8	64.4
Myanmar	60	74.4
Namibia	58.9	50
Nepal	72.2	74.4
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	78.9	51.1
Niger	64.4	67.8
Nigeria	44.4	56.7
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	73.3	71.1
Palau	36.7	48.9
Panama	75.6	73.3
Papua New Guinea	46.7	52.2
Paraguay	58.9	65.6
Peru	93.3	80
Philippines	81.1	81.1
Poland	83.3	82.2
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	88.9	78.9
Russian Federation	75.6	82.2
Rwanda	61.1	65.6
Samoa	55.6	60
San Marino	..	..
Sao Tome and Principe	51.1	63.3
Saudi Arabia	..	..
Senegal	78.9	80
Serbia	53.3	88.9
Seychelles	61.1	72.2
Sierra Leone	30	55.6
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	88.9	50
Slovenia	..	..
Solomon Islands	31.1	48.9
Somalia	22.2	26.7
South Africa	86.7	75.6
South Sudan	..	45.6
Spain	..	..
Sri Lanka	75.6	81.1
St. Kitts and Nevis	54.4	44.4
St. Lucia	60	58.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	60	60
Sudan	35.6	71.1
Suriname	50	71.1
Eswatini	65.6	66.7
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	57.8	26.7
Tajikistan	72.2	73.3
Tanzania	67.8	62.2
Thailand	82.2	80
Timor-Leste	32.2	67.8
Togo	52.2	74.4
Tonga	53.3	56.7
Trinidad and Tobago	63.3	47.8
Tunisia	72.2	71.1
Turkey	82.2	81.1
Turkmenistan	48.9	34.4
Turks and Caicos Islands	..	..
Tuvalu	..	47.8
Uganda	60	67.8
Ukraine	83.3	72.2
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	82.2	77.8
Uzbekistan	57.8	64.4
Vanuatu	44.4	48.9
Venezuela, RB	80	57.8
Vietnam	71.1	78.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	76.7
Yemen, Rep.	56.7	38.9
Zambia	65.6	55.6
Zimbabwe	57.8	56.7
East Asia & Pacific (excluding high income)	70.3	75.1
Europe & Central Asia (excluding high income)	73.5	76.8
Latin America & Caribbean (excluding high income)	75.5	71.1
Middle East & North Africa (excluding high income)	57.8	57.1
South Asia	65.7	69.1
Sub-Saharan Africa (excluding high income)	55.2	59
IDA total	56.6	60
IBRD only	72.8	72.7
Low income	..	
Lower middle income	248937	
Upper middle income	763815	
High income	1025704	
