Country	Total
Afghanistan	86
Albania	102
Algeria	105
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	96
Argentina	100
Armenia	90
Aruba	..
Australia	..
Austria	99
Azerbaijan	100
Bahamas, The	76
Bahrain	98
Bangladesh	..
Barbados	89
Belarus	105
Belgium	..
Belize	104
Benin	81
Bermuda	92
Bhutan	100
Bolivia	95
Bosnia and Herzegovina	..
Botswana	..
Brazil	..
Brunei Darussalam	108
Bulgaria	90
Burkina Faso	65
Burundi	63
Cabo Verde	87
Cambodia	88
Cameroon	64
Canada	..
Cayman Islands	..
Central African Republic	41
Chad	41
Channel Islands	..
Chile	95
China	..
Hong Kong SAR, China	104
Macao SAR, China	101
Colombia	106
Comoros	77
Congo, Dem. Rep.	70
Congo, Rep.	..
Costa Rica	99
Cote d'Ivoire	72
Croatia	96
Cuba	84
Curacao	..
Cyprus	101
Czech Republic	98
Denmark	104
Djibouti	66
Dominica	114
Dominican Republic	93
Ecuador	104
Egypt, Arab Rep.	101
El Salvador	87
Equatorial Guinea	41
Eritrea	60
Estonia	97
Eswatini	96
Ethiopia	54
Faroe Islands	..
Fiji	107
Finland	101
France	..
French Polynesia	..
Gabon	..
Gambia, The	69
Georgia	96
Germany	99
Ghana	94
Greece	97
Greenland	..
Grenada	123
Guam	..
Guatemala	80
Guinea	60
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	82
Hungary	105
Iceland	..
India	92
Indonesia	102
Iran, Islamic Rep.	99
Iraq	..
Ireland	..
Isle of Man	..
Israel	106
Italy	99
Jamaica	86
Japan	..
Jordan	73
Kazakhstan	110
Kenya	100
Kiribati	101
Korea, Dem. People’s Rep.	102
Korea, Rep.	91
Kosovo	..
Kuwait	92
Kyrgyz Republic	105
Lao PDR	98
Latvia	99
Lebanon	..
Lesotho	86
Liberia	61
Libya	..
Liechtenstein	90
Lithuania	102
Luxembourg	80
Madagascar	65
Malawi	..
Malaysia	99
Maldives	97
Mali	50
Malta	102
Marshall Islands	71
Mauritania	76
Mauritius	101
Mexico	104
Micronesia, Fed. Sts.	..
Moldova	89
Monaco	..
Mongolia	102
Montenegro	94
Morocco	94
Mozambique	52
Myanmar	95
Namibia	94
Nepal	120
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	72
Nigeria	..
North Macedonia	91
Northern Mariana Islands	..
Norway	101
Oman	100
Pakistan	71
Palau	..
Panama	90
Papua New Guinea	77
Paraguay	..
Peru	96
Philippines	109
Poland	106
Portugal	..
Puerto Rico	79
Qatar	96
Romania	92
Russian Federation	96
Rwanda	87
Samoa	105
San Marino	107
Sao Tome and Principe	84
Saudi Arabia	97
Senegal	57
Serbia	99
Seychelles	102
Sierra Leone	82
Singapore	99
Sint Maarten (Dutch part)	..
Slovak Republic	92
Slovenia	96
Solomon Islands	87
Somalia	..
South Africa	87
South Sudan	..
Spain	101
Sri Lanka	103
St. Kitts and Nevis	98
St. Lucia	95
St. Martin (French part)	..
St. Vincent and the Grenadines	106
Sudan	62
Suriname	85
Sweden	105
Switzerland	97
Syrian Arab Republic	..
Tajikistan	95
Tanzania	69
Thailand	93
Timor-Leste	104
Togo	90
Tonga	..
Trinidad and Tobago	..
Tunisia	95
Turkey	90
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	79
Uganda	53
Ukraine	..
United Arab Emirates	104
United Kingdom	100
United States	99
Uruguay	99
Uzbekistan	103
Vanuatu	..
Venezuela, RB	93
Vietnam	110
Virgin Islands (U.S.)	..
West Bank and Gaza	97
Yemen, Rep.	72
Zambia	..
Zimbabwe	..
World	90
East Asia & Pacific	98
Europe & Central Asia	97
Latin America & Caribbean	99
Middle East & North Africa	91
North America	99
South Asia	92
Sub-Saharan Africa	69
Low income	67
Lower middle income	91
Upper middle income	95
High income	98
