Country	Population (1990)	Population (2016)
Afghanistan	59	43
Albania	21	27
Algeria	13	9
American Samoa	..	..
Andorra	..	..
Angola	33	39
Antigua and Barbuda	..	..
Argentina	39	37
Armenia	49	58
Aruba	..	..
Australia	25	22
Austria	32	37
Azerbaijan	45	42
Bahamas, The	..	..
Bahrain	29	38
Bangladesh	32	33
Barbados	..	..
Belarus	24	27
Belgium	18	18
Belize	..	..
Benin	29	16
Bermuda	..	..
Bhutan	..	..
Bolivia	28	23
Bosnia and Herzegovina	19	21
Botswana	..	..
Brazil	13	12
Brunei Darussalam	..	..
Bulgaria	21	24
Burkina Faso	44	44
Burundi	69	61
Cabo Verde	..	..
Cambodia	44	52
Cameroon	20	25
Canada	18	20
Cayman Islands	..	..
Central African Republic	45	44
Chad	38	37
Channel Islands	..	..
Chile	42	41
China	3	3
Hong Kong SAR, China	100	100
Macao SAR, China	100	100
Colombia	21	26
Comoros	..	..
Congo, Dem. Rep.	35	35
Congo, Rep.	55	62
Costa Rica	47	35
Cote d'Ivoire	45	39
Croatia	29	29
Cuba	27	24
Curacao	..	..
Cyprus	..	..
Czech Republic	16	16
Denmark	24	26
Djibouti	71	75
Dominica	..	..
Dominican Republic	39	37
Ecuador	28	27
Egypt, Arab Rep.	41	48
El Salvador	37	25
Equatorial Guinea	26	38
Eritrea	84	..
Estonia	43	47
Eswatini	..	..
Ethiopia	30	20
Faroe Islands	..	..
Fiji	..	..
Finland	22	26
France	22	20
French Polynesia	..	..
Gabon	56	43
Gambia, The	62	33
Georgia	46	50
Germany	6	6
Ghana	22	18
Greece	42	37
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	38	35
Guinea	49	42
Guinea-Bissau	61	68
Guyana	..	..
Haiti	57	43
Honduras	29	25
Hungary	29	25
Iceland	..	..
India	6	6
Indonesia	15	7
Iran, Islamic Rep.	20	15
Iraq	34	25
Ireland	46	39
Isle of Man	..	..
Israel	42	48
Italy	10	10
Jamaica	47	37
Japan	34	32
Jordan	33	22
Kazakhstan	12	17
Kenya	35	32
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	21	19
Korea, Rep.	33	24
Kosovo	..	..
Kuwait	68	68
Kyrgyz Republic	38	44
Lao PDR	43	28
Latvia	49	48
Lebanon	55	38
Lesotho	..	..
Liberia	91	57
Libya	26	22
Liechtenstein	..	..
Lithuania	23	28
Luxembourg	..	..
North Macedonia	39	47
Madagascar	35	31
Malawi	34	33
Malaysia	23	31
Maldives	..	..
Mali	38	31
Malta	..	..
Marshall Islands	..	..
Mauritania	52	51
Mauritius	..	..
Mexico	26	22
Micronesia, Fed. Sts.	..	..
Moldova	47	44
Monaco	..	..
Mongolia	46	68
Montenegro	..	..
Morocco	22	17
Mozambique	24	15
Myanmar	28	31
Namibia	35	34
Nepal	24	24
Netherlands	9	7
New Caledonia	..	..
New Zealand	31	37
Nicaragua	33	28
Niger	36	34
Nigeria	17	14
Northern Mariana Islands	..	..
Norway	22	23
Oman	29	35
Pakistan	22	20
Palau	..	..
Panama	64	63
Papua New Guinea	28	33
Paraguay	54	74
Peru	38	42
Philippines	27	27
Poland	7	8
Portugal	53	44
Puerto Rico	71	77
Qatar	53	24
Romania	17	17
Russian Federation	8	11
Rwanda	56	50
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	19	24
Senegal	47	41
Serbia	30	35
Seychelles	..	..
Sierra Leone	37	36
Singapore	99	100
Sint Maarten (Dutch part)	..	..
Slovak Republic	15	15
Slovenia	..	..
Solomon Islands	..	..
Somalia	48	30
South Africa	11	14
South Sudan	14	16
Spain	15	17
Sri Lanka	19	15
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	41	39
Suriname	..	..
Sweden	15	18
Switzerland	20	22
Syrian Arab Republic	28	24
Tajikistan	35	36
Tanzania	31	32
Thailand	35	29
Timor-Leste	..	..
Togo	57	55
Tonga	..	..
Trinidad and Tobago	75	74
Tunisia	31	29
Turkey	21	24
Turkmenistan	25	27
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	39	30
Ukraine	7	9
United Arab Emirates	33	31
United Kingdom	15	16
United States	9	7
Uruguay	56	53
Uzbekistan	25	15
Vanuatu	..	..
Venezuela, RB	17	11
Vietnam	22	24
Virgin Islands (U.S.)	..	..
West Bank and Gaza	20	19
Yemen, Rep.	27	27
Zambia	24	33
Zimbabwe	35	33
World	17	16
East Asia & Pacific	17	12
Europe & Central Asia	15	17
Latin America & Caribbean	25	23
Middle East & North Africa	28	26
North America	10	8
South Asia	10	11
Sub-Saharan Africa	29	27
Low income	36	32
Lower middle income	17	17
Upper middle income	14	12
High income	20	19
