Country	Income (2010)	Income (2019)
Afghanistan	2600	1756
Albania	1221	1083
Algeria	2665	3089
American Samoa	..	..
Andorra	..	..
Angola	-438	-227
Antigua and Barbuda	19	-54
Argentina	581	822
Armenia	607	625
Aruba	-71	-91
Australia	-1607	-756
Austria	-3990	-3931
Azerbaijan	509	509
Bahamas, The	-3	-69
Bahrain	-1642	-3269
Bangladesh	11379	18689
Barbados	-37	..
Belarus	317	1037
Belgium	-4876	-7294
Belize	92	76
Benin	155	227
Bermuda	-138	-170
Bhutan	94	170
Bolivia	1081	1138
Bosnia and Herzegovina	2389	2378
Botswana	1196	1603
Brazil	2896	964
Brunei Darussalam	-309	-490
Bulgaria	2000	2305
Burkina Faso	493	471
Burundi	136	251
Cabo Verde	340	324
Cambodia	1092	1756
Cameroon	146	454
Canada	-3839	-2058
Cayman Islands	..	-682
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	4410	2411
China	40686	10250
Hong Kong SAR, China	-2263	-2663
Macao SAR, China	-1374	-3413
Colombia	4659	8676
Comoros	146	163
Congo, Dem. Rep.	843	1211
Congo, Rep.	120	..
Costa Rica	388	513
Cote d'Ivoire	-440	-557
Croatia	1694	2695
Cuba	..	..
Curacao	-41	-28
Cyprus	-254	-304
Czech Republic	-573	-1783
Denmark	-6537	-5370
Djibouti	105	197
Dominica	20	43
Dominican Republic	3431	6686
Ecuador	2481	2739
Egypt, Arab Rep.	12439	26799
El Salvador	3629	5638
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	142	57
Eswatini	400	503
Ethiopia	4698	8027
Faroe Islands	146	..
Fiji	149	320
Finland	-2723	-2736
France	-49828	-52574
French Polynesia	631	..
Gabon	-226	..
Gambia, The	78	213
Georgia	1098	1373
Germany	-52955	-53353
Ghana	2322	2583
Greece	-2386	653
Greenland	..	..
Grenada	32	-10
Guam	..	..
Guatemala	5013	11148
Guinea	17	96
Guinea-Bissau	60	76
Guyana	371	468
Haiti	3147	3497
Honduras	2882	5894
Hungary	-629	-1397
Iceland	-93	-182
India	52110	72867
Indonesia	4630	7629
Iran, Islamic Rep.	..	..
Iraq	-2507	308
Ireland	-1839	-3653
Isle of Man	..	..
Israel	8142	7733
Italy	-26430	-19105
Jamaica	2010	2452
Japan	-12395	-12649
Jordan	3822	5058
Kazakhstan	-489	329
Kenya	2327	4448
Kiribati	30	59
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	-5317	-6063
Kosovo	1302	1515
Kuwait	-12258	-14855
Kyrgyz Republic	1391	2421
Lao PDR	179	242
Latvia	558	262
Lebanon	2450	1578
Lesotho	673	585
Liberia	796	153
Libya	-1828	-753
Liechtenstein	..	..
Lithuania	1059	852
Luxembourg	165	-482
Madagascar	541	973
Malawi	641	563
Malaysia	-6770	-4778
Maldives	-199	-491
Mali	538	1568
Malta	101	-175
Marshall Islands	60	43
Mauritania	311	205
Mauritius	183	-293
Mexico	21904	35279
Micronesia, Fed. Sts.	112	..
Moldova	1268	1224
Monaco	..	..
Mongolia	187	241
Montenegro	240	318
Morocco	7270	7816
Mozambique	828	338
Myanmar	239	2581
Namibia	1152	1333
Nepal	4086	8982
Netherlands	-11889	-7749
New Caledonia	628	..
New Zealand	38	-438
Nicaragua	1161	1611
Niger	449	486
Nigeria	20705	24134
North Macedonia	1790	1969
Northern Mariana Islands	..	..
Norway	-5061	-6534
Oman	-5704	-9958
Pakistan	13793	24829
Palau	27	16
Panama	138	-31
Papua New Guinea	188	314
Paraguay	557	793
Peru	3026	3556
Philippines	17596	27620
Poland	-118	-2045
Portugal	751	4708
Puerto Rico	..	..
Qatar	-12651	-16607
Romania	4181	1660
Russian Federation	-6318	-10182
Rwanda	581	657
Samoa	147	180
San Marino	..	..
Sao Tome and Principe	9	26
Saudi Arabia	-27921	-36620
Senegal	1551	2059
Serbia	4443	4346
Seychelles	5	-6
Sierra Leone	179	324
Singapore	-5512	-6280
Sint Maarten (Dutch part)	-42	513
Slovak Republic	-741	-1154
Slovenia	-80	-569
Solomon Islands	132	30
Somalia	..	..
South Africa	-2278	-2462
South Sudan	..	491
Spain	-16744	-14323
Sri Lanka	3660	6163
St. Kitts and Nevis	47	-28
St. Lucia	15	8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	10	44
Sudan	2167	375
Suriname	87	90
Sweden	-8166	-10226
Switzerland	-8419	-11347
Syrian Arab Republic	949	..
Tajikistan	593	650
Tanzania	1051	469
Thailand	6116	7283
Timor-Leste	484	-70
Togo	356	422
Tonga	91	174
Trinidad and Tobago	29	-96
Tunisia	1935	1767
Turkey	1475	974
Turkmenistan	..	..
Turks and Caicos Islands	..	-78
Tuvalu	13	..
Uganda	1362	1814
Ukraine	2975	6308
United Arab Emirates	..	..
United Kingdom	-30962	-35194
United States	-104261	-138923
Uruguay	140	190
Uzbekistan	..	5455
Vanuatu	22	21
Venezuela, RB	-900	..
Vietnam	7885	8857
Virgin Islands (U.S.)	..	..
West Bank and Gaza	1991	1774
Yemen, Rep.	2123	..
Zambia	432	331
Zimbabwe	1498	1697
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	..	..
South Asia	..	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
