Country	Exports (2007)	Exports (2017)
East Asia & Pacific (excluding high income)	10.6	16.4
American Samoa	22.2	18.2
Cambodia	3.6	14.5
China	5.5	10.8
Fiji	16	24.6
Indonesia	18.9	29.6
Kiribati	8.3	79.1
Korea, Dem. Peopleâ€™s Rep.	22.5	86.5
Lao PDR	70.9	81.5
Malaysia	19.7	28.1
Marshall Islands	0	16
Micronesia, Fed. Sts.	0.9	74.9
Mongolia	72.5	85.1
Myanmar	44.4	61.6
Palau	..	..
Papua New Guinea	12.8	20.7
Philippines	21.1	20.5
Samoa	5.1	35.4
Solomon Islands	70.3	74.2
Thailand	24.9	34.3
Timor-Leste	1.9	36.9
Tonga	9.1	13
Tuvalu	7.7	3.4
Vanuatu	17.2	35.3
Vietnam	19.6	25.5
Europe & Central Asia (excluding high income)	25.4	21
Albania	7.3	18.8
Armenia	35	46.1
Azerbaijan	37.3	21.4
Belarus	47.3	61.7
Bosnia and Herzegovina	20.5	23.9
Bulgaria	29.7	24.9
Georgia	56.9	60.8
Kazakhstan	20.5	21.5
Kosovo	55.6	48.5
Kyrgyz Republic	69	49.3
Lithuania	..	..
North Macedonia	34.8	23.6
Moldova	62.1	52.7
Montenegro	28.4	49
Romania	17.6	13.1
Russian Federation	22.6	20.2
Serbia	41.7	33.7
Tajikistan	47.1	46.6
Turkey	15.8	11.7
Turkmenistan	84.3	12.8
Ukraine	48.6	26.5
Uzbekistan	35.9	37.3
Latin America & Caribbean (excluding high income)	15.6	12.2
Antigua and Barbuda	..	..
Argentina	30.5	25.3
Belize	20.6	10.3
Bolivia	60.1	44.4
Brazil	21.6	16
Chile	..	..
Colombia	33.5	21.4
Costa Rica	20.9	24.4
Cuba	51.2	30.6
Dominica	26.5	19.5
Dominican Republic	10.7	13.4
Ecuador	25.4	15.3
El Salvador	38.2	44.1
Grenada	17.9	25.5
Guatemala	39.9	38.9
Guyana	10.1	12.9
Haiti	11	6.6
Honduras	30.8	24.9
Jamaica	1.7	5.7
Mexico	5.3	4.5
Nicaragua	42.6	29.8
Panama	..	..
Paraguay	68.6	53.2
Peru	12.9	10.7
St. Kitts and Nevis	..	..
St. Lucia	15.5	16.4
St. Vincent and the Grenadines	29.5	19.4
Suriname	4	10.3
Uruguay	..	..
Venezuela, RB	10.4	8.4
Middle East & North Africa (excluding high income)	6.9	4.1
Algeria	1.7	5.3
Djibouti	8.5	5
Egypt, Arab Rep.	10.1	7.8
Iran, Islamic Rep.	1.7	0.4
Iraq	2.6	1.4
Jordan	24.7	17.7
Lebanon	24.9	20.9
Libya	3	9.1
Morocco	2.7	2.5
Syrian Arab Republic	23.5	54.2
Tunisia	9	8.2
West Bank and Gaza	5.8	7.6
Yemen, Rep.	1.8	32.9
South Asia	6.6	7.2
Afghanistan	43.3	83.1
Bangladesh	2.3	2.2
Bhutan	83.3	96
India	5.8	6.9
Maldives	16.5	5.5
Nepal	72.5	55.9
Pakistan	9.1	12.3
Sri Lanka	7.8	8.9
Sub-Saharan Africa (excluding high income)	13.7	20.5
Angola	1.6	5.1
Benin	36.2	20.9
Botswana	18	14.3
Burkina Faso	30.2	13.1
Burundi	11.9	29.7
Cabo Verde	0.7	0.9
Cameroon	18.1	11.6
Central African Republic	2.7	15.4
Chad	0.2	0.6
Comoros	8.8	6.4
Congo, Dem. Rep.	27.4	27.4
Congo, Rep.	10.5	25.6
Cote d'Ivoire	30	22.1
Eritrea	17.5	0.3
Ethiopia	9.8	30.7
Gabon	3.4	6.3
Gambia, The	35.9	37.4
Ghana	47.4	14
Guinea	3.1	19.4
Guinea-Bissau	68.9	9.4
Kenya	37.9	34.2
Lesotho	75.3	34.3
Liberia	2.7	2.7
Madagascar	3.3	6.9
Malawi	36.8	27.5
Mali	76.3	59.3
Mauritania	23.3	6.7
Mauritius	10.6	20
Mozambique	22.6	22.1
Namibia	35.9	42.8
Niger	17.3	19
Nigeria	9.3	11.2
Rwanda	35.3	29.8
Sao Tome and Principe	26.9	4.4
Senegal	51.1	43.2
Seychelles	..	..
Sierra Leone	22.5	32.9
Somalia	12.5	5.1
South Africa	14.1	25.8
Sudan	0.3	4.2
Eswatini	32.3	81.7
Tanzania	30.3	37
Togo	53.8	68.7
Uganda	44.1	49.7
Zambia	24.1	19.2
Zimbabwe	68.9	90
