Country	Most recent year	Tariff
Afghanistan	..	0
Albania	2017	0
Algeria	..	0
American Samoa	..	..
Andorra	..	..
Angola	2016	0
Antigua and Barbuda	2017	0
Argentina	2017	0
Armenia	2017	1.1
Aruba	..	0.5
Australia	2017	0
Austria	2017	0.7
Azerbaijan	..	2.6
Bahamas, The	..	0.7
Bahrain	2017	0.9
Bangladesh	2016	0
Barbados	2013	0.8
Belarus	..	1.5
Belgium	2017	0.7
Belize	2017	1.4
Benin	2017	0
Bermuda	..	0.3
Bhutan	..	0
Bolivia	2017	0
Bosnia and Herzegovina	..	0.3
Botswana	2017	0.2
Brazil	2017	0
Brunei Darussalam	2017	0.2
Bulgaria	2017	0.7
Burkina Faso	2017	0
Burundi	2016	0
Cabo Verde	2015	0
Cambodia	2016	0.2
Cameroon	2014	0
Canada	2017	0.2
Cayman Islands	..	1.4
Central African Republic	2017	0
Chad	2016	0.3
Channel Islands	..	..
Chile	2017	0
China	2017	0.1
Hong Kong SAR, China	2017	0
Macao SAR, China	2017	0
Colombia	2017	0
Comoros	..	0
Congo, Dem. Rep.	2014	0
Congo, Rep.	2015	0
Costa Rica	2016	0
Cote d'Ivoire	2017	0
Croatia	2017	0.7
Cuba	2017	0
Curacao	..	..
Czech Republic	2017	0.7
Denmark	2017	0.7
Djibouti	2014	0.2
Dominica	2017	0
Dominican Republic	2017	0
Ecuador	2017	0
Egypt, Arab Rep.	2017	0
El Salvador	2017	0
Equatorial Guinea	..	0.2
Eritrea	..	0
Estonia	2017	0.7
Ethiopia	..	0.1
Faroe Islands	..	..
Fiji	2017	0.6
Finland	2017	0.7
France	2017	0.7
French Polynesia	..	0
Gabon	2016	0
Gambia, The	2013	0
Georgia	2016	7.8
Germany	2017	0.7
Ghana	2017	0.1
Greece	2017	0.7
Greenland	..	..
Grenada	2016	0.1
Guam	..	..
Guatemala	2015	0
Guinea	2017	0
Guinea-Bissau	2017	0
Guyana	2017	0
Haiti	2016	0.1
Honduras	2015	0.1
Hungary	2017	0.7
Iceland	2017	0.1
India	2017	1.5
Indonesia	2017	0.1
Iran, Islamic Rep.	..	0.2
Iraq	..	..
Ireland	2017	0.7
Isle of Man	..	..
Israel	2017	0
Italy	2017	0.7
Jamaica	2016	0
Japan	2017	0.9
Jordan	2017	0
Kazakhstan	2017	1.1
Kenya	2016	0
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2017	0
Kosovo	..	..
Kuwait	2017	0.5
Kyrgyz Republic	2017	0.9
Lao PDR	2017	0
Latvia	2017	0.7
Lebanon	..	0.2
Lesotho	2017	0.2
Liberia	..	0
Libya	..	0
Liechtenstein	2017	..
Lithuania	2017	0.7
Luxembourg	2017	0.7
North Macedonia	2017	0
Madagascar	2017	0
Malawi	2016	0
Malaysia	2016	0.4
Maldives	2017	0
Mali	2017	0
Malta	2017	0.7
Marshall Islands	..	..
Mauritania	2015	0.1
Mauritius	2017	0
Mexico	2017	0.1
Micronesia, Fed. Sts.	..	..
Moldova	2016	0.1
Monaco	..	..
Mongolia	2017	0
Montenegro	2017	0
Morocco	2017	0
Mozambique	2016	0.5
Myanmar	2015	0
Namibia	2017	0.1
Nepal	2016	0.9
Netherlands	2017	0.7
New Caledonia	..	..
New Zealand	2017	0.7
Nicaragua	2017	0
Niger	2017	0
Nigeria	2016	0
Northern Mariana Islands	..	..
Norway	2017	0
Oman	2017	0.3
Pakistan	2016	0
Palau	..	0.6
Panama	2015	0.1
Papua New Guinea	2013	0.2
Paraguay	2017	0
Peru	2017	0
Philippines	2017	0
Poland	2017	0.7
Portugal	2017	0.7
Puerto Rico	..	..
Qatar	2017	0.7
Romania	2017	0.7
Russian Federation	2017	1.4
Rwanda	2016	0.1
Samoa	2017	0.2
San Marino	..	..
Sao Tome and Principe	..	0.5
Saudi Arabia	2017	0.2
Senegal	2017	0
Serbia	..	..
Seychelles	2017	0.3
Sierra Leone	2012	0.4
Singapore	2017	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	0.7
Slovenia	2017	0.7
Solomon Islands	2017	0.5
Somalia	..	..
South Africa	2017	0.1
South Sudan	..	..
Spain	2017	0.7
Sri Lanka	2017	0.4
St. Kitts and Nevis	2017	0
St. Lucia	2016	0
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	0
Sudan	..	0
Suriname	2013	0
Eswatini	2017	0.2
Sweden	2017	0.7
Switzerland	2017	0
Syrian Arab Republic	..	0.1
Tajikistan	2017	0.8
Tanzania	2016	0
Thailand	2015	0.5
Timor-Leste	..	0
Togo	2017	0
Tonga	2017	0
Trinidad and Tobago	2013	0.2
Tunisia	2016	0.2
Turkey	2017	0.7
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	0.6
Uganda	2016	0
Ukraine	2017	0
United Arab Emirates	2017	1
United Kingdom	2017	0.7
United States	2017	1
Uruguay	2017	0
Uzbekistan	..	13.1
Vanuatu	2017	0
Venezuela, RB	2017	0
Vietnam	2017	0.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	0.8
Zambia	2016	0
Zimbabwe	2016	6
World	2017	0.4
East Asia & Pacific	2017	0.2
Europe & Central Asia	2017	0.6
Latin America & Caribbean	2017	0
Middle East & North Africa	2017	0.3
North America	..	..
South Asia	2017	1.1
Sub-Saharan Africa	2017	0.1
Low income	2017	0.2
Lower middle income	..	..
Upper middle income	2017	0.4
High income	2017	0.3
