Country	Survey Year	Crime
Afghanistan	2014	24.2
Albania	2019	4.5
Algeria	2007	..
American Samoa	..	..
Andorra	..	..
Angola	2010	12.4
Antigua and Barbuda	2010	2.6
Argentina	2017	1.8
Armenia	2013	5.3
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	2.9
Bahamas, The	2010	1.7
Bahrain	..	..
Bangladesh	2013	3.9
Barbados	2010	0.6
Belarus	2018	2
Belgium	..	..
Belize	2010	1
Benin	2016	3.1
Bermuda	..	..
Bhutan	2015	7.1
Bolivia	2017	5.9
Bosnia and Herzegovina	2019	1.5
Botswana	2010	3.1
Brazil	2009	6.9
Brunei Darussalam	..	..
Bulgaria	2019	2.6
Burkina Faso	2009	3.1
Burundi	2014	3.8
Cambodia	2016	3.2
Cameroon	2016	8.9
Canada	..	..
Cabo Verde	2009	3.9
Cayman Islands	..	..
Central African Republic	2011	12
Chad	2018	9.5
Channel Islands	..	..
Chile	2010	1.7
China	2012	0.5
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	1.9
Comoros	..	..
Congo, Dem. Rep.	2013	8.3
Congo, Rep.	2009	16.9
Costa Rica	2010	1.3
Cote d'Ivoire	2016	10.1
Croatia	2019	1.4
Cuba	..	..
Curacao	..	..
Cyprus	2019	6.2
Czech Republic	2019	0.9
Denmark	..	..
Djibouti	2013	4.4
Dominica	2010	..
Dominican Republic	2016	6.6
Ecuador	2017	2.3
Egypt, Arab Rep.	2016	17
El Salvador	2016	3.3
Equatorial Guinea	..	..
Eritrea	2009	..
Estonia	2019	1.1
Ethiopia	2015	3.4
Faroe Islands	..	..
Fiji	2009	3.6
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	3.5
Gambia, The	2018	7
Georgia	2019	1.3
Germany	2005	..
Ghana	2013	7.8
Greece	2018	1.1
Greenland	..	..
Grenada	2010	4.6
Guam	..	..
Guatemala	2017	4
Guinea	2016	9.6
Guinea-Bissau	2006	3.3
Guyana	2010	2.5
Haiti	..	..
Honduras	2016	7.2
Hungary	2019	1.3
Iceland	..	..
India	2014	2.7
Indonesia	2015	9.2
Iran, Islamic Rep.	..	..
Iraq	2011	10
Ireland	2005	..
Isle of Man	..	..
Israel	2013	1.2
Italy	2019	3.6
Jamaica	2010	3.4
Japan	..	..
Jordan	2019	1.1
Kazakhstan	2019	4.1
Kenya	2018	4.9
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	..
Kosovo	2019	10.5
Kuwait	..	..
Kyrgyz Republic	2019	5.9
Lao PDR	2018	2.3
Latvia	2019	0.9
Lebanon	2019	9.1
Lesotho	2016	17.3
Liberia	2017	9.3
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	0.9
Luxembourg	..	..
North Macedonia	2019	2
Madagascar	2013	5.3
Malawi	2014	8.5
Malaysia	2015	8.5
Maldives	..	..
Mali	2016	4
Malta	2019	1.6
Marshall Islands	..	..
Mauritania	2014	7.8
Mauritius	2009	10.5
Mexico	2010	3.6
Micronesia, Fed. Sts.	2009	4.6
Moldova	2019	2.3
Monaco	..	..
Mongolia	2019	1.1
Montenegro	2019	0.9
Morocco	2019	11.1
Mozambique	2018	8
Myanmar	2016	1.1
Namibia	2014	12.5
Nepal	2013	10.2
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	3.5
Niger	2017	4.5
Nigeria	2014	13.6
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	6.5
Palau	..	..
Panama	2010	5.6
Papua New Guinea	2015	4.8
Paraguay	2017	2.3
Peru	2017	2.8
Philippines	2015	1.3
Poland	2019	3.4
Portugal	2019	3.6
Puerto Rico	..	..
Qatar	..	..
Romania	2013	2.8
Russian Federation	2019	1.7
Rwanda	2019	6.8
Samoa	2009	10.3
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	5.3
Serbia	2019	1.3
Seychelles	..	..
Sierra Leone	2017	11.7
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	1.9
Slovenia	2019	2.1
Solomon Islands	2015	2.6
Somalia	..	..
South Africa	2007	2.4
South Sudan	2014	10.8
Spain	2005	..
Sri Lanka	2011	1.8
St. Kitts and Nevis	2010	2.7
St. Lucia	2010	1.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	4.7
Sudan	2014	4.5
Suriname	2018	8.4
Eswatini	2016	7.1
Sweden	2014	0.8
Switzerland	..	..
Syrian Arab Republic	2009	..
Tajikistan	2019	4.5
Tanzania	2013	6.8
Thailand	2016	0.8
Timor-Leste	2015	15.2
Togo	2016	7.3
Tonga	2009	4
Trinidad and Tobago	2010	1.7
Tunisia	2013	9.8
Turkey	2019	2.5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	7.2
Ukraine	2019	3.5
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	2.1
Uzbekistan	2019	6.8
Vanuatu	2009	6.4
Venezuela, RB	2010	3.6
Vietnam	2015	3.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	7.5
Yemen, Rep.	2013	4.9
Zambia	2019	4.2
Zimbabwe	2016	4.6
