Country	Savings %
Afghanistan	18
Albania	16.2
Algeria	38.4
American Samoa	..
Andorra	..
Angola	27.3
Antigua and Barbuda	..
Argentina	16.1
Armenia	13.4
Aruba	8.8
Australia	22.4
Austria	27.7
Azerbaijan	34.8
Bahamas, The	13.4
Bahrain	26
Bangladesh	31.8
Barbados	-1.4
Belarus	30.3
Belgium	24.3
Belize	9.4
Benin	19.9
Bermuda	..
Bhutan	23.7
Bolivia	16.4
Bosnia and Herzegovina	15.2
Botswana	38.3
Brazil	12.7
Brunei Darussalam	53.3
Bulgaria	27.3
Burkina Faso	21.1
Burundi	4.3
Cabo Verde	35.5
Cambodia	26.5
Cameroon	17.8
Canada	19.9
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	20.3
China	46.4
Hong Kong SAR, China	24.7
Macao SAR, China	57.1
Colombia	15.6
Comoros	12.7
Congo, Dem. Rep.	21.9
Congo, Rep.	-4.8
Costa Rica	15.6
Cote d'Ivoire	15.2
Croatia	25.4
Cuba	..
Curacao	..
Cyprus	21
Czech Republic	27.8
Denmark	28.3
Djibouti	27.3
Dominica	..
Dominican Republic	24.6
Ecuador	26
Egypt, Arab Rep.	14.2
El Salvador	16.6
Equatorial Guinea	..
Eritrea	..
Estonia	29.1
Eswatini	22.3
Ethiopia	33.4
Faroe Islands	..
Fiji	..
Finland	23.8
France	22.4
French Polynesia	..
Gabon	..
Gambia, The	8.7
Georgia	22
Germany	28.5
Ghana	21.4
Greece	12.9
Greenland	..
Grenada	..
Guam	..
Guatemala	13.7
Guinea	3.2
Guinea-Bissau	8.8
Guyana	36.2
Haiti	24.2
Honduras	22.3
Hungary	27.7
Iceland	22
India	31.3
Indonesia	32.6
Iran, Islamic Rep.	..
Iraq	20.3
Ireland	45.4
Isle of Man	..
Israel	24.4
Italy	20.5
Jamaica	22.3
Japan	27
Jordan	10.9
Kazakhstan	34.5
Kenya	10.6
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	34.7
Kosovo	20.4
Kuwait	37.4
Kyrgyz Republic	28.8
Lao PDR	18.4
Latvia	23.2
Lebanon	5.5
Lesotho	15.8
Liberia	-74
Libya	..
Liechtenstein	..
Lithuania	21
Luxembourg	27.3
Madagascar	19.2
Malawi	13.3
Malaysia	26.7
Maldives	..
Mali	16.8
Malta	33.5
Marshall Islands	13.5
Mauritania	19.9
Mauritius	15.3
Mexico	24.3
Micronesia, Fed. Sts.	..
Moldova	14.3
Monaco	..
Mongolia	33.4
Montenegro	14.7
Morocco	28.3
Mozambique	13.1
Myanmar	30.1
Namibia	14.4
Nepal	49.1
Netherlands	31.5
New Caledonia	..
New Zealand	20.4
Nicaragua	25.1
Niger	23.1
Nigeria	20.2
North Macedonia	34.5
Northern Mariana Islands	..
Norway	34.4
Oman	24
Pakistan	17.8
Palau	10.2
Panama	32.1
Papua New Guinea	..
Paraguay	23.9
Peru	20.9
Philippines	35.3
Poland	20.5
Portugal	18.5
Puerto Rico	..
Qatar	52.6
Romania	19.6
Russian Federation	31
Rwanda	12.7
Samoa	..
San Marino	..
Sao Tome and Principe	..
Saudi Arabia	32.9
Senegal	20.7
Serbia	19.8
Seychelles	10.7
Sierra Leone	-7.8
Singapore	49.4
Sint Maarten (Dutch part)	..
Slovak Republic	22.5
Slovenia	27.3
Solomon Islands	..
Somalia	..
South Africa	15.4
South Sudan	..
Spain	22.3
Sri Lanka	26.2
St. Kitts and Nevis	..
St. Lucia	10.4
St. Martin (French part)	..
St. Vincent and the Grenadines	4.4
Sudan	16.2
Suriname	..
Sweden	28.8
Switzerland	34.3
Syrian Arab Republic	..
Tajikistan	20.2
Tanzania	31.2
Thailand	33.7
Timor-Leste	9.6
Togo	22.5
Tonga	..
Trinidad and Tobago	..
Tunisia	8.6
Turkey	27.5
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	18.9
Ukraine	10.9
United Arab Emirates	..
United Kingdom	13.6
United States	18.3
Uruguay	12.9
Uzbekistan	40.7
Vanuatu	..
Venezuela, RB	..
Vietnam	24.3
Virgin Islands (U.S.)	..
West Bank and Gaza	10
Yemen, Rep.	..
Zambia	32
Zimbabwe	-3.7
World	27.1
East Asia & Pacific	38.4
Europe & Central Asia	24.7
Latin America & Caribbean	17.7
Middle East & North Africa	28.3
North America	18.4
South Asia	30
Sub-Saharan Africa	18.9
Low income	21
Lower middle income	27.5
Upper middle income	37
High income	22.8
