Country	Treatment success rate (2017)	Cases detection rate (2018)
Afghanistan	91	69
Albania	87	87
Algeria	91	80
American Samoa	80	87
Andorra	100	87
Angola	25	61
Antigua and Barbuda	100	87
Argentina	57	87
Armenia	79	80
Aruba	..	87
Australia	82	87
Austria	69	74
Azerbaijan	84	80
Bahamas, The	71	87
Bahrain	68	87
Bangladesh	94	75
Barbados	100	87
Belarus	89	80
Belgium	79	88
Belize	71	87
Benin	87	62
Bermuda	100	87
Bhutan	93	80
Bolivia	83	62
Bosnia and Herzegovina	45	80
Botswana	78	59
Brazil	71	87
Brunei Darussalam	75	87
Bulgaria	84	82
Burkina Faso	80	63
Burundi	93	58
Cabo Verde	91	80
Cambodia	94	58
Cameroon	84	50
Canada	80	87
Cayman Islands	100	87
Central African Republic	78	43
Chad	79	59
Channel Islands	..	..
Chile	78	87
China	93	92
Hong Kong SAR, China	65	87
Macao SAR, China	82	87
Colombia	73	80
Comoros	89	45
Congo, Dem. Rep.	90	63
Congo, Rep.	66	54
Costa Rica	92	80
Cote d'Ivoire	83	59
Croatia	66	100
Cuba	82	87
Curacao	50	87
Cyprus	67	79
Czech Republic	69	75
Denmark	39	87
Djibouti	85	80
Dominica	100	87
Dominican Republic	74	80
Ecuador	74	80
Egypt, Arab Rep.	86	68
El Salvador	90	80
Equatorial Guinea	75	50
Eritrea	92	61
Estonia	80	87
Eswatini	86	80
Ethiopia	96	69
Faroe Islands	..	..
Fiji	81	80
Finland	36	88
France	24	83
French Polynesia	81	87
Gabon	25	51
Gambia, The	81	60
Georgia	84	73
Germany	71	87
Ghana	85	32
Greece	..	86
Greenland	77	87
Grenada	67	87
Guam	89	87
Guatemala	87	80
Guinea	88	65
Guinea-Bissau	64	30
Guyana	71	80
Haiti	78	69
Honduras	87	80
Hungary	67	97
Iceland	92	87
India	81	74
Indonesia	85	67
Iran, Islamic Rep.	86	80
Iraq	92	44
Ireland	35	87
Isle of Man	..	..
Israel	87	87
Italy	..	88
Jamaica	27	80
Japan	68	87
Jordan	56	80
Kazakhstan	91	100
Kenya	83	63
Kiribati	89	80
Korea, Dem. Peopleâ€™s Rep.	83	69
Korea, Rep.	83	94
Kosovo	..	..
Kuwait	89	87
Kyrgyz Republic	82	87
Lao PDR	89	57
Latvia	85	87
Lebanon	84	87
Lesotho	76	55
Liberia	77	53
Libya	59	68
Liechtenstein	..	..
Lithuania	83	87
Luxembourg	0	87
Madagascar	84	55
Malawi	86	48
Malaysia	81	87
Maldives	68	80
Mali	78	68
Malta	..	92
Marshall Islands	83	170
Mauritania	77	59
Mauritius	88	80
Mexico	77	80
Micronesia, Fed. Sts.	88	80
Moldova	81	87
Monaco	..	..
Mongolia	91	29
Montenegro	87	87
Morocco	88	87
Mozambique	90	57
Myanmar	87	76
Namibia	86	61
Nepal	91	75
Netherlands	87	87
New Caledonia	35	87
New Zealand	82	87
Nicaragua	86	80
Niger	82	55
Nigeria	86	24
North Macedonia	88	80
Northern Mariana Islands	98	87
Norway	91	87
Oman	51	87
Pakistan	93	64
Palau	80	87
Panama	73	80
Papua New Guinea	68	75
Paraguay	71	87
Peru	86	80
Philippines	91	63
Poland	54	87
Portugal	38	87
Puerto Rico	69	87
Qatar	64	87
Romania	86	87
Russian Federation	69	99
Rwanda	87	80
Samoa	57	87
San Marino	..	..
Sao Tome and Principe	75	57
Saudi Arabia	90	87
Senegal	87	71
Serbia	86	87
Seychelles	56	87
Sierra Leone	90	75
Singapore	79	87
Sint Maarten (Dutch part)	100	87
Slovak Republic	92	87
Slovenia	77	89
Solomon Islands	92	80
Somalia	86	42
South Africa	77	76
South Sudan	82	91
Spain	61	100
Sri Lanka	85	64
St. Kitts and Nevis	0	87
St. Lucia	91	87
St. Martin (French part)	..	..
St. Vincent and the Grenadines	67	87
Sudan	80	67
Suriname	73	80
Sweden	87	87
Switzerland	78	87
Syrian Arab Republic	86	80
Tajikistan	91	75
Tanzania	90	53
Thailand	84	80
Timor-Leste	88	60
Togo	82	85
Tonga	82	87
Trinidad and Tobago	67	87
Tunisia	89	80
Turkey	86	87
Turkmenistan	85	80
Turks and Caicos Islands	75	87
Tuvalu	68	87
Uganda	72	65
Ukraine	76	75
United Arab Emirates	74	87
United Kingdom	81	89
United States	77	87
Uruguay	73	87
Uzbekistan	89	72
Vanuatu	96	67
Venezuela, RB	82	80
Vietnam	92	57
Virgin Islands (U.S.)	..	..
West Bank and Gaza	100	80
Yemen, Rep.	89	71
Zambia	90	58
Zimbabwe	83	83
World	85	70
East Asia & Pacific	89	74
Europe & Central Asia	76	88
Latin America & Caribbean	76	81
Middle East & North Africa	87	76
North America	77	87
South Asia	84	73
Sub-Saharan Africa	82	56
Low income	88	62
Lower middle income	84	66
Upper middle income	86	86
High income	73	89
