Country	Survey Year	Gender
Afghanistan	2014	4.7
Albania	2019	18.1
Algeria	2007	..
American Samoa	..	..
Andorra	..	..
Angola	2010	13.5
Antigua and Barbuda	2010	17.5
Argentina	2017	8
Armenia	2013	14.1
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2013	2.6
Bahamas, The	2010	33.2
Bahrain	..	..
Bangladesh	2013	4.8
Barbados	2010	25.4
Belarus	2018	21.1
Belgium	..	..
Belize	2010	25.5
Benin	2016	25.9
Bermuda	..	..
Bhutan	2015	26.3
Bolivia	2017	26.3
Bosnia and Herzegovina	2019	16.6
Botswana	2010	16.5
Brazil	2009	19.4
Brunei Darussalam	..	..
Bulgaria	2019	28.8
Burkina Faso	2009	11.3
Burundi	2014	16.3
Cambodia	2016	57.3
Cameroon	2016	22.9
Canada	..	..
Cabo Verde	2009	16.7
Cayman Islands	..	..
Central African Republic	2011	12.1
Chad	2018	12
Channel Islands	..	..
Chile	2010	4.5
China	2012	17.5
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	2017	18.9
Comoros	..	..
Congo, Dem. Rep.	2013	10.8
Congo, Rep.	2009	17.2
Costa Rica	2010	15.4
Cote d'Ivoire	2016	14.3
Croatia	2019	27
Cuba	..	..
Curacao	..	..
Cyprus	2019	8.2
Czech Republic	2019	16.1
Denmark	..	..
Djibouti	2013	14.2
Dominica	2010	23.6
Dominican Republic	2016	21.2
Ecuador	2017	22.9
Egypt, Arab Rep.	2016	4.9
El Salvador	2016	28
Equatorial Guinea	..	..
Eritrea	2009	7.6
Estonia	2019	22.5
Ethiopia	2015	4.5
Faroe Islands	..	..
Fiji	2009	..
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2009	11.5
Gambia, The	2018	9.6
Georgia	2019	16.5
Germany	2005	..
Ghana	2013	14.9
Greece	2018	17.2
Greenland	..	..
Grenada	2010	24
Guam	..	..
Guatemala	2017	18.5
Guinea	2016	5.8
Guinea-Bissau	2006	..
Guyana	2010	17.7
Haiti	..	..
Honduras	2016	28
Hungary	2019	22.1
Iceland	..	..
India	2014	8.9
Indonesia	2015	22.1
Iran, Islamic Rep.	..	..
Iraq	2011	2.3
Ireland	2005	..
Isle of Man	..	..
Israel	2013	10.1
Italy	2019	15.3
Jamaica	2010	24.1
Japan	..	..
Jordan	2019	3.1
Kazakhstan	2019	26
Kenya	2018	18.1
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	2005	..
Kosovo	2019	2.7
Kuwait	..	..
Kyrgyz Republic	2019	32.9
Lao PDR	2018	43.1
Latvia	2019	32.6
Lebanon	2019	5.9
Lesotho	2016	36.2
Liberia	2017	20.4
Libya	..	..
Liechtenstein	..	..
Lithuania	2019	30.7
Luxembourg	..	..
North Macedonia	2019	21.3
Madagascar	2013	28.2
Malawi	2014	14.2
Malaysia	2015	26.3
Maldives	..	..
Mali	2016	11.6
Malta	2019	11.3
Marshall Islands	..	..
Mauritania	2014	4.5
Mauritius	2009	..
Mexico	2010	14.6
Micronesia, Fed. Sts.	2009	..
Moldova	2019	18.6
Monaco	..	..
Mongolia	2019	38.9
Montenegro	2019	15
Morocco	2019	5.4
Mozambique	2018	15.6
Myanmar	2016	41.1
Namibia	2014	27.4
Nepal	2013	17.2
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	27
Niger	2017	10.6
Nigeria	2014	13.9
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2013	6
Palau	..	..
Panama	2010	23.5
Papua New Guinea	2015	13.8
Paraguay	2017	19.6
Peru	2017	19.9
Philippines	2015	29.9
Poland	2019	27.8
Portugal	2019	14
Puerto Rico	..	..
Qatar	..	..
Romania	2013	20.1
Russian Federation	2019	24.3
Rwanda	2019	21.8
Samoa	2009	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	2014	14.1
Serbia	2019	18.2
Seychelles	..	..
Sierra Leone	2017	15.9
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2019	22.9
Slovenia	2019	18.8
Solomon Islands	2015	22.6
Somalia	..	..
South Africa	2007	..
South Sudan	2014	9.5
Spain	2005	..
Sri Lanka	2011	8.8
St. Kitts and Nevis	2010	21.1
St. Lucia	2010	23.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2010	38.6
Sudan	2014	3.4
Suriname	2018	11.9
Eswatini	2016	27.4
Sweden	2014	12.5
Switzerland	..	..
Syrian Arab Republic	2009	22.8
Tajikistan	2019	6.6
Tanzania	2013	14
Thailand	2016	64.8
Timor-Leste	2015	27
Togo	2016	11.4
Tonga	2009	..
Trinidad and Tobago	2010	20.8
Tunisia	2013	8.5
Turkey	2019	3.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	2013	15.4
Ukraine	2019	17.7
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2017	10.6
Uzbekistan	2019	12.4
Vanuatu	2009	..
Venezuela, RB	2010	31.1
Vietnam	2015	22.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2019	0.9
Yemen, Rep.	2013	1.6
Zambia	2019	12.9
Zimbabwe	2016	16.3
