Country	$ (1990-2000)	$ (2000-2019)
Afghanistan	..	..
Albania	..	2.1
Algeria	19.5	3.3
American Samoa	..	..
Andorra	..	..
Angola	..	4.5
Antigua and Barbuda	..	..
Argentina	4.3	1
Armenia	4.5	2.5
Aruba	..	..
Australia	3.3	2.6
Austria	2.1	0.8
Azerbaijan	2.5	..
Bahamas, The	3.4	1.6
Bahrain	..	3.3
Bangladesh	2.6	5.7
Barbados	..	..
Belarus	-0.9	2.9
Belgium	1.8	1.2
Belize	8.1	2.1
Benin	3.9	3.6
Bermuda	..	..
Bhutan	..	7.7
Bolivia	3.6	4.9
Bosnia and Herzegovina	..	1.1
Botswana	5.4	4.7
Brazil	3.1	0.7
Brunei Darussalam	2.5	1.7
Bulgaria	-3.9	2.7
Burkina Faso	5	4.7
Burundi	..	3
Cabo Verde	..	2.8
Cambodia	6	5.6
Cameroon	3.6	4.5
Canada	2	2.1
Cayman Islands	..	..
Central African Republic	..	-3.1
Chad	..	1.2
Channel Islands	..	..
Chile	7.1	3.7
China	10.7	8.2
Hong Kong SAR, China	3.9	3.9
Macao SAR, China	3.9	5.2
Colombia	3.9	3.8
Comoros	1.6	2.8
Congo, Dem. Rep.	-2.5	4.9
Congo, Rep.	2.3	-1.7
Costa Rica	3.9	3.6
Cote d'Ivoire	..	7.9
Croatia	2.2	0.7
Cuba	-0.6	2.9
Curacao	..	..
Cyprus	6	0.5
Czech Republic	1.7	2.1
Denmark	2.3	1.3
Djibouti	..	..
Dominica	..	..
Dominican Republic	4.9	4.6
Ecuador	2	2.3
Egypt, Arab Rep.	4	4.2
El Salvador	3.6	2
Equatorial Guinea	..	4.7
Eritrea	5.5	..
Estonia	5.2	3.4
Eswatini	7.4	2.1
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	1.7	1
France	1.7	1.1
French Polynesia	..	..
Gabon	0.8	2.2
Gambia, The	..	4.3
Georgia	..	3.6
Germany	1.8	1.7
Ghana	..	5.4
Greece	2.4	-1.5
Greenland	..	0.7
Grenada	..	..
Guam	..	..
Guatemala	4.3	3.8
Guinea	..	6.1
Guinea-Bissau	..	5
Guyana	..	-0.6
Haiti	3.8	0.4
Honduras	3.3	3.5
Hungary	0.1	2.5
Iceland	3.1	3.4
India	5.2	7
Indonesia	5.2	4.9
Iran, Islamic Rep.	2.4	0.5
Iraq	..	..
Ireland	5.2	2.2
Isle of Man	..	..
Israel	5.2	3.9
Italy	1.2	0
Jamaica	..	0.1
Japan	1.9	0.7
Jordan	5	1.9
Kazakhstan	-7.8	4.5
Kenya	4.5	5.9
Kiribati	..	5.3
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	5.6	2.8
Kosovo	..	4.7
Kuwait	..	3.9
Kyrgyz Republic	-5.7	3.5
Lao PDR	..	7.1
Latvia	3.2	2.9
Lebanon	8.8	2.8
Lesotho	15	1.1
Liberia	..	2.9
Libya	..	..
Liechtenstein	..	..
Lithuania	4.4	3.1
Luxembourg	3.5	2.7
Madagascar	1.9	2.5
Malawi	..	6.4
Malaysia	5.2	6.5
Maldives	..	..
Mali	3.1	5
Malta	..	3.3
Marshall Islands	..	2.3
Mauritania	2.1	3.7
Mauritius	4.9	2.9
Mexico	3.1	2.5
Micronesia, Fed. Sts.	..	..
Moldova	1.8	2.9
Monaco	..	..
Mongolia	..	8.1
Montenegro	..	2.3
Morocco	2.5	3.3
Mozambique	4.1	6.8
Myanmar	..	7.2
Namibia	3.8	5.4
Nepal	..	4.1
Netherlands	3	0.7
New Caledonia	..	..
New Zealand	2.9	3.5
Nicaragua	3.2	3.2
Niger	1.8	5.9
Nigeria	1.3	1.5
North Macedonia	2.2	2.1
Northern Mariana Islands	..	..
Norway	3.3	2.1
Oman	..	4.2
Pakistan	4.3	5.3
Palau	..	2.7
Panama	3.5	5.4
Papua New Guinea	..	..
Paraguay	2.3	4.1
Peru	3.8	4.7
Philippines	3.7	6.4
Poland	5.3	2.8
Portugal	2.9	0.5
Puerto Rico	4.4	-0.9
Qatar	..	7.1
Romania	1.6	4.7
Russian Federation	-1.1	0.8
Rwanda	2.2	5.9
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	3.6
Senegal	2.3	4.3
Serbia	1.7	0.5
Seychelles	..	..
Sierra Leone	-2.2	6.1
Singapore	6.7	3.8
Sint Maarten (Dutch part)	..	..
Slovak Republic	2.9	2.1
Slovenia	3.7	1
Solomon Islands	..	..
Somalia	..	..
South Africa	2.2	1.8
South Sudan	..	-2.2
Spain	2.3	0.7
Sri Lanka	5.5	5.1
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	3.8	1.3
Suriname	..	..
Sweden	1.2	2
Switzerland	1.2	1.5
Syrian Arab Republic	..	..
Tajikistan	-2.2	..
Tanzania	3.3	4
Thailand	4.3	2.8
Timor-Leste	..	0.6
Togo	4.2	5
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	4.2	..
Turkey	3.9	4.8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	6.6	4.4
Ukraine	-6.2	0.9
United Arab Emirates	..	2.1
United Kingdom	2.9	2
United States	3.3	2.1
Uruguay	4.5	2.7
Uzbekistan	2	8.6
Vanuatu	..	..
Venezuela, RB	1.1	..
Vietnam	5.2	6.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	6.6	3.2
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	..	4.9
World	2.7	2.5
East Asia & Pacific	3.3	4.1
Europe & Central Asia	1.8	1.5
Latin America & Caribbean	3.3	1.8
Middle East & North Africa	..	3.2
North America	3.1	2.1
South Asia	4.9	6.6
Sub-Saharan Africa	2.5	3
Low income	..	..
Lower middle income	3.9	5.4
Upper middle income	3.2	4.4
High income	2.6	1.7
