Country	Male	Female
Afghanistan	..	..
Albania	51	7
Algeria	30	1
American Samoa	..	..
Andorra	38	29
Angola	..	..
Antigua and Barbuda	..	..
Argentina	28	16
Armenia	52	2
Aruba	..	..
Australia	17	13
Austria	31	28
Azerbaijan	43	0
Bahamas, The	20	3
Bahrain	38	6
Bangladesh	45	1
Barbados	15	2
Belarus	46	11
Belgium	31	25
Belize	..	..
Benin	12	1
Bermuda	..	..
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	48	30
Botswana	34	6
Brazil	18	10
Brunei Darussalam	31	2
Bulgaria	44	30
Burkina Faso	24	2
Burundi	..	..
Cabo Verde	17	2
Cambodia	34	2
Cameroon	..	..
Canada	17	12
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	42	34
China	48	2
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	14	5
Comoros	24	4
Congo, Dem. Rep.	..	..
Congo, Rep.	52	2
Costa Rica	17	6
Cote d'Ivoire	..	..
Croatia	40	34
Cuba	53	17
Curacao	..	..
Cyprus	53	20
Czech Republic	38	31
Denmark	19	19
Djibouti	25	2
Dominica	..	..
Dominican Republic	19	9
Ecuador	12	2
Egypt, Arab Rep.	50	0
El Salvador	19	3
Equatorial Guinea	..	..
Eritrea	11	0
Estonia	39	25
Eswatini	17	2
Ethiopia	9	0
Faroe Islands	..	..
Fiji	35	10
Finland	23	18
France	36	30
French Polynesia	..	..
Gabon	..	..
Gambia, The	31	1
Georgia	56	5
Germany	33	28
Ghana	8	0
Greece	52	35
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	23	3
Honduras	..	2
Hungary	35	27
Iceland	15	14
India	21	2
Indonesia	76	3
Iran, Islamic Rep.	21	1
Iraq	..	..
Ireland	26	23
Isle of Man	..	..
Israel	35	15
Italy	28	20
Jamaica	29	5
Japan	34	11
Jordan	..	..
Kazakhstan	43	7
Kenya	20	1
Kiribati	59	36
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	41	6
Kosovo	..	..
Kuwait	37	3
Kyrgyz Republic	51	4
Lao PDR	51	7
Latvia	51	26
Lebanon	41	27
Lesotho	54	0
Liberia	18	2
Libya	..	..
Liechtenstein	..	..
Lithuania	38	21
Luxembourg	26	21
Madagascar	..	..
Malawi	25	4
Malaysia	42	1
Maldives	55	2
Mali	23	2
Malta	30	21
Marshall Islands	..	..
Mauritania	..	..
Mauritius	41	3
Mexico	21	7
Micronesia, Fed. Sts.	..	..
Moldova	45	6
Monaco	..	..
Mongolia	47	6
Montenegro	48	44
Morocco	47	1
Mozambique	29	5
Myanmar	35	6
Namibia	34	10
Nepal	38	10
Netherlands	27	24
New Caledonia	..	..
New Zealand	17	15
Nicaragua	..	..
Niger	15	0
Nigeria	11	1
North Macedonia	..	..
Northern Mariana Islands	..	..
Norway	21	20
Oman	16	1
Pakistan	37	3
Palau	23	8
Panama	10	2
Papua New Guinea	49	24
Paraguay	22	5
Peru	..	5
Philippines	41	8
Poland	33	23
Portugal	30	16
Puerto Rico	..	..
Qatar	27	1
Romania	37	23
Russian Federation	58	23
Rwanda	21	5
Samoa	38	17
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	25	2
Senegal	17	0
Serbia	40	38
Seychelles	36	7
Sierra Leone	41	9
Singapore	28	5
Sint Maarten (Dutch part)	..	..
Slovak Republic	38	23
Slovenia	25	20
Solomon Islands	..	..
Somalia	..	..
South Africa	33	8
South Sudan	..	..
Spain	31	27
Sri Lanka	27	0
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	43	7
Sweden	19	19
Switzerland	29	23
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	27	3
Thailand	39	2
Timor-Leste	78	6
Togo	14	1
Tonga	44	12
Trinidad and Tobago	..	..
Tunisia	66	1
Turkey	41	14
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	17	3
Ukraine	47	14
United Arab Emirates	37	1
United Kingdom	25	20
United States	25	19
Uruguay	20	14
Uzbekistan	25	1
Vanuatu	35	3
Venezuela, RB	..	..
Vietnam	46	1
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	29	8
Zambia	25	3
Zimbabwe	31	2
World	35	6
East Asia & Pacific	49	3
Europe & Central Asia	38	21
Latin America & Caribbean	21	9
Middle East & North Africa	35	2
North America	24	18
South Asia	25	2
Sub-Saharan Africa	18	2
Low income	..	..
Lower middle income	27	2
Upper middle income	45	5
High income	29	19
