Country	Reference Year	Population below $1.90 a day	Population below $3.20 a day	Population below $5.50 a day
Afghanistan	..	..	..	..
Albania	2017	1.7	10.4	38
Algeria	2011	0.5	3.9	29.2
American Samoa	..	..	..	..
Andorra	..	..	..	..
Angola	2018	47.6	69.8	87.2
Antigua and Barbuda	..	..	..	..
Argentina	2018	1	3	9.6
Armenia	2018	2.1	13	50.4
Aruba	..	..	..	..
Australia	2014	0.5	0.7	0.7
Austria	2017	0.3	0.4	0.7
Azerbaijan	2005	0	0	8.2
Bahamas, The	..	..	..	..
Bahrain	..	..	..	..
Bangladesh	2016	14.8	52.9	84.5
Barbados	..	..	..	..
Belarus	2018	0	0	0.4
Belgium	2017	0.1	0.2	0.3
Belize	1999	13.9	28.1	53
Benin	2015	49.5	76.2	90.6
Bermuda	..	..	..	..
Bhutan	2017	1.5	12	38.6
Bolivia	2018	4.5	10.6	23.1
Bosnia and Herzegovina	2011	0.1	0.8	3.9
Botswana	2015	16.1	38.5	60.4
Brazil	2018	4.4	9.2	19.9
Brunei Darussalam	..	..	..	..
Bulgaria	2017	1.3	3.1	7.5
Burkina Faso	2014	43.7	76.4	92.3
Burundi	2013	71.8	89.3	96.8
Cabo Verde	2015	3.2	14.9	40.8
Cambodia	..	..	..	..
Cameroon	2014	23.8	44.7	68.9
Canada	2013	0.5	0.5	0.7
Cayman Islands	..	..	..	..
Central African Republic	2008	66.3	83.1	92.8
Chad	2011	38.4	66.5	86.2
Channel Islands	..	..	..	..
Chile	2017	0.3	0.7	3.7
China	2016	0.5	5.4	23.9
Colombia	2018	4.1	10.9	27.8
Comoros	2014	17.6	36.9	62.3
Congo, Dem. Rep.	2012	76.6	91	97.7
Congo, Rep.	2011	37	61.3	82.4
Costa Rica	2018	1.4	3.6	10.9
Cote d'Ivoire	2015	28.2	57.4	82.3
Croatia	2017	0.5	1.2	3.8
Cuba	..	..	..	..
Curacao	..	..	..	..
Cyprus	2017	0	0.1	0.1
Czech Republic	2017	0	0.1	0.4
Denmark	2017	0.1	0.2	0.2
Djibouti	2017	17.1	40.2	70.6
Dominica	..	..	..	..
Dominican Republic	2018	0.4	2.6	13.8
Ecuador	2018	3.3	9.7	24.2
Egypt, Arab Rep.	2017	3.2	26.1	70.4
El Salvador	2018	1.5	7.7	25.7
Equatorial Guinea	..	..	..	..
Eritrea	..	..	..	..
Estonia	2017	0.3	0.6	1.1
Ethiopia	2015	30.8	68.9	90.2
Faroe Islands	..	..	..	..
Fiji	2013	1.4	14.1	48.6
Finland	2017	0.1	0.1	0.1
France	2017	0	0	0.1
French Polynesia	..	..	..	..
Gabon	2017	3.4	11.2	32.2
Gambia, The	2015	10.1	37.8	72.5
Georgia	2018	4.5	15.7	42.9
Germany	2016	0	0.2	0.5
