Country	GDP per person employed_2000-02	GDP per person employed_2015-18
Afghanistan	90.6	77.1
Albania	59.7	53.8
Algeria	30.3	27.7
American Samoa	..	..
Andorra	..	..
Angola	46.2	52.6
Antigua and Barbuda	..	..
Argentina	24.4	22.8
Armenia	42.6	39.4
Aruba	..	..
Australia	14.9	12.8
Austria	7.8	7.9
Azerbaijan	47.8	48.2
Bahamas, The	19.2	19.4
Bahrain	2	1.1
Bangladesh	62	50.6
Barbados	16.6	20.3
Belarus	4.9	4.4
Belgium	11.5	11.8
Belize	26.4	29.5
Benin	84.7	81.8
Bermuda	..	..
Bhutan	70.5	63.4
Bolivia	60.7	58.8
Bosnia and Herzegovina	25	15.7
Botswana	27.9	23.2
Brazil	33.9	31
Brunei Darussalam	4.5	5.8
Bulgaria	16.1	9.2
Burkina Faso	90.8	83.9
Burundi	92.3	92.1
Cabo Verde	39.4	27
Cambodia	80.7	43.2
Cameroon	67.8	65.1
Canada	11.9	11.9
Cayman Islands	..	..
Central African Republic	88.5	87.9
Chad	90.6	88.2
Channel Islands	11.9	11.7
Chile	29.9	22.7
China	55.2	42.8
Hong Kong SAR, China	7.3	7.4
Macao SAR, China	9.5	4.2
Colombia	47	47.8
Comoros	56.5	53.8
Congo, Dem. Rep.	81.1	69.8
Congo, Rep.	64.1	62.2
Costa Rica	24.9	21.1
Cote d'Ivoire	71.2	63.9
Croatia	18.7	8
Cuba	13.2	30.4
Curacao	..	..
Cyprus	20.2	12.7
Czech Republic	13.2	16.2
Denmark	5.5	6.1
Djibouti	42.3	39.1
Dominica	..	..
Dominican Republic	45.6	48
Ecuador	34.5	40.1
Egypt, Arab Rep.	19.5	17.8
El Salvador	31.7	27.9
Equatorial Guinea	73.9	71.3
Eritrea	82.6	81
Estonia	5.8	7.5
Eswatini	15.8	26.6
Ethiopia	87.7	83.6
Faroe Islands	..	..
Fiji	38.2	41.2
Finland	11.5	11.7
France	7.8	8.6
French Polynesia	17.6	14.2
Gabon	33.2	27.1
Gambia, The	67.5	64.2
Georgia	58.5	49
Germany	6.3	6.2
Ghana	69.7	60.8
Greece	33.3	27.4
Greenland	..	..
Grenada	..	..
Guam	10.9	10.6
Guatemala	41.9	32.7
Guinea	85	82.1
Guinea-Bissau	70.3	67.9
Guyana	28.6	23.9
Haiti	70.1	64.5
Honduras	35.9	34.5
Hungary	12.3	6.6
Iceland	13.8	10
India	81.4	74.1
Indonesia	61.4	42.6
Iran, Islamic Rep.	41.2	41.3
Iraq	28.5	21.1
Ireland	17.8	14.9
Isle of Man	..	..
Israel	8.7	8.9
Italy	22.4	19.4
Jamaica	41.3	39.9
Japan	11.5	8.7
Jordan	10.8	10.6
Kazakhstan	35.8	23.5
Kenya	47	43.5
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	82.9	82.5
Korea, Rep.	26.1	19.3
Kosovo	..	..
Kuwait	2.8	1.4
Kyrgyz Republic	52.1	37.7
Lao PDR	83.7	73.7
Latvia	10.4	7.4
