Country	%
Afghanistan	95
Albania	..
Algeria	..
American Samoa	..
Andorra	..
Angola	3
Antigua and Barbuda	..
Argentina	..
Armenia	..
Aruba	..
Australia	..
Austria	..
Azerbaijan	41
Bahamas, The	..
Bahrain	..
Bangladesh	99
Barbados	..
Belarus	..
Belgium	..
Belize	..
Benin	99
Bermuda	..
Bhutan	..
Bolivia	31
Bosnia and Herzegovina	..
Botswana	83
Brazil	..
Brunei Darussalam	..
Bulgaria	..
Burkina Faso	0
Burundi	79
Cabo Verde	..
Cambodia	73
Cameroon	9
Canada	..
Cayman Islands	..
Central African Republic	0
Chad	67
Channel Islands	..
Chile	..
China	..
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	..
Comoros	21
Congo, Dem. Rep.	1
Congo, Rep.	12
Costa Rica	..
Cote d'Ivoire	94
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	78
Dominica	..
Dominican Republic	..
Ecuador	..
Egypt, Arab Rep.	..
El Salvador	..
Equatorial Guinea	5
Eritrea	51
Estonia	..
Eswatini	33
Ethiopia	77
Faroe Islands	..
Fiji	..
Finland	..
France	..
French Polynesia	..
Gabon	0
Gambia, The	32
Georgia	..
Germany	..
Ghana	50
Greece	..
Greenland	..
Grenada	..
Guam	..
Guatemala	26
Guinea	64
Guinea-Bissau	95
Guyana	..
Haiti	17
Honduras	..
Hungary	..
Iceland	..
India	71
Indonesia	62
Iran, Islamic Rep.	..
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	..
Japan	..
Jordan	..
Kazakhstan	..
Kenya	44
Kiribati	37
Korea, Dem. Peopleâ€™s Rep.	90
Korea, Rep.	..
Kosovo	..
Kuwait	..
Kyrgyz Republic	..
Lao PDR	57
Latvia	..
Lebanon	..
Lesotho	18
Liberia	97
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
Madagascar	87
Malawi	91
Malaysia	..
Maldives	69
Mali	9
Malta	..
Marshall Islands	..
Mauritania	0
Mauritius	..
Mexico	..
Micronesia, Fed. Sts.	..
Moldova	..
Monaco	..
Mongolia	83
Montenegro	..
Morocco	99
Mozambique	61
Myanmar	89
Namibia	27
Nepal	81
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	3
Niger	53
Nigeria	83
North Macedonia	..
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	92
Palau	..
Panama	..
Papua New Guinea	..
Paraguay	..
Peru	..
Philippines	68
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	..
Russian Federation	..
Rwanda	98
Samoa	..
San Marino	..
Sao Tome and Principe	23
Saudi Arabia	..
Senegal	58
Serbia	..
Seychelles	..
Sierra Leone	98
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	..
Somalia	11
South Africa	47
South Sudan	51
Spain	..
Sri Lanka	93
St. Kitts and Nevis	..
St. Lucia	..
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	20
Suriname	..
Sweden	..
Switzerland	..
Syrian Arab Republic	..
Tajikistan	91
Tanzania	87
Thailand	..
Timor-Leste	66
Togo	87
Tonga	..
Trinidad and Tobago	..
Tunisia	..
Turkey	..
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	27
Ukraine	..
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	99
Vanuatu	..
Venezuela, RB	..
Vietnam	99
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	81
Zambia	99
Zimbabwe	43
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	63
Sub-Saharan Africa	55
Low income	49
Lower middle income	63
Upper middle income	..
High income	..
