Country	Exports (2010)	Exports (2019)
Afghanistan	16	8
Albania	28	32
Algeria	38	23
American Samoa	63	69
Andorra	..	..
Angola	62	41
Antigua and Barbuda	46	..
Argentina	19	17
Armenia	20	39
Aruba	61	73
Australia	20	24
Austria	51	56
Azerbaijan	54	49
Bahamas, The	35	36
Bahrain	70	80
Bangladesh	16	15
Barbados	46	42
Belarus	51	66
Belgium	76	82
Belize	59	58
Benin	23	30
Bermuda	47	..
Bhutan	43	31
Bolivia	41	25
Bosnia and Herzegovina	30	40
Botswana	44	34
Brazil	11	14
Brunei Darussalam	67	58
Bulgaria	50	64
Burkina Faso	21	28
Burundi	10	9
Cabo Verde	33	51
Cambodia	54	61
Cameroon	22	17
Canada	29	32
Cayman Islands	..	..
Central African Republic	12	19
Chad	37	37
Channel Islands	..	..
Chile	38	28
China	27	18
Hong Kong SAR, China	205	177
Macao SAR, China	88	84
Colombia	16	16
Comoros	10	13
Congo, Dem. Rep.	41	32
Congo, Rep.	85	77
Costa Rica	33	34
Cote d'Ivoire	51	24
Croatia	36	51
Cuba	23	15
Curacao	56	..
Cyprus	50	71
Czech Republic	66	75
Denmark	51	56
Djibouti	..	155
Dominica	36	52
Dominican Republic	23	24
Ecuador	28	23
Egypt, Arab Rep.	21	19
El Salvador	27	30
Equatorial Guinea	86	55
Eritrea	6	..
Estonia	74	73
Eswatini	46	41
Ethiopia	17	8
Faroe Islands	44	..
Fiji	..	..
Finland	38	40
France	27	32
French Polynesia	..	..
Gabon	58	51
Gambia, The	15	21
Georgia	33	54
Germany	43	47
Ghana	29	36
Greece	22	37
Greenland	34	41
Grenada	24	55
Guam	17	20
Guatemala	26	18
Guinea	30	42
Guinea-Bissau	15	23
Guyana	39	33
Haiti	15	17
Honduras	46	40
Hungary	82	83
Iceland	52	45
India	22	19
Indonesia	24	18
Iran, Islamic Rep.	24	25
Iraq	39	37
Ireland	103	127
Isle of Man	..	..
Israel	35	29
Italy	25	32
Jamaica	31	38
Japan	15	19
Jordan	48	37
Kazakhstan	44	37
Kenya	21	12
Kiribati	12	10
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	47	40
Kosovo	20	28
Kuwait	67	57
Kyrgyz Republic	52	37
Lao PDR	35	..
Latvia	54	60
Lebanon	35	22
Lesotho	41	44
Liberia	19	29
Libya	66	65
Liechtenstein	..	..
Lithuania	64	78
Luxembourg	175	209
Madagascar	22	26
Malawi	23	31
Malaysia	87	65
Maldives	78	66
Mali	23	23
Malta	153	141
Marshall Islands	37	40
Mauritania	46	42
Mauritius	51	39
Mexico	30	39
Micronesia, Fed. Sts.	24	35
Moldova	28	31
Monaco	..	..
Mongolia	47	61
Montenegro	37	44
Morocco	32	39
Mozambique	28	38
Myanmar	20	30
Namibia	48	36
Nepal	10	9
Netherlands	70	83
New Caledonia	..	..
New Zealand	30	28
Nicaragua	40	45
Niger	16	12
Nigeria	26	15
North Macedonia	40	62
Northern Mariana Islands	42	54
Norway	40	37
Oman	67	58
Pakistan	14	10
Palau	50	47
Panama	70	43
Papua New Guinea	..	..
Paraguay	40	35
Peru	28	24
Philippines	33	28
Poland	40	56
Portugal	30	44
Puerto Rico	63	60
Qatar	62	50
Romania	32	40
Russian Federation	29	28
Rwanda	11	19
Samoa	28	38
San Marino	..	169
Sao Tome and Principe	..	..
Saudi Arabia	50	36
Senegal	20	23
Serbia	32	52
Seychelles	94	69
Sierra Leone	17	17
Singapore	198	174
Sint Maarten (Dutch part)	110	92
Slovak Republic	77	93
Slovenia	64	84
Solomon Islands	49	..
Somalia	..	..
South Africa	29	30
South Sudan	61	..
Spain	26	35
Sri Lanka	20	23
St. Kitts and Nevis	28	64
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	27	..
Sudan	17	13
Suriname	53	..
Sweden	45	47
Switzerland	64	66
Syrian Arab Republic	..	..
Tajikistan	15	16
Tanzania	20	15
Thailand	66	60
Timor-Leste	9	3
Togo	38	30
Tonga	12	22
Trinidad and Tobago	..	..
Tunisia	49	50
Turkey	20	32
Turkmenistan	46	23
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	14	19
Ukraine	47	41
United Arab Emirates	82	92
United Kingdom	28	32
United States	12	12
Uruguay	26	22
Uzbekistan	28	31
Vanuatu	47	..
Venezuela, RB	29	..
Vietnam	72	107
Virgin Islands (U.S.)	298	73
West Bank and Gaza	15	20
Yemen, Rep.	..	..
Zambia	37	35
Zimbabwe	30	19
World	29	30
East Asia & Pacific	33	29
Europe & Central Asia	38	44
Latin America & Caribbean	22	23
Middle East & North Africa	46	47
North America	14	14
South Asia	21	18
Sub-Saharan Africa	31	27
Low income	23	19
Lower middle income	28	26
Upper middle income	27	24
High income	30	32
