Country	Male	Female
Afghanistan	12.1	67.8
Albania	20.8	37.8
Algeria	1.8	2.4
American Samoa	..	..
Andorra	..	..
Angola	7.8	10.3
Antigua and Barbuda	..	..
Argentina	0.4	0.8
Armenia	1.3	3.3
Aruba	..	..
Australia	0.2	0.2
Austria	1.2	1.3
Azerbaijan	25	43.3
Bahamas, The	0.3	0.3
Bahrain	0.4	0.6
Bangladesh	4	29.1
Barbados	0.1	0.1
Belarus	0	0
Belgium	0.5	1.3
Belize	2.8	4
Benin	11.7	19.6
Bermuda	..	..
Bhutan	22.9	48.1
Bolivia	9.2	30.7
Bosnia and Herzegovina	1.9	6.7
Botswana	3.5	4.7
Brazil	1.5	3.4
Brunei Darussalam	0.4	0.3
Bulgaria	0.5	1
Burkina Faso	30.7	52.5
Burundi	23.9	35.4
Cabo Verde	5.8	16.4
Cambodia	4.4	5.1
Cameroon	8.4	20.3
Canada	0.1	0.2
Cayman Islands	..	..
Central African Republic	28.2	47.6
Chad	13.4	44.3
Channel Islands	0.5	1.5
Chile	0.7	1.7
China	7.8	21.1
Hong Kong SAR, China	0.1	0.5
Macao SAR, China	0.1	0.3
Colombia	2	5.7
Comoros	9.5	17.6
Congo, Dem. Rep.	7.3	31.1
Congo, Rep.	5.2	5.7
Costa Rica	1.1	2.8
Cote d'Ivoire	10.6	15.3
Croatia	0.9	1.7
Cuba	2.2	1.9
Curacao	..	..
Cyprus	0.6	0.7
Czech Republic	0.2	0.9
Denmark	0.3	0.5
Djibouti	5.1	13.2
Dominica	..	..
Dominican Republic	1.2	2.7
Ecuador	6.8	21.1
Egypt, Arab Rep.	4	25.3
El Salvador	5	7.2
Equatorial Guinea	4.8	13.9
Eritrea	27.3	50.5
Estonia	0.2	0.2
Eswatini	2.4	2.8
Ethiopia	23	56.7
Faroe Islands	..	..
Fiji	15	29.3
Finland	0.5	0.4
France	0.1	0.5
French Polynesia	0.5	0.5
Gabon	0.7	1.7
Gambia, The	10.9	13.1
Georgia	12.7	28.1
Germany	0.2	0.5
Ghana	5.5	13.5
Greece	2.3	5.6
Greenland	..	..
Grenada	..	..
Guam	0.3	1.1
Guatemala	8.4	11.9
Guinea	22.6	35.7
Guinea-Bissau	16.6	31.6
Guyana	1.7	7.8
Haiti	16	28.2
Honduras	8.1	12
Hungary	0.2	0.3
Iceland	0.2	0.4
India	7.9	30.2
Indonesia	6.3	24.4
Iran, Islamic Rep.	2.4	18.2
Iraq	4.3	4.8
Ireland	0.5	0.6
Isle of Man	..	..
Israel	0	0.1
Italy	0.9	1.6
Jamaica	0.6	1.4
Japan	0.8	4.1
Jordan	0.5	0.3
Kazakhstan	0.1	0.1
Kenya	6	8.9
Kiribati	..	..
Korea, Dem. People’s Rep.	26.6	75.8
Korea, Rep.	0.9	8.5
Kosovo	..	..
Kuwait	0	0
Kyrgyz Republic	4.1	11.2
Lao PDR	20	36
Latvia	0.6	0.4
Lebanon	3	4.3
Lesotho	3.4	3.2
Liberia	7	10.1
Libya	0.3	0.8
Liechtenstein	..	..
Lithuania	0.6	0.8
Luxembourg	0.8	0.9
Madagascar	23.1	58.4
Malawi	5.5	7.7
Malaysia	2.3	7.3
Maldives	2.5	4.2
Mali	24.9	27.5
Malta	0	0.1
Marshall Islands	..	..
Mauritania	6.4	14.1
Mauritius	1.2	3.6
Mexico	3.1	6.8
Micronesia, Fed. Sts.	..	..
Moldova	2.2	6
Monaco	..	..
Mongolia	1.4	4.6
Montenegro	1.7	3.8
Morocco	11.6	44.8
Mozambique	13.5	28.1
Myanmar	16.3	35.7
Namibia	3.7	5.4
Nepal	18	59.5
Netherlands	0.2	0.6
New Caledonia	0.2	0.3
New Zealand	0.7	1
Nicaragua	9.6	9.1
Niger	25.9	44.5
Nigeria	8.1	20.6
North Macedonia	3.5	10
Northern Mariana Islands	..	..
Norway	0.1	0.2
Oman	0.2	0.2
Pakistan	12	51.4
Palau	..	..
Panama	3.4	6.6
Papua New Guinea	22.7	49.4
Paraguay	5.1	11.2
Peru	6.9	21.5
Philippines	4.1	8.9
Poland	1.6	3.4
Portugal	0.4	0.4
Puerto Rico	0.1	0.3
Qatar	0	0
Romania	4.5	12.4
Russian Federation	0.4	0.4
Rwanda	13.9	42.8
Samoa	4.6	5.3
San Marino	..	..
Sao Tome and Principe	3	7.3
Saudi Arabia	0	0
Senegal	19.8	27.1
Serbia	2.9	8.9
Seychelles	..	..
Sierra Leone	6.4	6.3
Singapore	0.3	0.5
Sint Maarten (Dutch part)	..	..
Slovak Republic	0.1	0.1
Slovenia	2.1	3.4
Solomon Islands	43.5	65.3
Somalia	35	51.5
South Africa	0.3	0.8
South Sudan	20.9	58.4
Spain	0.3	0.4
Sri Lanka	2.7	18.1
St. Kitts and Nevis	..	..
St. Lucia	0.6	1.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	1.2	1.8
Sudan	8.9	39.1
Suriname	1	2.2
Sweden	0.2	0.2
Switzerland	1.5	2.5
Syrian Arab Republic	2.1	7.1
Tajikistan	21.7	29
Tanzania	19.8	47.6
Thailand	11.9	22.9
Timor-Leste	17.2	34.6
Togo	25.5	28
Tonga	15.8	17.5
Trinidad and Tobago	0.2	0.8
Tunisia	2.4	5.2
Turkey	4.4	23.5
Turkmenistan	2.7	5.6
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	12.3	18.9
Ukraine	0.2	0.3
United Arab Emirates	0.2	1.6
United Kingdom	0.3	0.4
United States	0	0.1
Uruguay	0.4	1.2
Uzbekistan	6	12.7
Vanuatu	8.3	9.4
Venezuela, RB	1.2	2.4
Vietnam	9.7	20.6
Virgin Islands (U.S.)	0.1	0.2
West Bank and Gaza	3.5	8.8
Yemen, Rep.	10.7	40.1
Zambia	16.6	51.9
Zimbabwe	7.6	11
World	6.6	18.1
East Asia & Pacific	7.3	20.2
Europe & Central Asia	1.7	3.6
Latin America & Caribbean	3	7
Middle East & North Africa	3.3	15.1
North America	0.1	0.1
South Asia	8.2	34.3
Sub-Saharan Africa	13.6	30.3
Low income	17.4	42.6
Lower middle income	8.2	26
Upper middle income	5.9	16.9
High income	0.5	1.7
