Country	Total
Afghanistan	47.2
Albania	26.9
Algeria	11.3
American Samoa	..
Andorra	0.3
Angola	148
Antigua and Barbuda	0.1
Argentina	292
Armenia	6.9
Aruba	..
Australia	492
Austria	55
Azerbaijan	8.1
Bahamas, The	0.7
Bahrain	0
Bangladesh	105
Barbados	0.1
Belarus	34
Belgium	12
Belize	15.3
Benin	10.3
Bermuda	..
Bhutan	78
Bolivia	303.5
Bosnia and Herzegovina	35.5
Botswana	2.4
Brazil	5661
Brunei Darussalam	8.5
Bulgaria	21
Burkina Faso	12.5
Burundi	10.1
Cabo Verde	0.3
Cambodia	120.6
Cameroon	273
Canada	2850
Cayman Islands	..
Central African Republic	141
Chad	15
Channel Islands	..
Chile	885
China	2813
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	2145
Comoros	1.2
Congo, Dem. Rep.	900
Congo, Rep.	222
Costa Rica	113
Cote d'Ivoire	76.8
Croatia	37.7
Cuba	38.1
Curacao	..
Cyprus	0.8
Czech Republic	13.2
Denmark	6
Djibouti	0.3
Dominica	0.2
Dominican Republic	23.5
Ecuador	442.4
Egypt, Arab Rep.	1.8
El Salvador	15.6
Equatorial Guinea	26
Eritrea	2.8
Estonia	12.7
Eswatini	2.6
Ethiopia	122
Faroe Islands	..
Fiji	28.6
Finland	107
France	200
French Polynesia	10
Gabon	164
Gambia, The	3
Georgia	58.1
Germany	107
Ghana	30.3
Greece	58
Greenland	603
Grenada	0.2
Guam	..
Guatemala	109.2
Guinea	226
Guinea-Bissau	16
Guyana	241
Haiti	13
Honduras	90.7
Hungary	6
Iceland	170
India	1446
Indonesia	2019
Iran, Islamic Rep.	128.5
Iraq	35.2
Ireland	49
Isle of Man	..
Israel	0.8
Italy	182.5
Jamaica	10.8
Japan	430
Jordan	0.7
Kazakhstan	64.4
Kenya	20.7
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	67
Korea, Rep.	64.9
Kosovo	..
Kuwait	0
Kyrgyz Republic	48.9
Lao PDR	190.4
Latvia	16.9
Lebanon	4.8
Lesotho	5.2
Liberia	200
Libya	0.7
Liechtenstein	..
Lithuania	15.5
Luxembourg	1
North Macedonia	5.4
Madagascar	337
Malawi	16.1
Malaysia	580
Maldives	0
Mali	60
Malta	0.1
Marshall Islands	..
Mauritania	0.4
Mauritius	2.8
Mexico	409
Micronesia, Fed. Sts.	..
Moldova	1.6
Monaco	..
Mongolia	34.8
Montenegro	..
Morocco	29
Mozambique	100.3
Myanmar	1003
Namibia	6.2
Nepal	198.2
Netherlands	11
New Caledonia	..
New Zealand	327
Nicaragua	156.2
Niger	3.5
Nigeria	221
Northern Mariana Islands	..
Norway	382
Oman	1.4
Pakistan	55
Palau	..
Panama	136.6
Papua New Guinea	801
Paraguay	117
Peru	1641
Philippines	479
Poland	53.6
Portugal	38
Puerto Rico	7.1
Qatar	0.1
Romania	42.4
Russian Federation	4312
Rwanda	9.5
Samoa	..
San Marino	..
Sao Tome and Principe	2.2
Saudi Arabia	2.4
Senegal	25.8
Serbia	8.4
Seychelles	..
Sierra Leone	160
Singapore	0.6
Sint Maarten (Dutch part)	..
Slovak Republic	12.6
Slovenia	18.7
Solomon Islands	44.7
Somalia	6
South Africa	44.8
South Sudan	26
Spain	111.2
Sri Lanka	52.8
St. Kitts and Nevis	0
St. Lucia	0.3
St. Martin (French part)	..
St. Vincent and the Grenadines	0.1
Sudan	4
Suriname	99
Sweden	171
Switzerland	40.4
Syrian Arab Republic	7.1
Tajikistan	63.5
Tanzania	84
Thailand	224.5
Timor-Leste	8.2
Togo	11.5
Tonga	..
Trinidad and Tobago	3.8
Tunisia	4.2
Turkey	227
Turkmenistan	1.4
Turks and Caicos Islands	..
Tuvalu	..
Uganda	39
Ukraine	55.1
United Arab Emirates	0.2
United Kingdom	145
United States	2818
Uruguay	92.2
Uzbekistan	16.3
Vanuatu	10
Venezuela, RB	805
Vietnam	359.4
Virgin Islands (U.S.)	..
West Bank and Gaza	0.8
Yemen, Rep.	2.1
Zambia	80.2
Zimbabwe	12.3
World	42810
East Asia & Pacific	10106.1
Europe & Central Asia	1.9
Latin America & Caribbean	13867.7
Middle East & North Africa	231.3
North America	5668
South Asia	1.2
Sub-Saharan Africa	1.8
Low income	1.9
Lower middle income	1.9
Upper middle income	20737.7
High income	10447.4
