Country	Male	Female
Afghanistan	103	67
Albania	99	105
Algeria	105	106
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	93	99
Argentina	100	100
Armenia	90	90
Aruba	..	..
Australia	..	..
Austria	99	100
Azerbaijan	100	101
Bahamas, The	78	75
Bahrain	97	99
Bangladesh	..	..
Barbados	88	90
Belarus	105	105
Belgium	..	..
Belize	105	104
Benin	85	76
Bermuda	..	..
Bhutan	96	104
Bolivia	95	94
Bosnia and Herzegovina	..	..
Botswana	..	..
Brazil	..	..
Brunei Darussalam	108	108
Bulgaria	90	89
Burkina Faso	63	68
Burundi	58	68
Cabo Verde	85	89
Cambodia	86	90
Cameroon	68	61
Canada	..	..
Cayman Islands	..	..
Central African Republic	49	33
Chad	50	33
Channel Islands	..	..
Chile	95	94
China	..	..
Hong Kong SAR, China	103	106
Macao SAR, China	99	103
Colombia	107	106
Comoros	76	77
Congo, Dem. Rep.	69	70
Congo, Rep.	..	..
Costa Rica	98	99
Cote d'Ivoire	78	65
Croatia	97	95
Cuba	84	85
Curacao	..	..
Cyprus	101	101
Czech Republic	98	98
Denmark	105	103
Djibouti	64	70
Dominica	112	116
Dominican Republic	94	93
Ecuador	104	105
Egypt, Arab Rep.	100	102
El Salvador	87	86
Equatorial Guinea	40	42
Eritrea	64	56
Estonia	97	97
Eswatini	95	97
Ethiopia	55	53
Faroe Islands	..	..
Fiji	108	106
Finland	102	101
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	67	72
Georgia	95	96
Germany	99	99
Ghana	93	95
Greece	98	96
Greenland	..	..
Grenada	125	121
Guam	..	..
Guatemala	80	79
Guinea	68	51
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	81	83
Hungary	105	105
Iceland	..	..
India	90	93
Indonesia	103	102
Iran, Islamic Rep.	100	99
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	105	106
Italy	99	99
Jamaica	86	85
Japan	..	..
Jordan	73	72
Kazakhstan	109	112
Kenya	99	100
Kiribati	99	103
Korea, Dem. Peopleâ€™s Rep.	101	102
Korea, Rep.	92	91
Kosovo	..	..
Kuwait	87	98
Kyrgyz Republic	105	104
Lao PDR	99	97
Latvia	100	99
Lebanon	..	..
Lesotho	78	94
Liberia	63	58
Libya	..	..
Liechtenstein	96	85
Lithuania	102	102
Luxembourg	79	82
Madagascar	63	68
Malawi	..	..
Malaysia	98	101
Maldives	102	92
Mali	52	47
Malta	104	100
Marshall Islands	69	73
Mauritania	73	80
Mauritius	100	102
Mexico	104	104
Micronesia, Fed. Sts.	..	..
Moldova	90	89
Monaco	..	..
Mongolia	102	102
Montenegro	95	94
Morocco	93	94
Mozambique	55	49
Myanmar	96	95
Namibia	91	97
Nepal	118	123
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	..	..
Niger	78	65
Nigeria	..	..
North Macedonia	91	91
Northern Mariana Islands	..	..
Norway	101	101
Oman	98	103
Pakistan	77	64
Palau	..	..
Panama	91	89
Papua New Guinea	82	72
Paraguay	..	..
Peru	98	94
Philippines	108	110
Poland	105	108
Portugal	..	..
Puerto Rico	76	82
Qatar	97	94
Romania	92	92
Russian Federation	96	97
Rwanda	79	94
Samoa	106	104
San Marino	92	125
Sao Tome and Principe	82	87
Saudi Arabia	97	97
Senegal	52	62
Serbia	99	99
Seychelles	99	105
Sierra Leone	81	83
Singapore	99	99
Sint Maarten (Dutch part)	..	..
Slovak Republic	92	92
Slovenia	96	95
Solomon Islands	84	90
Somalia	..	..
South Africa	86	88
South Sudan	..	..
Spain	100	101
Sri Lanka	104	102
St. Kitts and Nevis	97	99
St. Lucia	97	92
St. Martin (French part)	..	..
St. Vincent and the Grenadines	100	111
Sudan	63	60
Suriname	80	90
Sweden	106	104
Switzerland	96	99
Syrian Arab Republic	..	..
Tajikistan	95	95
Tanzania	65	73
Thailand	93	94
Timor-Leste	101	106
Togo	92	87
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	90	100
Turkey	90	90
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	88	69
Uganda	52	54
Ukraine	..	..
United Arab Emirates	103	104
United Kingdom	100	100
United States	100	97
Uruguay	105	104
Uzbekistan	104	102
Vanuatu	..	..
Venezuela, RB	92	93
Vietnam	109	112
Virgin Islands (U.S.)	..	..
West Bank and Gaza	96	97
Yemen, Rep.	80	65
Zambia	..	..
Zimbabwe	..	..
World	90	89
East Asia & Pacific	97	98
Europe & Central Asia	97	98
Latin America & Caribbean	99	99
Middle East & North Africa	93	90
North America	100	97
South Asia	91	93
Sub-Saharan Africa	70	67
Low income	69	65
Lower middle income	91	91
Upper middle income	95	95
High income	98	98
