Country	Total
Afghanistan	0.1
Albania	13.5
Algeria	7.1
American Samoa	8.7
Andorra	26.7
Angola	5
Antigua and Barbuda	0.3
Argentina	7.4
Armenia	23.1
Aruba	0.1
Australia	29.7
Austria	28.4
Azerbaijan	5.5
Bahamas, The	8.6
Bahrain	1.7
Bangladesh	4.9
Barbados	0
Belarus	9.4
Belgium	24.6
Belize	20.6
Benin	23.5
Bermuda	0
Bhutan	48
Bolivia	30.9
Bosnia and Herzegovina	1.4
Botswana	29.1
Brazil	28.6
Brunei Darussalam	9
Bulgaria	28.3
Burkina Faso	14.9
Burundi	7.6
Cabo Verde	0
Cambodia	20.6
Cameroon	10.4
Canada	6.5
Cayman Islands	0.1
Central African Republic	18.1
Chad	20.4
Channel Islands	..
Chile	27
China	14.6
Hong Kong SAR, China	48.9
Macao SAR, China	..
Colombia	15.7
Comoros	0.1
Congo, Dem. Rep.	13.8
Congo, Rep.	36.8
Costa Rica	3
Cote d'Ivoire	14.9
Croatia	23.6
Cuba	7.2
Curacao	0.3
Cyprus	1.7
Czech Republic	22.2
Denmark	17.9
Djibouti	1.2
Dominica	0.7
Dominican Republic	19.2
Ecuador	15
Egypt, Arab Rep.	11.6
El Salvador	2.2
Equatorial Guinea	1.8
Eritrea	3
Estonia	19.5
Eswatini	4.2
Ethiopia	18.5
Faroe Islands	0
Fiji	1
Finland	14.2
France	33.2
French Polynesia	0
Gabon	25.1
Gambia, The	1.4
Georgia	6.4
Germany	38.8
Ghana	7.8
Greece	11
Greenland	22.4
Grenada	0.2
Guam	0.1
Guatemala	10.1
Guinea	24.8
Guinea-Bissau	11.6
Guyana	5.3
Haiti	0.4
Honduras	10.9
Hungary	22.6
Iceland	2.5
India	3.5
Indonesia	5.3
Iran, Islamic Rep.	7.7
Iraq	1.5
Ireland	4
Isle of Man	4.2
Israel	8.6
Italy	13.4
Jamaica	1.4
Japan	10
Jordan	1.8
Kazakhstan	3.2
Kenya	10.5
Kiribati	11.8
Korea, Dem. People’s Rep.	1.3
Korea, Rep.	4
Kosovo	..
Kuwait	11
Kyrgyz Republic	6.7
Lao PDR	16.7
Latvia	17.5
Lebanon	1
Lesotho	0.3
Liberia	1.2
Libya	0.3
Liechtenstein	11.9
Lithuania	17.8
Luxembourg	40.9
Madagascar	9.7
Malawi	2.3
Malaysia	22.9
Maldives	9
Mali	0.1
Malta	8.2
Marshall Islands	6.4
Mauritania	0.3
Mauritius	1.1
Mexico	0
Micronesia, Fed. Sts.	19.1
Moldova	0
Monaco	4.2
Mongolia	99.5
Montenegro	17.7
Morocco	4.2
Mozambique	18.4
Myanmar	13.4
Namibia	4.6
Nepal	23.2
Netherlands	23.6
New Caledonia	21.2
New Zealand	96
Nicaragua	30.5
Niger	15.5
Nigeria	17.3
North Macedonia	11.6
Northern Mariana Islands	33.2
Norway	5.1
Oman	1
Pakistan	9.8
Palau	82.9
Panama	5.2
Papua New Guinea	0.7
Paraguay	14.3
Peru	13.1
Philippines	3.1
Poland	38.1
Portugal	16.9
Puerto Rico	2
Qatar	4.7
Romania	24.3
Russian Federation	7.6
Rwanda	9.1
Samoa	0.2
San Marino	..
Sao Tome and Principe	0.2
Saudi Arabia	4.5
Senegal	14.6
Serbia	6.6
Seychelles	0.1
Sierra Leone	3.3
Singapore	2.5
Sint Maarten (Dutch part)	8.1
Slovak Republic	37.6
Slovenia	55.1
Solomon Islands	0.2
Somalia	0.8
South Africa	10.3
South Sudan	15.5
Spain	15
Sri Lanka	3.4
St. Kitts and Nevis	0.3
St. Lucia	0.9
St. Martin (French part)	92
St. Vincent and the Grenadines	0.5
Sudan	2.8
Suriname	8.5
Sweden	15
Switzerland	9.7
Syrian Arab Republic	0.7
Tajikistan	22.3
Tanzania	31
Thailand	12.5
Timor-Leste	4.4
Togo	21.8
Tonga	1.5
Trinidad and Tobago	2
Tunisia	5.2
Turkey	0.2
Turkmenistan	3.2
Turks and Caicos Islands	0.4
Tuvalu	0
Uganda	16.1
Ukraine	3.9
United Arab Emirates	15
United Kingdom	28.8
United States	26.3
Uruguay	2.3
Uzbekistan	3.4
Vanuatu	0.1
Venezuela, RB	36.9
Vietnam	2.9
Virgin Islands (U.S.)	1
West Bank and Gaza	..
Yemen, Rep.	0.6
Zambia	37.9
Zimbabwe	27.2
World	14.5
East Asia & Pacific	17.9
Europe & Central Asia	9.4
Latin America & Caribbean	21.7
Middle East & North Africa	5.7
North America	16.3
South Asia	5
Sub-Saharan Africa	15.7
Low income	12.9
Lower middle income	11.9
Upper middle income	12.9
High income	19
