Country	Total
Afghanistan	18.4
Albania	38.6
Algeria	0.1
American Samoa	0.9
Andorra	19.7
Angola	49.6
Antigua and Barbuda	0
Argentina	10
Armenia	15.8
Aruba	6.7
Australia	9.2
Austria	34.4
Azerbaijan	2.3
Bahamas, The	1.2
Bahrain	0
Bangladesh	34.7
Barbados	2.8
Belarus	6.8
Belgium	9.2
Belize	35
Benin	50.9
Bermuda	2.4
Bhutan	86.9
Bolivia	17.5
Bosnia and Herzegovina	40.8
Botswana	28.9
Brazil	43.8
Brunei Darussalam	0
Bulgaria	17.7
Burkina Faso	74.2
Burundi	95.7
Cabo Verde	26.6
Cambodia	64.9
Cameroon	76.5
Canada	22
Cayman Islands	0
Central African Republic	76.6
Chad	89.4
Channel Islands	..
Chile	24.9
China	12.4
Hong Kong SAR, China	0.9
Macao SAR, China	7.1
Colombia	23.6
Comoros	45.3
Congo, Dem. Rep.	95.8
Congo, Rep.	62.4
Costa Rica	38.7
Cote d'Ivoire	64.5
Croatia	33.1
Cuba	19.3
Curacao	0.3
Cyprus	9.9
Czech Republic	14.8
Denmark	33.2
Djibouti	15.4
Dominica	7.8
Dominican Republic	16.5
Ecuador	13.8
Egypt, Arab Rep.	5.7
El Salvador	24.4
Equatorial Guinea	7.8
Eritrea	79.8
Estonia	27.5
Eswatini	66.1
Ethiopia	92.2
Faroe Islands	7.5
Fiji	31.3
Finland	43.2
France	13.5
French Polynesia	9.8
Gabon	82
Gambia, The	51.5
Georgia	28.7
Germany	14.2
Ghana	41.4
Greece	17.2
Greenland	15.5
Grenada	10.9
Guam	0
Guatemala	63.7
Guinea	76.3
Guinea-Bissau	86.9
Guyana	25.3
Haiti	76.1
Honduras	51.5
Hungary	15.6
Iceland	77
India	36
Indonesia	36.9
Iran, Islamic Rep.	0.9
Iraq	0.8
Ireland	9.1
Isle of Man	4.2
Israel	3.7
Italy	16.5
Jamaica	16.8
Japan	6.3
Jordan	3.2
Kazakhstan	1.6
Kenya	72.7
Kiribati	4.3
Korea, Dem. People’s Rep.	23.1
Korea, Rep.	2.7
Kosovo	20.5
Kuwait	0
Kyrgyz Republic	23.3
Lao PDR	59.3
Latvia	38.1
Lebanon	3.6
Lesotho	52.1
Liberia	83.8
Libya	2
Liechtenstein	63.1
Lithuania	29
Luxembourg	9
Madagascar	24.2
Malawi	70.2
Malaysia	83.6
Maldives	5.2
Mali	1
Malta	61.5
Marshall Islands	5.4
Mauritania	11.2
Mauritius	32.2
Mexico	11.5
Micronesia, Fed. Sts.	9.2
Moldova	1.2
Monaco	14.3
Mongolia	..
Montenegro	3.4
Morocco	43
Mozambique	11.3
Myanmar	86.4
Namibia	61.5
Nepal	26.5
Netherlands	85.3
New Caledonia	5.9
New Zealand	4.8
Nicaragua	30.8
Niger	48.2
Nigeria	78.9
North Macedonia	86.6
Northern Mariana Islands	0
Norway	57.8
Oman	0
Pakistan	46.5
Palau	0
Panama	21.2
Papua New Guinea	52.5
Paraguay	61.7
Peru	25.5
Philippines	27.5
Poland	11.9
Portugal	27.2
Puerto Rico	1.8
Qatar	0
Romania	23.7
Russian Federation	3.3
Rwanda	86.7
Samoa	34.3
San Marino	..
Sao Tome and Principe	41.1
Saudi Arabia	0
Senegal	42.7
Serbia	21.2
Seychelles	1.4
Sierra Leone	77.7
Singapore	0.7
Sint Maarten (Dutch part)	0
Slovak Republic	13.4
Slovenia	20.9
Solomon Islands	63.3
Somalia	94.3
South Africa	17.2
South Sudan	39.1
Spain	16.3
Sri Lanka	52.9
St. Kitts and Nevis	1.6
St. Lucia	2.1
St. Martin (French part)	..
St. Vincent and the Grenadines	5.8
Sudan	61.6
Suriname	24.9
Sweden	53.2
Switzerland	25.3
Syrian Arab Republic	0.5
Tajikistan	44.7
Tanzania	85.7
Thailand	22.9
Timor-Leste	18.2
Togo	71.3
Tonga	1.9
Trinidad and Tobago	0.3
Tunisia	12.6
Turkey	13.4
Turkmenistan	0
Turks and Caicos Islands	0.6
Tuvalu	0
Uganda	89.1
Ukraine	4.1
United Arab Emirates	0.1
United Kingdom	8.7
United States	8.7
Uruguay	58
Uzbekistan	3
Vanuatu	36.1
Venezuela, RB	12.8
Vietnam	35
Virgin Islands (U.S.)	3.9
West Bank and Gaza	10.5
Yemen, Rep.	2.3
Zambia	88
Zimbabwe	81.8
World	18.1
East Asia & Pacific	13.9
Europe & Central Asia	13.1
Latin America & Caribbean	27.6
Middle East & North Africa	1.6
North America	10.2
South Asia	38.3
Sub-Saharan Africa	70.1
Low income	76.2
Lower middle income	40.6
Upper middle income	14.4
High income	11.3
