Country	Reference Year	%
Afghanistan	2016	54.5
Albania	2012	14.3
Algeria	2011	5.5
American Samoa	..	..
Andorra	..	..
Angola	2008	36.6
Antigua and Barbuda	..	..
Argentina	2018	32
Armenia	2018	23.5
Aruba	..	..
Australia	..	..
Austria	..	..
Azerbaijan	2012	6
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	2016	24.3
Barbados	..	..
Belarus	2018	5.6
Belgium	..	..
Belize	..	..
Benin	2015	40.1
Bermuda	..	..
Bhutan	2017	8.2
Bolivia	2018	34.6
Bosnia and Herzegovina	2015	16.9
Botswana	2009	19.3
Brazil	..	..
British Virgin Islands	..	..
Brunei Darussalam	..	..
Bulgaria	2017	22
Burkina Faso	2014	40.1
Burundi	2013	64.9
Cabo Verde	2015	35
Cambodia	2012	17.7
Cameroon	2014	37.5
Canada	..	..
Cayman Islands	..	..
Central African Republic	2008	62
Chad	2011	46.7
Channel Islands	..	..
Chile	2017	8.6
China	2018	1.7
Colombia	2018	27
Comoros	2013	42.4
Congo, Dem. Rep.	2012	63.9
Congo, Rep.	2011	40.9
Costa Rica	2019	21
Cote d'Ivoire	2015	46.3
Croatia	2017	19.4
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	2013	9.7
Denmark	..	..
Djibouti	2017	21.1
Dominica	..	..
Dominican Republic	2018	22.8
Ecuador	2019	25
Egypt, Arab Rep.	2017	32.5
El Salvador	2017	29.2
Equatorial Guinea	2006	76.8
Eritrea	1993	69
Estonia	2013	21.8
Eswatini	2017	58.9
Ethiopia	2015	23.5
Faroe Islands	..	..
Fiji	2013	34
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	2017	33.4
Gambia, The	2015	48.6
Georgia	2018	20.1
Germany	..	..
Ghana	2016	23.4
Gibraltar	..	..
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	2014	59.3
Guinea	2012	55.2
Guinea-Bissau	2010	69.3
Guyana	..	..
Haiti	2012	58.5
Honduras	2018	48.3
Hong Kong SAR, China	..	..
Hungary	2014	14.9
Iceland	..	..
India	2011	21.9
Indonesia	2018	9.8
Iran, Islamic Rep.	..	..
Iraq	2012	18.9
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	2012	19.9
Japan	..	..
Jordan	2010	14.4
Kazakhstan	2017	2.5
Kenya	2015	36.1
Kiribati	2006	21.8
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	2015	17.6
Kuwait	..	..
Kyrgyz Republic	2018	22.4
Lao PDR	2012	23.4
Latvia	2014	22.5
Lebanon	2012	27.4
Lesotho	2017	49.7
Liberia	2016	50.9
Libya	..	..
Liechtenstein	..	..
Lithuania	2014	22.2
Luxembourg	..	..
Macao SAR, China	..	..
North Macedonia	2018	21.9
Madagascar	2012	70.7
Malawi	2016	51.5
Malaysia	2015	0.4
Maldives	2016	8.2
Mali	2009	41.1
Malta	..	..
Marshall Islands	..	..
Mauritania	2014	31
Mauritius	2017	10.3
Mexico	2018	41.9
Micronesia, Fed. Sts.	2013	41.2
Moldova	2015	9.6
Monaco	..	..
Mongolia	2018	28.4
Montenegro	2016	23.6
Morocco	2013	4.8
Mozambique	2014	46.1
Myanmar	2017	24.8
Namibia	2015	17.4
Nauru	..	..
Nepal	2010	25.2
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	2016	24.9
Niger	2014	44.5
Nigeria	2009	46
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	2015	24.3
Palau	2006	24.9
Panama	2016	22.1
Papua New Guinea	2009	39.9
Paraguay	2018	24.2
Peru	2018	20.5
Philippines	2015	21.6
Poland	2018	15.4
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	2017	23.6
Russian Federation	2018	12.9
Rwanda	2016	38.2
Samoa	2013	20.3
San Marino	..	..
Sao Tome and Principe	2010	66.2
Saudi Arabia	..	..
Senegal	2011	46.7
Serbia	2017	24.3
Seychelles	2013	39.3
Sierra Leone	2011	52.9
Singapore	..	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	2013	12.6
Slovenia	2014	14.3
Solomon Islands	2013	12.7
Somalia	..	..
South Africa	2014	55.5
South Sudan	2016	82.3
Spain	..	..
Sri Lanka	2016	4.1
St. Kitts and Nevis	..	..
St. Lucia	2016	25
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	2009	46.5
Suriname	..	..
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	2007	35.2
Tajikistan	2018	27.4
Tanzania	2018	26.4
Thailand	2018	9.9
Timor-Leste	2014	41.8
Togo	2015	55.1
Tonga	2009	22.5
Trinidad and Tobago	..	..
Tunisia	2015	15.2
Turkey	2017	13.9
Turkmenistan	..	..
Tuvalu	2010	26.3
Uganda	2016	21.4
Ukraine	2018	1.3
United Arab Emirates	..	..
United Kingdom	..	..
United States	..	..
Uruguay	2018	8.1
Uzbekistan	2013	14.1
Vanuatu	2010	12.7
Venezuela, RB	2015	33.1
Vietnam	2018	6.7
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2016	29.2
Yemen, Rep.	2014	48.6
Zambia	2015	54.4
Zimbabwe	2017	70
