Country	Both sexes	Male	Female
Afghanistan	30.6	30.4	30.7
Albania	29.0	33.0	25.0
Algeria	25.1	25.4	24.6
Andorra	18.7	23.2	14.2
Angola	29.7	29.6	29.6
Antigua and Barbuda	23.4	26.4	20.4
Argentina	22.6	27.6	17.6
Armenia	25.5	27.8	22.9
Australia	15.2	18.0	12.3
Austria	21.0	25.2	16.8
Azerbaijan	24.5	25.8	23.0
Bahamas	20.9	25.2	16.8
Bahrain	21.4	22.5	19.1
Bangladesh	24.7	24.5	24.9
Barbados	24.4	27.0	21.7
Belarus	27.1	33.0	21.6
Belgium	17.5	22.4	12.6
Belize	22.7	24.4	21.0
Benin	27.7	27.1	28.1
Bhutan	28.1	28.5	27.6
Bolivia (Plurinational State of)	17.9	19.7	16.1
Bosnia and Herzegovina	30.8	34.0	27.6
Botswana	29.6	29.3	29.5
Brazil	23.3	26.7	19.9
Brunei Darussalam	18.9	22.0	15.8
Bulgaria	28.4	33.6	23.0
Burkina Faso	32.6	31.3	33.2
Burundi	29.2	27.3	31.1
Cabo Verde	29.5	30.5	28.1
Cambodia	26.1	26.3	25.5
Cameroon	24.8	24.9	24.6
Canada	13.2	15.6	10.8
Central African Republic	31.2	31.4	30.8
Chad	32.9	31.6	33.8
Chile	20.9	25.4	16.5
China	19.2	21.5	16.8
Colombia	19.2	21.5	16.9
Comoros	27.9	27.4	28.2
Congo	26.2	27.5	24.9
Cook Islands	22.3	24.9	19.5
Costa Rica	18.7	21.0	16.3
Côte d'Ivoire	27.2	27.8	26.8
Croatia	32.4	38.4	26.3
Cuba	19.0	20.9	16.9
Cyprus	19.8	23.9	15.5
Czechia	27.9	34.4	21.2
Democratic People's Republic of Korea	18.2	19.1	16.9
Democratic Republic of the Congo	28.5	29.3	27.6
Denmark	20.6	26.5	14.8
Djibouti	26.8	28.0	25.5
Dominica	22.5	25.7	19.4
Dominican Republic	21.5	23.8	19.1
Ecuador	17.9	19.8	16.0
Egypt	25.0	24.8	25.0
El Salvador	18.7	20.4	17.2
Equatorial Guinea	28.4	29.2	27.7
Eritrea	29.1	28.2	29.5
Estonia	27.4	34.3	20.9
Eswatini	29.8	28.1	30.9
Ethiopia	30.3	28.8	31.7
Fiji	21.7	22.4	20.7
Finland	19.4	24.0	14.7
France	22.0	27.7	16.4
Gabon	25.5	27.8	23.0
Gambia	29.1	29.6	28.8
Georgia	26.3	28.9	23.8
Germany	19.9	24.3	15.5
Ghana	23.7	24.6	22.8
Greece	19.1	22.8	15.4
Grenada	24.3	26.8	21.6
Guatemala	21.2	22.0	20.4
Guinea	30.3	29.0	31.4
Guinea-Bissau	30.3	29.7	30.7
Guyana	23.1	24.5	21.5
Haiti	24.5	25.2	23.7
Honduras	21.4	22.6	20.2
Hungary	30.0	36.1	24.0
Iceland	19.7	26.2	13.0
India	25.8	26.6	24.7
Indonesia	23.8	24.3	23.1
Iran (Islamic Republic of)	19.7	20.4	18.9
Iraq	25.2	25.6	24.4
Ireland	19.7	22.8	16.5
Israel	16.6	20.6	12.8
Italy	21.2	25.2	17.1
Jamaica	21.8	24.5	19.2
Japan	17.6	22.5	12.6
Jordan	21.0	23.1	18.8
Kazakhstan	27.1	30.4	23.9
Kenya	26.7	26.5	26.7
Kiribati	21.5	24.0	19.0
Kuwait	23.6	25.5	20.3
Kyrgyzstan	26.7	27.4	25.7
Lao People's Democratic Republic	24.8	24.5	24.9
Latvia	29.4	36.4	22.9
Lebanon	20.7	23.3	17.8
Lesotho	29.0	26.1	30.8
Liberia	28.3	28.2	28.3
Libya	23.7	25.2	22.2
Lithuania	29.3	36.1	23.1
Luxembourg	21.9	27.8	15.9
Madagascar	28.1	27.8	28.2
Malawi	28.9	27.8	29.6
Malaysia	22.9	25.3	20.8
Maldives	24.4	26.9	21.9
Mali	32.6	31.2	33.6
Malta	19.4	24.3	14.3
Marshall Islands	21.3	23.8	18.6
Mauritania	31.7	31.8	31.4
Mauritius	25.0	26.5	23.4
Mexico	19.7	22.3	17.3
Micronesia (Federated States of)	25.0	26.6	23.2
Monaco			
