Country	Male	Female
Afghanistan	4	4
Albania	1	1
Algeria	7	4
American Samoa	..	..
Andorra	1	1
Angola	..	..
Antigua and Barbuda	2	1
Argentina	3	3
Armenia	0	0
Aruba	..	..
Australia	..	..
Austria	3	3
Azerbaijan	0	0
Bahamas, The	4	3
Bahrain	0	0
Bangladesh	5	4
Barbados	..	..
Belarus	0	0
Belgium	2	2
Belize	8	5
Benin	15	15
Bermuda	..	..
Bhutan	9	6
Bolivia	3	2
Bosnia and Herzegovina	0	0
Botswana	..	..
Brazil	..	..
Brunei Darussalam	0	0
Bulgaria	0	0
Burkina Faso	6	6
Burundi	27	24
Cabo Verde	10	6
Cambodia	8	5
Cameroon	13	12
Canada	..	..
Cayman Islands	0	0
Central African Republic	22	23
Chad	17	17
Channel Islands	..	..
Chile	4	2
China	0	0
Hong Kong SAR, China	0	0
Macao SAR, China	2	1
Colombia	2	2
Comoros	17	14
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	3	2
Cote d'Ivoire	11	11
Croatia	0	0
Cuba	1	0
Curacao	..	..
Cyprus	0	0
Czech Republic	1	0
Denmark	1	1
Djibouti	9	8
Dominica	3	2
Dominican Republic	6	3
Ecuador	1	0
Egypt, Arab Rep.	3	2
El Salvador	5	3
Equatorial Guinea	..	..
Eritrea	9	7
Estonia	1	0
Eswatini	16	11
Ethiopia	..	..
Faroe Islands	..	..
Fiji	0	0
Finland	0	0
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	6	5
Georgia	0	0
Germany	0	0
Ghana	2	2
Greece	1	1
Greenland	..	..
Grenada	3	2
Guam	..	..
Guatemala	10	8
Guinea	11	12
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	3	2
Hungary	1	1
Iceland	..	..
India	1	1
Indonesia	2	1
Iran, Islamic Rep.	2	1
Iraq	..	..
Ireland	0	0
Isle of Man	..	..
Israel	1	0
Italy	0	0
Jamaica	3	2
Japan	..	..
Jordan	1	1
Kazakhstan	0	0
Kenya	3	3
Kiribati	2	2
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	0	0
Kosovo	..	..
Kuwait	1	0
Kyrgyz Republic	0	0
Lao PDR	5	3
Latvia	1	0
Lebanon	8	5
Lesotho	11	8
Liberia	7	7
Libya	..	..
Liechtenstein	3	4
Lithuania	1	0
Luxembourg	4	3
Madagascar	27	25
Malawi	..	..
Malaysia	..	..
Maldives	0	0
Mali	20	19
Malta	0	0
Marshall Islands	4	3
Mauritania	2	2
Mauritius	0	0
Mexico	1	1
Micronesia, Fed. Sts.	..	..
Moldova	0	0
Monaco	2	3
Mongolia	0	0
Montenegro	0	0
Morocco	12	8
Mozambique	9	8
Myanmar	..	..
Namibia	18	13
Nepal	8	7
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	..	..
Niger	2	3
Nigeria	..	..
North Macedonia	0	0
Northern Mariana Islands	..	..
Norway	..	..
Oman	0	0
Pakistan	2	2
Palau	..	..
Panama	4	3
Papua New Guinea	9	9
Paraguay	4	2
Peru	3	2
Philippines	2	1
Poland	1	1
Portugal	..	..
Puerto Rico	..	..
Qatar	2	1
Romania	2	1
Russian Federation	0	0
Rwanda	15	13
Samoa	1	1
San Marino	0	0
Sao Tome and Principe	14	10
Saudi Arabia	1	1
Senegal	4	4
Serbia	1	1
Seychelles	..	..
Sierra Leone	1	1
Singapore	0	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	3	3
Slovenia	1	1
Solomon Islands	6	5
Somalia	..	..
South Africa	11	7
South Sudan	..	..
Spain	3	2
Sri Lanka	1	1
St. Kitts and Nevis	2	1
St. Lucia	4	2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	3	1
Sudan	3	2
Suriname	19	14
Sweden	..	..
Switzerland	1	1
Syrian Arab Republic	..	..
Tajikistan	0	0
Tanzania	2	2
Thailand	2	1
Timor-Leste	15	11
Togo	8	7
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	14	8
Turkey	2	2
Turkmenistan	..	..
Turks and Caicos Islands	2	2
Tuvalu	1	0
Uganda	9	9
Ukraine	0	0
United Arab Emirates	..	..
United Kingdom	..	..
United States	2	2
Uruguay	5	3
Uzbekistan	0	0
Vanuatu	..	..
Venezuela, RB	4	2
Vietnam	1	0
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0	0
Yemen, Rep.	6	5
Zambia	..	..
Zimbabwe	..	..
World	3	3
East Asia & Pacific	1	0
Europe & Central Asia	1	1
Latin America & Caribbean	5	4
Middle East & North Africa	7	4
North America	2	1
South Asia	1	1
Sub-Saharan Africa	8	7
Low income	9	9
Lower middle income	2	2
Upper middle income	3	2
High income	2	1
