Country	Expenditure % (2010)	Expenditure % (2018)
Afghanistan	23	34
Albania	27	24
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	36	45
Antigua and Barbuda	..	..
Argentina	..	12
Armenia	24	21
Aruba	..	..
Australia	10	10
Austria	11	11
Azerbaijan	18	16
Bahamas, The	42	33
Bahrain	..	..
Bangladesh	21	25
Barbados	28	25
Belarus	12	14
Belgium	6	6
Belize	40	52
Benin	..	..
Bermuda	..	..
Bhutan	38	31
Bolivia	22	..
Bosnia and Herzegovina	28	26
Botswana	41	45
Brazil	14	12
Brunei Darussalam	..	..
Bulgaria	20	19
Burkina Faso	46	46
Burundi	..	..
Cabo Verde	43	39
Cambodia	36	47
Cameroon	36	40
Canada	11	11
Cayman Islands	..	..
Central African Republic	25	49
Chad	..	..
Channel Islands	..	..
Chile	21	22
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	28	32
Colombia	18	13
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	25	25
Costa Rica	48	41
Cote d'Ivoire	44	31
Croatia	16	16
Cuba	..	..
Curacao	..	..
Cyprus	35	28
Czech Republic	12	14
Denmark	11	11
Djibouti	..	..
Dominica	..	..
Dominican Republic	37	39
Ecuador	..	..
Egypt, Arab Rep.	25	27
El Salvador	38	41
Equatorial Guinea	17	23
Eritrea	..	..
Estonia	18	18
Eswatini	..	..
Ethiopia	14	12
Faroe Islands	..	..
Fiji	39	30
Finland	9	8
France	18	18
French Polynesia	..	..
Gabon	36	55
Gambia, The	29	..
Georgia	18	15
Germany	6	6
Ghana	36	36
Greece	22	22
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	30	34
Guinea	..	..
Guinea-Bissau	..	48
Guyana	..	..
Haiti	..	..
Honduras	56	46
Hungary	12	20
Iceland	18	24
India	9	9
Indonesia	15	16
Iran, Islamic Rep.	40	..
Iraq	..	58
Ireland	16	27
Isle of Man	..	..
Israel	23	23
Italy	14	14
Jamaica	38	37
Japan	6	6
Jordan	52	47
Kazakhstan	7	6
Kenya	..	29
Kiribati	45	33
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	10	10
Kosovo	..	..
Kuwait	27	33
Kyrgyz Republic	..	37
Lao PDR	..	..
Latvia	14	19
Lebanon	21	23
Lesotho	41	45
Liberia	34	..
Libya	..	..
Liechtenstein	..	..
Lithuania	14	16
Luxembourg	18	18
Madagascar	59	52
Malawi	23	31
Malaysia	31	35
Maldives	34	..
Mali	34	41
Malta	31	31
Marshall Islands	45	38
Mauritania	..	..
Mauritius	35	35
Mexico	12	11
Micronesia, Fed. Sts.	36	24
Moldova	14	13
Monaco	..	..
Mongolia	29	17
Montenegro	..	..
Morocco	42	46
Mozambique	43	54
Myanmar	16	22
Namibia	46	49
Nepal	28	23
Netherlands	7	8
New Caledonia	..	..
New Zealand	24	24
Nicaragua	38	39
Niger	..	..
Nigeria	..	..
North Macedonia	17	15
Northern Mariana Islands	..	..
Norway	16	16
Oman	..	..
Pakistan	..	..
Palau	36	38
Panama	..	..
Papua New Guinea	..	18
Paraguay	55	53
Peru	18	20
Philippines	36	38
Poland	14	14
Portugal	25	22
Puerto Rico	..	..
Qatar	..	..
Romania	18	23
Russian Federation	16	13
Rwanda	..	20
Samoa	40	47
San Marino	34	27
Sao Tome and Principe	..	..
Saudi Arabia	60	54
Senegal	..	34
Serbia	25	..
Seychelles	26	34
Sierra Leone	..	..
Singapore	30	25
Sint Maarten (Dutch part)	..	..
Slovak Republic	14	14
Slovenia	19	19
Solomon Islands	35	37
Somalia	..	56
South Africa	15	14
South Sudan	..	..
Spain	11	10
Sri Lanka	28	27
St. Kitts and Nevis	42	45
St. Lucia	47	40
St. Martin (French part)	..	..
St. Vincent and the Grenadines	47	50
Sudan	31	37
Suriname	..	..
Sweden	9	9
Switzerland	7	7
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	20	21
Thailand	40	27
Timor-Leste	15	21
Togo	34	38
Tonga	46	43
Trinidad and Tobago	24	31
Tunisia	35	..
Turkey	22	22
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	21
Ukraine	12	15
United Arab Emirates	30	36
United Kingdom	13	16
United States	10	10
Uruguay	23	25
Uzbekistan	..	9
Vanuatu	52	49
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	56	54
Yemen, Rep.	..	..
Zambia	45	38
Zimbabwe	49	37
World	22	22
East Asia & Pacific	27	21
Europe & Central Asia	14	15
Latin America & Caribbean	30	29
Middle East & North Africa	32	42
North America	11	10
South Asia	23	25
Sub-Saharan Africa	35	37
Low income	..	..
Lower middle income	36	34
Upper middle income	21	22
High income	14	16
