Country	Rank	Education Index	Expected years of schooling	Mean years  of schooling	HDI rank
Australia	1	939	20.4	13.2	2
Denmark	2	923	19.2	12.7	5
New Zealand	3	917	19.2	12.5	13
Norway	4	916	17.7	12.7	1
Germany	5	914	17.1	13.2	4
Ireland	6	910	18.6	12.3	8
Iceland	7	906	19.0	12.2	9
United States	8	900	16.5	13.2	10
Netherlands	9	897	18.1	11.9	7
United Kingdom	10	896	16.3	13.3	16
Switzerland	11	891	16.0	13.4	2
Canada	12	890	16.3	13.1	10
Slovenia	13	886	17.3	12.1	25
Lithuania	14	882	16.5	12.7	37
Czechia	15	878	16.8	12.3	28
Estonia	16	877	16.5	12.5	30
Israel	17	870	16.0	12.8	19
South Korea	18	867	16.6	12.2	18
Sweden	19	855	16.1	12.3	14
Poland	20	852	16.4	11.9	36
Finland	21	847	17.0	11.2	23
Japan	22	842	15.3	12.5	17
Belgium	23	841	16.6	11.4	22
France	24	839	16.3	11.6	21
Latvia	25	835	16.0	11.7	44
Belarus	26	834	15.7	12.0	52
Hungary	26	834	15.6	12.0	43
Greece	28	830	17.2	10.5	29
Slovakia	29	823	15.0	12.2	40
Hong Kong	30	822	15.7	11.6	12
Austria	31	820	15.9	11.3	24
Liechtenstein	32	818	14.6	12.4	15
Spain	32	818	17.7	9.8	27
Russian Federation	34	816	15.0	12.0	49
Italy	35	814	16.3	10.9	26
Singapore	35	814	15.4	11.6	5
Argentina	37	808	17.3	9.8	45
Palau	37	808	14.3	12.3	60
Kazakhstan	39	805	15.0	11.7	56
Ukraine	40	803	15.3	11.3	84
Croatia	41	798	15.3	11.2	45
Montenegro	42	797	15.1	11.3	48
Georgia	43	794	13.9	12.2	70
Cyprus	44	786	14.3	11.7	33
Chile	45	784	16.3	9.9	38
Luxembourg	46	783	13.9	12.0	20
Malta	47	781	14.6	11.3	33
Cuba	48	779	13.9	11.8	68
Bulgaria	49	778	15.0	10.8	56
Fiji	50	777	15.3	10.5	91
Romania	51	769	14.7	10.8	50
Barbados	52	773	15.3	10.5	54
Saudi Arabia	53	768	16.1	9.6	38
Tonga	54	766	14.3	11.1	101
Serbia	55	760	14.4	10.8	66
Portugal	56	756	16.6	8.9	41
Sri Lanka	57	752	14.0	10.9	73
Uzbekistan	58	740	12.2	12.0	105
Mongolia	59	737	14.8	9.8	92
Armenia	60	730	12.7	11.3	84
Grenada	61	725	15.8	8.6	79
Mauritius	61	725	15.2	9.1	64
