Country	%
Afghanistan	3.2
Albania	-0.4
Algeria	1.7
American Samoa	-0.2
Andorra	0.9
Angola	3.5
Antigua and Barbuda	1.3
Argentina	1
Armenia	-0.2
Aruba	0.8
Australia	1.5
Austria	0.5
Azerbaijan	1.2
Bahamas, The	1.4
Bahrain	4.8
Bangladesh	1.3
Barbados	0.3
Belarus	-0.3
Belgium	0.6
Belize	2.4
Benin	2.9
Bermuda	0.2
Bhutan	1.3
Bolivia	1.6
Bosnia and Herzegovina	-0.7
Botswana	1.8
Brazil	1
Brunei Darussalam	1.4
Bulgaria	-0.8
Burkina Faso	2.9
Burundi	3.1
Cabo Verde	1.3
Cambodia	1.6
Cameroon	2.7
Canada	1.1
Cayman Islands	2.3
Central African Republic	1.4
Chad	3.4
Channel Islands	0.8
Chile	1.1
China	0.5
Hong Kong SAR, China	0.6
Macao SAR, China	2.1
Colombia	1.3
Comoros	2.4
Congo, Dem. Rep.	3.2
Congo, Rep.	2.9
Costa Rica	1.3
Cote d'Ivoire	2.4
Croatia	-0.5
Cuba	0.1
Curacao	0.9
Cyprus	1.3
Czech Republic	0.2
Denmark	0.5
Djibouti	1.6
Dominica	0.2
Dominican Republic	1.2
Ecuador	1.7
Egypt, Arab Rep.	2
El Salvador	0.5
Equatorial Guinea	4.2
Eritrea	..
Estonia	-0.3
Eswatini	0.7
Ethiopia	2.8
Faroe Islands	0.2
Fiji	0.5
Finland	0.3
France	0.5
French Polynesia	0.8
Gabon	3
Gambia, The	3
Georgia	-0.5
Germany	0.1
Ghana	2.4
Greece	0
Greenland	0
Grenada	0.4
Guam	0.4
Guatemala	1.9
Guinea	2.3
Guinea-Bissau	2.5
Guyana	0.2
Haiti	1.5
Honduras	2.1
Hungary	-0.2
Iceland	1.3
India	1.4
Indonesia	1.3
Iran, Islamic Rep.	1.2
Iraq	2.7
Ireland	1.4
Isle of Man	0.5
Israel	1.9
Italy	0.3
Jamaica	0.6
Japan	0
Jordan	3.6
Kazakhstan	1.1
Kenya	2.6
Kiribati	1.7
Korea, Dem. Peopleâ€™s Rep.	0.6
Korea, Rep.	0.5
Kosovo	0.3
Kuwait	3.8
Kyrgyz Republic	1.5
Lao PDR	1.6
Latvia	-1.1
Lebanon	3
Lesotho	0.2
Liberia	2.9
Libya	1.2
Liechtenstein	0.7
Lithuania	-1.2
Luxembourg	1.8
Madagascar	2.8
Malawi	2.7
Malaysia	1.7
Maldives	3.4
Mali	3.1
Malta	1.3
Marshall Islands	0.8
Mauritania	2.9
Mauritius	0.3
Mexico	1.3
Micronesia, Fed. Sts.	0.3
Moldova	-0.5
Monaco	1
Mongolia	1.6
Montenegro	0.1
Morocco	1.2
Mozambique	2.8
Myanmar	0.8
Namibia	1.7
Nepal	0.9
Netherlands	0.4
New Caledonia	1.6
New Zealand	1.3
Nicaragua	1.3
Niger	3.8
Nigeria	2.6
North Macedonia	0.1
Northern Mariana Islands	0
Norway	0.9
Oman	4.1
Pakistan	2.2
Palau	-0.3
Panama	1.8
Papua New Guinea	2.1
Paraguay	1.5
Peru	1.1
Philippines	1.7
Poland	0
Portugal	0
Puerto Rico	-0.9
Qatar	8.2
Romania	-0.8
Russian Federation	-0.1
Rwanda	2.4
Samoa	0.6
San Marino	1.1
Sao Tome and Principe	2.2
Saudi Arabia	2.7
Senegal	2.7
Serbia	-0.4
Seychelles	1
Sierra Leone	2.8
Singapore	1.8
Sint Maarten (Dutch part)	1.5
Slovak Republic	0.1
Slovenia	0.3
Solomon Islands	2.5
Somalia	2.9
South Africa	1.4
South Sudan	3
Spain	0.8
Sri Lanka	0.8
St. Kitts and Nevis	1
St. Lucia	0.8
St. Martin (French part)	1.4
St. Vincent and the Grenadines	0.1
Sudan	2.4
Suriname	1.1
Sweden	0.8
Switzerland	0.9
Syrian Arab Republic	0.2
Tajikistan	2.1
Tanzania	2.9
Thailand	0.5
Timor-Leste	2
Togo	2.6
Tonga	0.3
Trinidad and Tobago	0.5
Tunisia	1
Turkey	1.5
Turkmenistan	1.4
Turks and Caicos Islands	3.4
Tuvalu	1.1
Uganda	3.3
Ukraine	-0.5
United Arab Emirates	6
United Kingdom	0.7
United States	0.8
Uruguay	0.2
Uzbekistan	1.6
Vanuatu	2.5
Venezuela, RB	0.9
Vietnam	1
Virgin Islands (U.S.)	-0.1
West Bank and Gaza	2.5
Yemen, Rep.	2.7
Zambia	2.8
Zimbabwe	1.1
World	1.2
East Asia & Pacific	0.7
Europe & Central Asia	0.4
Latin America & Caribbean	1.1
Middle East & North Africa	1.9
North America	0.8
South Asia	1.5
Sub-Saharan Africa	2.7
Low income	2.7
Lower middle income	1.6
Upper middle income	0.8
High income	0.6
