Country	Ratio %
Afghanistan	8.9
Albania	8.4
Algeria	12.7
American Samoa	..
Andorra	..
Angola	23.2
Antigua and Barbuda	6.4
Argentina	5.6
Armenia	4.8
Aruba	..
Australia	0.9
Austria	1.9
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	9.9
Barbados	..
Belarus	4.6
Belgium	2.3
Belize	..
Benin	..
Bermuda	..
Bhutan	7
Bolivia	1.9
Bosnia and Herzegovina	8.8
Botswana	5.4
Brazil	3.1
Brunei Darussalam	3.9
Bulgaria	7.8
Burkina Faso	..
Burundi	14.2
Cambodia	1.6
Cameroon	12.4
Canada	0.4
Cabo Verde	..
Cayman Islands	..
Central African Republic	22.9
Chad	28.6
Channel Islands	..
Chile	1.9
China	1.8
Hong Kong SAR, China	0.6
Macao SAR, China	..
Colombia	4.2
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	18.2
Costa Rica	2.4
Cote d'Ivoire	..
Croatia	9.7
Cuba	..
Curacao	..
Cyprus	19.5
Czech Republic	3.1
Denmark	1.7
Djibouti	16
Dominica	17
Dominican Republic	1.6
Ecuador	3.3
Egypt, Arab Rep.	..
El Salvador	1.7
Equatorial Guinea	36.7
Eritrea	..
Estonia	0.4
Ethiopia	..
Faroe Islands	..
Fiji	3.1
Finland	1.4
France	2.7
French Polynesia	..
Gabon	9.6
Gambia, The	4.5
Georgia	1.9
Germany	1.2
Ghana	18.2
Greece	42
Greenland	..
Grenada	2.4
Guam	..
Guatemala	2.2
Guinea	10.4
Guinea-Bissau	..
Guyana	..
Haiti	..
Honduras	2.3
Hungary	2.5
Iceland	2.5
India	9.5
Indonesia	2.4
Iran, Islamic Rep.	..
Iraq	..
Ireland	5.7
Isle of Man	..
Israel	1.2
Italy	8.4
Jamaica	..
Japan	..
Jordan	5.4
Kazakhstan	7.4
Kenya	11.7
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0.4
Kosovo	2.5
Kuwait	1.6
Kyrgyz Republic	7.7
Lao PDR	..
Latvia	5
Lebanon	10.3
Lesotho	3.7
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	2.3
Luxembourg	0.7
North Macedonia	5
Madagascar	7.3
Malawi	2.8
Malaysia	1.5
Maldives	9.4
Mali	..
Malta	3.4
Marshall Islands	..
Mauritania	..
Mauritius	6.5
Mexico	2.1
Micronesia, Fed. Sts.	..
Moldova	12.5
Monaco	0.2
Mongolia	..
Montenegro	5.1
Morocco	..
Mozambique	..
Myanmar	..
Namibia	4.6
Nepal	1.6
Netherlands	1.9
New Caledonia	..
New Zealand	..
Nicaragua	2.4
Niger	..
Nigeria	6
Northern Mariana Islands	..
Norway	0.7
Oman	..
Pakistan	8
Palau	..
Panama	1.7
Papua New Guinea	3.8
Paraguay	2.6
Peru	3.3
Philippines	1.7
Poland	3.9
Portugal	9.4
Puerto Rico	..
Qatar	..
Romania	5
Russian Federation	10.1
Rwanda	4.9
Samoa	3.6
San Marino	53
Sao Tome and Principe	..
Saudi Arabia	2
Senegal	..
Serbia	..
Seychelles	8.1
Sierra Leone	..
Singapore	1.3
Sint Maarten (Dutch part)	..
Slovak Republic	2.9
Slovenia	6
Solomon Islands	..
Somalia	..
South Africa	3.7
South Sudan	..
Spain	3.2
Sri Lanka	3.4
St. Kitts and Nevis	24.7
St. Lucia	10
St. Martin (French part)	..
St. Vincent and the Grenadines	6.5
Sudan	..
Suriname	..
Eswatini	9.3
Sweden	0.5
Switzerland	0.7
Syrian Arab Republic	..
Tajikistan	..
Tanzania	9.9
Thailand	3.1
Timor-Leste	..
Togo	..
Tonga	3.2
Trinidad and Tobago	3
Tunisia	..
Turkey	3.7
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	3.3
Ukraine	48.4
United Arab Emirates	6.5
United Kingdom	1.1
United States	0.9
Uruguay	2.3
Uzbekistan	1.5
Vanuatu	15
Venezuela, RB	..
Vietnam	1.8
Virgin Islands (U.S.)	..
West Bank and Gaza	3
Yemen, Rep.	..
Zambia	11
Zimbabwe	..
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
