Country	Tractors (2000)	Tractors (2009)
Afghanistan	0.1	0.1
Albania	139.9	121.9
Algeria	124.9	139.6
American Samoa	68	107.8
Andorra	4370.4	4584.4
Angola	..	..
Antigua and Barbuda	..	..
Argentina	89.6	87.7
Armenia	291.6	291.6
Aruba	..	..
Australia	..	..
Austria	1.8	1.2
Azerbaijan	148.2	148.2
Bahamas, The	163.3	..
Bahrain	75	75
Bangladesh	1.2	1.2
Barbados	..	..
Belarus	118.9	86.8
Belgium	1.8	1127
Belize	..	..
Benin	0.8	..
Bermuda	1125	..
Bhutan	11	11
Bolivia	19.1	2020.1
Bosnia and Herzegovina	322.2	..
Botswana	76.8	120.8
Brazil	138	113.3
Brunei Darussalam	..	..
Bulgaria	98.4	172
Burkina Faso	5.7	..
Burundi	1.8	..
Cabo Verde	10.9	11.7
Cambodia	5.9	5.9
Cameroon	0.9	..
Canada	159.1	162.5
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	307.3	427.2
China	83.7	83.7
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	82.7	..
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	..	..
Cote d'Ivoire	30	32.1
Croatia	27.3	49.4
Cuba	216.6	203.2
Curacao	..	..
Cyprus	1.2	1.2
Czech Republic	298.2	262.3
Denmark	540.2	486.3
Djibouti	80	46.2
Dominica	..	..
Dominican Republic	20.8	20.8
Ecuador	90.7	90.7
Egypt, Arab Rep.	307.9	390.6
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	8.3	8.3
Estonia	600.5	603.5
Eswatini	219.8	87.1
Ethiopia	..	..
Faroe Islands	..	..
Fiji	357.6	354
Finland	778.9	783.5
France	688.7	640.1
French Polynesia	910	..
Gabon	..	..
Gambia, The	..	..
Georgia	216.9	216.9
Germany	838.3	838.3
Ghana	4.9	4.5
Greece	925.9	1.7
Greenland	..	..
Grenada	120	..
Guam	..	..
Guatemala	..	..
Guinea	25.1	25.1
Guinea-Bissau	0.7	..
Guyana	..	..
Haiti	1.6	..
Honduras	48.7	48.7
Hungary	246.2	261.8
Iceland	699.1	921.9
India	129.9	129.9
Indonesia	2	2
Iran, Islamic Rep.	152.8	152.8
Iraq	112.4	112.4
Ireland	1481.2	1.4
Isle of Man	..	..
Israel	695.3	695.3
Italy	1938.5	1.1
Jamaica	..	..
Japan	4532.1	4532.1
Jordan	301.7	301.7
Kazakhstan	17.3	17.3
Kenya	24.9	25.2
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	1115.4	1.4
Kosovo	..	..
Kuwait	89	89
Kyrgyz Republic	188.1	188.1
Lao PDR	..	..
Latvia	575.4	501.4
Lebanon	640	..
Lesotho	62.5	..
Liberia	..	..
Libya	218.9	218.9
Liechtenstein	..	..
