Country	$ (2010)	$ (2018)
Afghanistan	..	..
Albania	0	..
Algeria	..	0
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	1	..
Armenia	..	..
Aruba	..	..
Australia	115	38
Austria	49	6
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	..	..
Bangladesh	..	..
Barbados	..	..
Belarus	159	45
Belgium	9	16
Belize	..	..
Benin	..	..
Bermuda	..	..
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	14	..
Botswana	..	..
Brazil	143	100
Brunei Darussalam	24	12
Bulgaria	4	14
Burkina Faso	..	..
Burundi	..	..
Cambodia	..	..
Cameroon	..	..
Canada	250	111
Cabo Verde	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	100	0
China	1478	1140
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	0	10
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	0	..
Cote d'Ivoire	..	1
Croatia	..	3
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	4	88
Denmark	8	28
Djibouti	..	..
Dominica	..	..
Dominican Republic	..	4
Ecuador	..	2
Egypt, Arab Rep.	..	2
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	61	42
France	866	1773
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	..	7
Germany	2664	1071
Ghana	..	..
Greece	..	30
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	..	..
Iceland	..	..
India	5	43
Indonesia	8	15
Iran, Islamic Rep.	45	20
Iraq	..	..
Ireland	26	..
Isle of Man	..	..
Israel	637	655
Italy	539	555
Jamaica	..	..
Japan	..	3
Jordan	117	1
Kazakhstan	..	..
Kenya	..	..
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	5	..
Korea, Rep.	197	1066
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	14	5
Lao PDR	..	..
Latvia	..	..
Lebanon	..	..
Lesotho	..	..
Liberia	..	..
Libya	28	..
Liechtenstein	..	..
Lithuania	..	60
Luxembourg	..	..
North Macedonia	..	..
Madagascar	..	..
Malawi	..	..
Malaysia	0	..
Maldives	..	..
Mali	..	..
Malta	..	..
Marshall Islands	..	..
Mauritania	..	..
Mauritius	..	..
Mexico	..	1
Micronesia, Fed. Sts.	..	..
Moldova	11	..
Monaco	..	..
Mongolia	..	..
Montenegro	18	0
Morocco	..	..
Mozambique	..	..
Myanmar	..	..
Namibia	..	..
Nepal	..	..
Netherlands	371	438
New Caledonia	..	..
New Zealand	75	6
Nicaragua	..	..
Niger	..	..
Nigeria	..	..
Northern Mariana Islands	..	..
Norway	159	58
Oman	..	7
Pakistan	1	2
Palau	..	..
Panama	..	1
Papua New Guinea	..	..
Paraguay	..	..
Peru	..	..
Philippines	..	..
Poland	28	21
Portugal	0	3
Puerto Rico	..	..
Qatar	0	3
Romania	1	..
Russian Federation	6275	6506
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	1	..
Senegal	..	..
Serbia	31	27
Seychelles	..	..
Sierra Leone	..	..
Singapore	25	47
Sint Maarten (Dutch part)	..	..
Slovak Republic	4	12
Slovenia	..	0
Solomon Islands	..	..
Somalia	..	..
South Africa	235	65
South Sudan	..	..
Spain	263	1025
Sri Lanka	..	..
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Eswatini	..	..
Sweden	659	159
Switzerland	251	237
Syrian Arab Republic	20	..
Tajikistan	..	..
Tanzania	..	..
Thailand	..	2
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	..	..
Turkey	72	265
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	4
Ukraine	485	195
United Arab Emirates	39	113
United Kingdom	1157	699
United States	8033	10414
Uruguay	..	..
Uzbekistan	209	68
Vanuatu	..	..
Venezuela, RB	40	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	..	..
World	..	..
East Asia & Pacific	..	2299
Europe & Central Asia	14368	13343
Latin America & Caribbean	..	22
Middle East & North Africa	..	..
North America	8283	10525
South Asia	5	45
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	209
Upper middle income	10406	8180
High income	16412	18700
