Country	Total debt % (2010)	Total debt % (2018)
Afghanistan	..	..
Albania	69.6	80.7
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	..	..
Armenia	..	..
Aruba	..	..
Australia	0	0.1
Austria	..	..
Azerbaijan	6.4	..
Bahamas, The	33.7	51.4
Bahrain	..	..
Bangladesh	..	..
Barbados	95.7	141.7
Belarus	18.9	40
Belgium	..	..
Belize	81.3	..
Benin	..	..
Bermuda	..	..
Bhutan	56.2	110.7
Bolivia	..	..
Bosnia and Herzegovina	45.8	52.9
Botswana	21.6	15.2
Brazil	61.3	73.4
Brunei Darussalam	..	..
Bulgaria	..	..
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	..
Cameroon	..	..
Canada	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	..	..
China	..	..
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	72.5	57.4
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	27.9	..
Costa Rica	..	..
Cote d'Ivoire	..	..
Croatia	..	..
Cuba	..	..
Curacao	..	..
Cyprus	..	..
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	..	..
Ecuador	..	..
Egypt, Arab Rep.	85.8	..
El Salvador	57.5	52.1
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Eswatini	..	..
Ethiopia	10.7	..
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	35	42.1
Germany	..	..
Ghana	..	..
Greece	..	..
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	24.4	23
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	80.8	96.2
Iceland	102.4	73.5
India	51.6	..
Indonesia	26.2	31.4
Iran, Islamic Rep.	..	..
Iraq	..	28.1
Ireland	82.6	84.8
Isle of Man	..	..
Israel	..	..
Italy	..	..
Jamaica	136.2	122.7
Japan	162.3	196.6
Jordan	60.5	75.4
Kazakhstan	9.5	16.8
Kenya	..	..
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	32.4	38.1
Kosovo	..	..
Kuwait	..	..
Kyrgyz Republic	..	60.5
Lao PDR	..	..
Latvia	..	..
Lebanon	..	..
Lesotho	..	..
Liberia	21.7	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	..	..
Malawi	28	48.7
Malaysia	49.6	51.9
Maldives	54.9	..
Mali	..	..
Malta	..	..
Marshall Islands	64.9	48.9
Mauritania	..	..
Mauritius	36.8	..
Mexico	..	..
Micronesia, Fed. Sts.	24.2	25.4
Moldova	21.9	31.9
Monaco	..	..
Mongolia	59.5	..
Montenegro	..	..
Morocco	51	..
Mozambique	..	..
Myanmar	..	..
Namibia	16.9	..
Nepal	33.9	..
Netherlands	..	..
New Caledonia	..	..
New Zealand	34.9	42.3
Nicaragua	..	..
Niger	..	..
Nigeria	..	..
North Macedonia	..	..
Northern Mariana Islands	..	..
Norway	..	..
Oman	..	..
Pakistan	..	..
Palau	33.2	67.5
Panama	..	..
Papua New Guinea	..	29.9
Paraguay	..	..
Peru	23.7	23.2
Philippines	50.2	..
Poland	..	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	..	..
Russian Federation	9.1	14.2
Rwanda	..	..
Samoa	..	..
San Marino	55	57.3
Sao Tome and Principe	..	..
Saudi Arabia	..	..
Senegal	..	..
Serbia	..	..
Seychelles	75.4	63.3
Sierra Leone	..	..
Singapore	101.4	109.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	..	..
Solomon Islands	15.9	7
Somalia	..	..
South Africa	26	..
South Sudan	..	..
Spain	54	104.6
Sri Lanka	71.6	77.7
St. Kitts and Nevis	107.4	..
St. Lucia	45.7	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	59.9	..
Sudan	..	..
Suriname	..	..
Sweden	..	..
Switzerland	21.6	19.7
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	26.9	35.3
Timor-Leste	..	..
Togo	..	..
Tonga	49	51.8
Trinidad and Tobago	15.9	..
Tunisia	40.7	..
Turkey	47.4	31.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	30	71.8
United Arab Emirates	1.9	..
United Kingdom	81.7	115
United States	85.5	99
Uruguay	44.2	50.7
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	..	..
Zambia	18	49.4
Zimbabwe	..	..
World	..	..
East Asia & Pacific	..	..
Europe & Central Asia	..	..
Latin America & Caribbean	..	..
Middle East & North Africa	..	..
North America	85.5	99
South Asia	52	..
Sub-Saharan Africa	..	..
Low income	..	..
Lower middle income	..	..
Upper middle income	..	..
High income	..	..
