Country	Total
Afghanistan	38.1
Albania	91.3
Algeria	57.5
American Samoa	..
Andorra	..
Angola	73.1
Antigua and Barbuda	66.3
Argentina	76.3
Armenia	82.5
Aruba	..
Australia	96.9
Austria	94.4
Azerbaijan	78.8
Bahamas, The	81.3
Bahrain	46.3
Bangladesh	49.4
Barbados	76.9
Belarus	75.6
Belgium	100
Belize	79.4
Benin	74.4
Bermuda	..
Bhutan	71.9
Bolivia	82.5
Bosnia and Herzegovina	85
Botswana	63.8
Brazil	81.9
British Virgin Islands	..
Brunei Darussalam	53.1
Bulgaria	90.6
Burkina Faso	79.4
Burundi	73.1
Cabo Verde	86.3
Cambodia	75
Cameroon	56.9
Canada	100
Cayman Islands	..
Central African Republic	71.3
Chad	66.3
Channel Islands	..
Chile	77.5
China	75.6
Hong Kong SAR, China	89.4
Macao SAR, China	..
Colombia	81.9
Comoros	58.8
Congo, Dem. Rep.	78.8
Congo, Rep.	46.3
Costa Rica	80
Cote d'Ivoire	83.1
Croatia	93.8
Cuba	..
Curacao	..
Cyprus	91.3
Czech Republic	93.8
Denmark	100
Djibouti	68.1
Dominica	62.5
Dominican Republic	86.3
Ecuador	89.4
Egypt, Arab Rep.	45
El Salvador	88.8
Equatorial Guinea	51.9
Eritrea	69.4
Estonia	97.5
Eswatini	46.3
Ethiopia	71.9
Faroe Islands	..
Fiji	79.4
Finland	97.5
France	100
French Polynesia	..
Gabon	57.5
Gambia, The	74.4
Georgia	85.6
Germany	97.5
Ghana	75
Gibraltar	..
Greece	97.5
Greenland	..
Grenada	80.6
Guam	..
Guatemala	70.6
Guinea	65
Guinea-Bissau	42.5
Guyana	86.9
Haiti	61.3
Honduras	75
Hungary	96.9
Iceland	100
India	74.4
Indonesia	64.4
Iran, Islamic Rep.	31.3
Iraq	45
Ireland	97.5
Isle of Man	..
Israel	77.5
Italy	97.5
Jamaica	68.1
Japan	81.9
Jordan	40.6
Kazakhstan	72.5
Kenya	80.6
Kiribati	78.8
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	85
Kosovo	91.9
Kuwait	32.5
Kyrgyz Republic	76.9
Lao PDR	88.1
Latvia	100
Lebanon	52.5
Lesotho	75.6
Liberia	83.8
Libya	50
Liechtenstein	..
Lithuania	93.8
Luxembourg	100
North Macedonia	85
Madagascar	71.9
Malawi	80.6
Malaysia	50
Maldives	73.8
Mali	60.6
Malta	88.8
Marshall Islands	58.8
Mauritania	45.6
Mauritius	91.9
Mexico	83.8
Micronesia, Fed. Sts.	61.3
Moldova	84.4
Monaco	..
Mongolia	82.5
Montenegro	81.9
Morocco	75.6
Mozambique	76.9
Myanmar	58.8
Namibia	86.3
Nauru	..
Nepal	73.8
Netherlands	97.5
New Caledonia	..
New Zealand	94.4
Nicaragua	86.3
Niger	59.4
Nigeria	63.1
Northern Mariana Islands	..
Norway	96.9
Oman	38.8
Pakistan	49.4
Palau	58.8
Panama	79.4
Papua New Guinea	60
Paraguay	94.4
Peru	95
Philippines	81.3
Poland	93.8
Portugal	97.5
Puerto Rico	81.3
Qatar	32.5
Romania	90.6
Russian Federation	73.1
Rwanda	78.1
Samoa	80
San Marino	80
Sao Tome and Principe	86.3
Saudi Arabia	70.6
Senegal	63.8
Serbia	93.8
Seychelles	76.3
Sierra Leone	63.1
Singapore	82.5
Sint Maarten (Dutch part)	..
Slovak Republic	94.4
Slovenia	93.8
Solomon Islands	56.9
Somalia	46.9
South Africa	88.1
South Sudan	70
Spain	97.5
Sri Lanka	68.1
St. Kitts and Nevis	71.3
St. Lucia	83.8
St. Martin (French part)	..
St. Vincent and the Grenadines	68.1
Sudan	29.4
Suriname	66.3
Sweden	100
Switzerland	85.6
Syrian Arab Republic	36.9
Tajikistan	78.8
Tanzania	84.4
Thailand	78.1
Timor-Leste	83.1
Togo	84.4
Tonga	58.8
Trinidad and Tobago	75
Tunisia	70
Turkey	82.5
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	..
Uganda	73.1
Ukraine	78.8
United Arab Emirates	56.3
United Kingdom	97.5
United States	91.3
Uruguay	88.8
Uzbekistan	67.5
Vanuatu	58.1
Venezuela, RB	85
Vietnam	78.8
Virgin Islands (U.S.)	..
West Bank and Gaza	26.3
Yemen, Rep.	26.9
Zambia	81.3
Zimbabwe	86.9
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	..
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	..
High income	..
