Country	Male	Female
Afghanistan	94	86
Albania	99	98
Algeria	100	98
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	100	99
Argentina	100	100
Armenia	98	99
Aruba	..	..
Australia	..	..
Austria	100	100
Azerbaijan	100	98
Bahamas, The	..	..
Bahrain	99	100
Bangladesh	..	..
Barbados	..	..
Belarus	98	99
Belgium	..	..
Belize	97	97
Benin	83	85
Bermuda	..	..
Bhutan	99	100
Bolivia	97	97
Bosnia and Herzegovina	98	98
Botswana	..	..
Brazil	..	..
Brunei Darussalam	100	100
Bulgaria	100	99
Burkina Faso	81	79
Burundi	76	77
Cabo Verde	94	95
Cambodia	87	92
Cameroon	64	69
Canada	..	..
Cayman Islands	..	..
Central African Republic	..	..
Chad	80	65
Channel Islands	..	..
Chile	97	98
China	..	..
Hong Kong SAR, China	100	100
Macao SAR, China	98	100
Colombia	..	..
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	93	90
Cote d'Ivoire	91	93
Croatia	99	98
Cuba	98	99
Curacao	..	..
Cyprus	99	100
Czech Republic	100	100
Denmark	100	100
Djibouti	88	84
Dominica	..	..
Dominican Republic	92	95
Ecuador	99	100
Egypt, Arab Rep.	95	98
El Salvador	95	95
Equatorial Guinea	..	..
Eritrea	96	93
Estonia	100	100
Eswatini	98	98
Ethiopia	..	..
Faroe Islands	..	..
Fiji	98	98
Finland	100	100
France	..	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	100	100
Germany	100	99
Ghana	93	95
Greece	99	99
Greenland	..	..
Grenada	96	100
Guam	..	..
Guatemala	94	86
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	69	73
Hungary	100	99
Iceland	..	..
India	91	92
Indonesia	95	87
Iran, Islamic Rep.	97	94
Iraq	..	..
Ireland	..	..
Isle of Man	..	..
Israel	100	100
Italy	100	100
Jamaica	96	98
Japan	100	100
Jordan	98	98
Kazakhstan	100	100
Kenya	98	100
Kiribati	96	97
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	100	100
Kosovo	..	..
Kuwait	97	99
Kyrgyz Republic	100	100
Lao PDR	88	85
Latvia	99	99
Lebanon	95	97
Lesotho	86	88
Liberia	78	81
Libya	..	..
Liechtenstein	100	96
Lithuania	99	99
Luxembourg	..	..
Madagascar	74	73
Malawi	..	..
Malaysia	92	90
Maldives	98	100
Mali	77	80
Malta	100	98
Marshall Islands	..	..
Mauritania	68	64
Mauritius	100	99
Mexico	97	96
Micronesia, Fed. Sts.	..	..
Moldova	98	99
Monaco	..	..
Mongolia	99	100
Montenegro	100	100
Morocco	93	88
Mozambique	72	76
Myanmar	..	..
Namibia	..	..
Nepal	84	81
Netherlands	..	..
New Caledonia	..	..
New Zealand	..	..
Nicaragua	..	..
Niger	60	56
Nigeria	..	..
North Macedonia	..	..
Northern Mariana Islands	..	..
Norway	100	99
Oman	97	100
Pakistan	87	88
Palau	..	..
Panama	100	98
Papua New Guinea	..	..
Paraguay	..	..
Peru	96	95
Philippines	96	97
Poland	100	100
Portugal	..	..
Puerto Rico	..	..
Qatar	99	99
Romania	100	99
Russian Federation	100	100
Rwanda	73	72
Samoa	95	98
San Marino	..	..
Sao Tome and Principe	94	100
Saudi Arabia	100	96
Senegal	75	71
Serbia	100	100
Seychelles	97	97
Sierra Leone	89	92
Singapore	100	98
Sint Maarten (Dutch part)	..	..
Slovak Republic	99	99
Slovenia	100	100
Solomon Islands	89	88
Somalia	..	..
South Africa	93	98
South Sudan	..	..
Spain	100	100
Sri Lanka	99	100
St. Kitts and Nevis	99	100
St. Lucia	97	99
St. Martin (French part)	..	..
St. Vincent and the Grenadines	91	100
Sudan	90	94
Suriname	60	72
Sweden	100	99
Switzerland	100	100
Syrian Arab Republic	..	..
Tajikistan	100	99
Tanzania	73	69
Thailand	98	99
Timor-Leste	92	94
Togo	84	80
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	98	98
Turkey	100	100
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	95	92
Uganda	61	57
Ukraine	100	100
United Arab Emirates	..	..
United Kingdom	100	100
United States	100	98
Uruguay	..	..
Uzbekistan	100	99
Vanuatu	..	..
Venezuela, RB	99	99
Vietnam	100	100
Virgin Islands (U.S.)	..	..
West Bank and Gaza	96	97
Yemen, Rep.	..	..
Zambia	..	..
Zimbabwe	..	..
World	91	91
East Asia & Pacific	97	96
Europe & Central Asia	99	99
Latin America & Caribbean	96	94
Middle East & North Africa	92	91
North America	100	98
South Asia	91	91
Sub-Saharan Africa	75	76
Low income	78	75
Lower middle income	89	89
Upper middle income	98	97
High income	..	..
