Country	Value of shares traded (2010)	Value of shares traded (2019)
Afghanistan	..	..
Albania	..	..
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	..	..
Antigua and Barbuda	..	..
Argentina	4	7.6
Armenia	..	..
Aruba	..	..
Australia	77.8	56.1
Austria	38.8	25.2
Azerbaijan	..	..
Bahamas, The	..	..
Bahrain	1.4	2.8
Bangladesh	11.6	20.4
Barbados	1.5	0.4
Belarus	..	..
Belgium	40	..
Belize	..	..
Benin	..	..
Bermuda	6.8	0.8
Bhutan	..	..
Bolivia	..	..
Bosnia and Herzegovina	..	..
Botswana	..	4.5
Brazil	58.8	87.5
Brunei Darussalam	..	..
Bulgaria	5.1	1.1
Burkina Faso	..	..
Burundi	..	..
Cambodia	..	..
Cameroon	..	..
Canada	64.7	59.5
Cabo Verde	..	..
Cayman Islands	0.4	0.5
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	16.9	18
China	205	223.7
Hong Kong SAR, China	54.9	37.2
Macao SAR, China	..	..
Colombia	10.9	10.5
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	..	..
Costa Rica	2.9	1.7
Cote d'Ivoire	..	..
Croatia	4.1	1.5
Cuba	..	..
Curacao	..	..
Cyprus	10.9	1.3
Czech Republic	78.9	14.6
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	..	..
Ecuador	..	..
Egypt, Arab Rep.	44.2	25.3
El Salvador	..	..
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	..	..
Ethiopia	..	..
Faroe Islands	..	..
Fiji	..	..
Finland	..	..
France	70.6	..
French Polynesia	..	..
Gabon	..	..
Gambia, The	..	..
Georgia	..	..
Germany	104.5	64.4
Ghana	3.5	..
Greece	60.1	28.8
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	..	..
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	..	..
Honduras	..	..
Hungary	95.5	26.4
Iceland	..	..
India	66.2	28.9
Indonesia	29	22.5
Iran, Islamic Rep.	19.6	25.3
Iraq	..	..
Ireland	14.7	29.1
Isle of Man	..	..
Israel	47.6	28.8
Italy	124.4	..
Jamaica	5.1	5
Japan	111.6	82.3
Jordan	27.9	8
Kazakhstan	2	0.8
Kenya	5.5	1.9
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	149.3	129.8
Kosovo	..	..
Kuwait	..	3.1
Kyrgyz Republic	..	..
Lao PDR	..	..
Latvia	..	..
Lebanon	14.8	2.5
Lesotho	..	..
Liberia	..	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	0.2	0.1
North Macedonia	..	..
Madagascar	..	..
Malawi	..	..
Malaysia	28.1	26.9
Maldives	..	..
Mali	..	..
Malta	1.2	1.9
Marshall Islands	..	..
Mauritania	..	..
Mauritius	4.7	4
Mexico	24.5	20.5
Micronesia, Fed. Sts.	..	..
Moldova	..	..
Monaco	..	..
Mongolia	..	..
Montenegro	1.4	..
Morocco	8.8	5
Mozambique	..	..
Myanmar	..	..
Namibia	1721.5	3.8
Nepal	..	..
Netherlands	84.3	40.8
New Caledonia	..	..
New Zealand	4.4	11.6
Nicaragua	..	..
Niger	..	..
Nigeria	10.1	6.2
Northern Mariana Islands	..	..
Norway	71.8	34.4
Oman	11.7	10
Pakistan	30.7	..
Palau	..	..
Panama	0.8	2.2
Papua New Guinea	0.2	..
Paraguay	..	..
Peru	3.9	1.6
Philippines	14.1	10.9
Poland	36.4	33.2
Portugal	65.4	..
Puerto Rico	..	..
Qatar	63	8.3
Romania	11.8	7.8
Russian Federation	53.3	22.8
Rwanda	..	0
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	56.9	9.2
Senegal	..	..
Serbia	7.6	..
Seychelles	..	0.9
Sierra Leone	..	..
Singapore	47.2	16.4
Sint Maarten (Dutch part)	..	..
Slovak Republic	7.4	..
Slovenia	5.1	1.9
Solomon Islands	..	..
Somalia	..	..
South Africa	30	33.1
South Sudan	..	..
Spain	117.3	62.7
Sri Lanka	25.1	6
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	..	..
Suriname	..	..
Eswatini	..	..
Sweden	..	43.5
Switzerland	71.2	52.6
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	..	..
Thailand	80.1	64.5
Timor-Leste	..	..
Togo	..	..
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	17.2	5.4
Turkey	133.3	187.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	7.3	..
United Arab Emirates	21.1	10.5
United Kingdom	146.4	..
United States	208.4	108.5
Uruguay	..	..
Uzbekistan	..	..
Vanuatu	..	..
Venezuela, RB	..	..
Vietnam	83.7	22.3
Virgin Islands (U.S.)	..	..
West Bank and Gaza	15.3	7.3
Yemen, Rep.	..	..
Zambia	0.6	..
Zimbabwe	..	..
World	130.9	86.9
East Asia & Pacific	118.5	113.6
Europe & Central Asia	80	59
Latin America & Caribbean	41.5	54.3
Middle East & North Africa	41.1	12.5
North America	193.1	0.8
South Asia	64	28.7
Sub-Saharan Africa	30.4	31.8
Low income	..	..
Lower middle income	57.7	25.6
Upper middle income	114.1	157.3
High income	138.7	52.4
