Country	$ (2010)	$ (2019)
Afghanistan	2097	498
Albania	2533	3736
Algeria	3442	2915
American Samoa	..	..
Andorra	..	..
Angola	857	455
Antigua and Barbuda	466	1112
Argentina	12631	13992
Armenia	1001	2356
Aruba	1545	2325
Australia	45664	69515
Austria	52163	74600
Azerbaijan	2397	3727
Bahamas, The	2456	3699
Bahrain	4233	12054
Bangladesh	1236	3207
Barbados	1295	1394
Belarus	4799	9598
Belgium	96064	118047
Belize	325	586
Benin	348	485
Bermuda	1342	1506
Bhutan	67	130
Bolivia	688	1466
Bosnia and Herzegovina	1698	2246
Botswana	598	892
Brazil	29144	33291
Brunei Darussalam	462	599
Bulgaria	6559	10596
Burkina Faso	265	507
Burundi	7	24
Cabo Verde	487	713
Cambodia	1917	5854
Cameroon	1241	2005
Canada	75300	99557
Cayman Islands	..	3348
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	10541	9866
China	116578	242772
Hong Kong SAR, China	80471	101307
Macao SAR, China	23715	43614
Colombia	5031	9810
Comoros	55	104
Congo, Dem. Rep.	291	89
Congo, Rep.	389	226
Costa Rica	4990	9472
Cote d'Ivoire	1027	1034
Croatia	10815	16702
Cuba	..	..
Curacao	1292	1365
Cyprus	9201	13602
Czech Republic	21925	30087
Denmark	61203	74222
Djibouti	149	714
Dominica	131	139
Dominican Republic	5101	9031
Ecuador	1375	3144
Egypt, Arab Rep.	23618	24253
El Salvador	1466	3104
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	4694	7852
Eswatini	250	86
Ethiopia	1911	4509
Faroe Islands	191	..
Fiji	922	1510
Finland	20670	34688
France	200654	286801
French Polynesia	774	860
Gabon	423	..
Gambia, The	131	197
Georgia	1556	4510
Germany	225954	340970
Ghana	1344	7563
Greece	37531	44721
Greenland	..	..
Grenada	150	603
Guam	..	..
Guatemala	2302	3525
Guinea	61	104
Guinea-Bissau	42	38
Guyana	248	156
Haiti	402	663
Honduras	2076	3128
Hungary	19530	29964
Iceland	3015	5606
India	116583	213731
Indonesia	16115	30914
Iran, Islamic Rep.	..	..
Iraq	2199	6991
Ireland	89075	238036
Isle of Man	..	..
Israel	25196	55169
Italy	99776	121142
Jamaica	2600	3796
Japan	131971	202831
Jordan	5221	7021
Kazakhstan	3900	7495
Kenya	3016	3785
Kiribati	11	8
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	81932	106994
Kosovo	674	1836
Kuwait	8429	8002
Kyrgyz Republic	586	813
Lao PDR	489	914
Latvia	4006	6251
Lebanon	15972	15531
Lesotho	42	28
Liberia	4	10
Libya	410	134
Liechtenstein	..	..
Lithuania	4262	13144
Luxembourg	62057	109917
Madagascar	918	1279
Malawi	75	161
Malaysia	34588	40077
Maldives	1804	3345
Mali	356	486
Malta	10022	17046
Marshall Islands	7	37
Mauritania	128	113
Mauritius	2656	3180
Mexico	15385	30053
Micronesia, Fed. Sts.	32	..
Moldova	750	1503
Monaco	..	..
Mongolia	483	1228
Montenegro	1048	1895
Morocco	14329	18713
Mozambique	245	931
Myanmar	337	4458
Namibia	643	623
Nepal	583	1477
Netherlands	123902	195236
New Caledonia	409	345
New Zealand	11444	17042
Nicaragua	732	1238
Niger	119	225
Nigeria	2619	4949
North Macedonia	975	1811
Northern Mariana Islands	..	..
Norway	41206	45099
Oman	1808	4456
Pakistan	2931	4567
Palau	82	130
Panama	6350	13817
Papua New Guinea	278	356
Paraguay	565	967
Peru	3133	6887
Philippines	17770	40954
Poland	35391	71925
Portugal	22828	39278
Puerto Rico	..	..
Qatar	5580	18305
Romania	10348	30225
Russian Federation	48644	61813
Rwanda	244	651
Samoa	172	263
San Marino	..	..
Sao Tome and Principe	13	74
Saudi Arabia	10351	23468
Senegal	937	1216
Serbia	3512	7786
Seychelles	440	1117
Sierra Leone	56	104
Singapore	100118	204509
Sint Maarten (Dutch part)	899	659
Slovak Republic	6401	11949
Slovenia	6234	9560
Solomon Islands	89	123
Somalia	..	..
South Africa	15676	14373
South Sudan	..	141
Spain	113969	157032
Sri Lanka	2454	8340
St. Kitts and Nevis	129	435
St. Lucia	368	1048
St. Martin (French part)	..	..
St. Vincent and the Grenadines	136	274
Sudan	212	1486
Suriname	207	122
Sweden	53524	75734
Switzerland	92794	119597
Syrian Arab Republic	7040	..
Tajikistan	385	239
Tanzania	2001	4000
Thailand	34099	81617
Timor-Leste	31	76
Togo	289	589
Tonga	29	94
Trinidad and Tobago	869	798
Tunisia	5298	3697
Turkey	35966	64130
Turkmenistan	..	..
Turks and Caicos Islands	..	821
Tuvalu	3	..
Uganda	1034	1752
Ukraine	17729	16997
United Arab Emirates	..	..
United Kingdom	285595	411701
United States	543546	823733
Uruguay	2654	4454
Uzbekistan	..	3075
Vanuatu	271	367
Venezuela, RB	1617	1242
Vietnam	7460	14791
Virgin Islands (U.S.)	..	..
West Bank and Gaza	517	561
Yemen, Rep.	1471	309
Zambia	571	1014
Zimbabwe	263	371
World	3866205	6018008
East Asia & Pacific	735937	1269920
Europe & Central Asia	1958395	2950594
Latin America & Caribbean	128682	195322
Middle East & North Africa	..	..
North America	620188	924829
South Asia	127755	235873
Sub-Saharan Africa	45334	67288
Low income	22581	..
Lower middle income	243930	418837
Upper middle income	460672	785895
High income	3141531	4780184
