Country	Consumption (2000-2018)	Consumption (2017-2018)
Afghanistan	1.9	0.3
Albania	3.7	4.3
Algeria	1.2	..
American Samoa	..	..
Andorra	..	..
Angola	-0.1	7.8
Antigua and Barbuda	-0.3	2.6
Argentina	0.9	4
Armenia	-0.9	7.1
Aruba	0	..
Australia	0.4	3.6
Austria	0.6	-0.3
Azerbaijan	-4.7	18.4
Bahamas, The	4.9	21.5
Bahrain	-2.2	15.1
Bangladesh	0.4	0
Barbados	0.8	2.1
Belarus	1	-0.1
Belgium	0.8	1.5
Belize	0.3	4.8
Benin	0.9	3.4
Bermuda	..	..
Bhutan	1.3	8.5
Bolivia	2.4	6.1
Bosnia and Herzegovina	7	-2.6
Botswana	2.8	6.5
Brazil	0.1	0.2
Brunei Darussalam	-0.6	2.9
Bulgaria	0.4	-1.3
Burkina Faso	3.2	6.6
Burundi	-1.2	1.4
Cabo Verde	1.8	-1.6
Cambodia	5.4	7.3
Cameroon	3.3	2.6
Canada	0.8	0.2
Cayman Islands	..	..
Central African Republic	7	-7.6
Chad	2.9	7.9
Channel Islands	..	..
Chile	0.3	5.6
China	3.1	-11.3
Hong Kong SAR, China	-0.2	-0.4
Macao SAR, China	0.8	22.1
Colombia	0.8	6.5
Comoros	0.8	-0.2
Congo, Dem. Rep.	-3.6	12.8
Congo, Rep.	-1.4	2.1
Costa Rica	-0.7	0.4
Cote d'Ivoire	-6	-10.6
Croatia	-0.8	-2.3
Cuba	0.4	..
Curacao	..	..
Cyprus	0.1	-12
Czech Republic	0	-2.3
Denmark	-0.3	0.7
Djibouti	..	2.9
Dominica	12.4	29.1
Dominican Republic	0.8	3.6
Ecuador	3.5	7.5
Egypt, Arab Rep.	-0.2	3.6
El Salvador	4.8	3.6
Equatorial Guinea	-1.2	-2.5
Eritrea	-0.7	..
Estonia	1.6	-1
Eswatini	0.3	-1.9
Ethiopia	6.8	10.8
Faroe Islands	..	..
Fiji	0.7	8.6
Finland	0.6	-1.1
France	1	1.4
French Polynesia	..	..
Gabon	0	1.8
Gambia, The	0	-1.3
Georgia	0.5	0.6
Germany	0.2	1.5
Ghana	7.5	2.1
Greece	1.7	-3.6
Greenland	..	..
Grenada	5.7	-1.4
Guam	..	..
Guatemala	3.5	0.9
Guinea	5.4	11.8
Guinea-Bissau	-0.5	-7.4
Guyana	1.7	0.4
Haiti	8.9	5.2
Honduras	0.7	6.2
Hungary	-0.3	-2.2
Iceland	1.8	8
India	0.2	6.4
Indonesia	1.6	5.5
Iran, Islamic Rep.	0.8	..
Iraq	-2.8	4.8
Ireland	4.6	-0.3
Isle of Man	..	..
Israel	-1	1.5
Italy	1.2	-0.7
Jamaica	-0.2	4.8
Japan	-0.1	-0.3
Jordan	-2.2	2.4
Kazakhstan	-1.6	12.7
Kenya	-0.9	1.5
Kiribati	-1.7	0.9
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	0.9	2.9
Kosovo	1.7	2.1
Kuwait	0	32.1
Kyrgyz Republic	0.8	-4.6
Lao PDR	3.1	4.3
Latvia	-0.6	-2.8
Lebanon	1	2.7
Lesotho	7.7	1.4
Liberia	-0.3	2.8
Libya	-1.3	0.7
Liechtenstein	0.5	..
Lithuania	-0.2	-4.1
Luxembourg	3.2	0.7
Madagascar	4.3	-1.1
Malawi	2.3	0.4
Malaysia	0.1	3.6
Maldives	0.7	0.4
Mali	1.4	-0.1
Malta	-0.7	-5.9
Marshall Islands	-0.1	0.8
Mauritania	1.1	-1.8
Mauritius	4.1	-1.3
Mexico	1.5	3.5
Micronesia, Fed. Sts.	-0.9	11.1
Moldova	-3.4	9.1
Monaco	..	..
Mongolia	-1.3	-17.6
Montenegro	1.7	0.6
Morocco	0.1	-0.1
Mozambique	-2.4	-3.2
Myanmar	9.6	51
Namibia	0	0.3
Nepal	6.9	9.8
Netherlands	0.5	-0.3
New Caledonia	..	..
New Zealand	-0.1	5.2
Nicaragua	0.2	3.5
Niger	0.7	16.9
Nigeria	3.2	0.8
North Macedonia	-0.5	2.8
Northern Mariana Islands	..	..
Norway	0.9	-2.6
Oman	2.4	17.9
Pakistan	-4.2	0.3
Palau	0.2	-0.6
Panama	-1.2	5.3
Papua New Guinea	1	1.6
Paraguay	3.2	1.3
Peru	0.6	5.1
Philippines	-0.1	8
Poland	-1.3	0.9
Portugal	0.9	0.7
Puerto Rico	2	0.1
Qatar	2	3.6
Romania	-0.5	1.6
Russian Federation	-1.3	7.8
Rwanda	2.6	2.6
Samoa	-1.5	0.9
San Marino	..	..
Sao Tome and Principe	10	-4
Saudi Arabia	1.2	-9
Senegal	0.7	4.3
Serbia	-1	-1.1
Seychelles	0.8	-1.1
Sierra Leone	-0.8	3.2
Singapore	-0.2	3.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	-0.5	4.9
Slovenia	0.5	-1.9
Solomon Islands	0.4	-0.5
Somalia	..	..
South Africa	0.5	1.3
South Sudan	..	..
Spain	1.4	0
Sri Lanka	2	0.3
St. Kitts and Nevis	0.3	0.9
St. Lucia	-1.4	-0.9
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-0.3	1
Sudan	-1.1	-1.3
Suriname	0.9	-2.2
Sweden	0.4	1.7
Switzerland	0.3	5.6
Syrian Arab Republic	..	..
Tajikistan	-4.6	-0.7
Tanzania	1.4	5
Thailand	0.3	2.3
Timor-Leste	-0.4	1.7
Togo	7.1	4.1
Tonga	0.4	0.9
Trinidad and Tobago	-1.1	5.9
Tunisia	0.7	1
Turkey	0	6.4
Turkmenistan	2	0.1
Turks and Caicos Islands	..	1.1
Tuvalu	1.6	-1.1
Uganda	9.3	4.9
Ukraine	-2.2	0.2
United Arab Emirates	-5.7	0.3
United Kingdom	0.8	1.2
United States	0.4	0.4
Uruguay	6.9	9.1
Uzbekistan	-2.3	1.3
Vanuatu	-0.3	-2
Venezuela, RB	0.2	..
Vietnam	1.5	1.1
Virgin Islands (U.S.)	..	..
West Bank and Gaza	-0.3	..
Yemen, Rep.	-1.5	..
Zambia	0.2	0
Zimbabwe	0.7	-8.6
World	0.7	-1.1
East Asia & Pacific	0.9	-6
Europe & Central Asia	0.5	1.5
Latin America & Caribbean	0.7	4.1
Middle East & North Africa	0	-7.2
North America	0.4	0.3
South Asia	0	5.4
Sub-Saharan Africa	1.8	0.8
Low income	3.7	7.4
Lower middle income	0.5	4.1
Upper middle income	2.3	-4.9
High income	0.3	0.4
