Country	Survey year	Poorest quintile	Richest quintile
Afghanistan	2015	94	77
Albania	2018	66	12
Algeria	2013	..	..
American Samoa	..	..	..
Andorra	..	..	..
Angola	2016	86	58
Antigua and Barbuda	..	..	..
Argentina	..	..	..
Armenia	2016	72	58
Aruba	..	..	..
Australia	..	..	..
Austria	..	..	..
Azerbaijan	..	..	..
Bahamas, The	..	..	..
Bahrain	..	..	..
Bangladesh	2014	..	..
Barbados	2012	..	..
Belarus	2012	..	..
Belgium	..	..	..
Belize	2016	..	..
Benin	2018	70	47
Bermuda	..	..	..
Bhutan	2010	..	..
Bolivia	2008	95	78
Bosnia and Herzegovina	..	..	..
Botswana	..	..	..
Brazil	..	..	..
Brunei Darussalam	..	..	..
Bulgaria	..	..	..
Burkina Faso	2018	90	61
Burundi	2017	83	49
Cabo Verde	..	..	..
Cambodia	2014	88	54
Cameroon	2014	46	35
Canada	..	..	..
Cayman Islands	..	..	..
Central African Republic	2010	..	..
Chad	2015	29	25
Channel Islands	..	..	..
Chile	..	..	..
China	..	..	..
Hong Kong SAR, China	..	..	..
Macao SAR, China	..	..	..
Colombia	2015	..	..
Comoros	2012	78	75
Congo, Dem. Rep.	2014	87	59
Congo, Rep.	2016	85	62
Costa Rica	2011	..	..
Cote d'Ivoire	2016	88	65
Croatia	..	..	..
Cuba	..	..	..
Curacao	..	..	..
Cyprus	..	..	..
Czech Republic	..	..	..
Denmark	..	..	..
Djibouti	..	..	..
Dominica	..	..	..
Dominican Republic	2014	65	37
Ecuador	..	..	..
Egypt, Arab Rep.	2014	63	38
El Salvador	2014	..	..
Equatorial Guinea	..	..	..
Eritrea	..	..	..
Estonia	..	..	..
Eswatini	2014	..	..
Ethiopia	2016	85	48
Faroe Islands	..	..	..
Fiji	..	..	..
Finland	..	..	..
France	..	..	..
French Polynesia	..	..	..
Gabon	2012	88	71
Gambia, The	2018	59	24
Georgia	..	..	..
Germany	..	..	..
Ghana	2016	68	33
Greece	..	..	..
Greenland	..	..	..
Grenada	..	..	..
Guam	..	..	..
Guatemala	2015	85	58
Guinea	2018	82	48
Guinea-Bissau	2014	..	..
Guyana	2014	59	27
Haiti	2017	92	63
Honduras	2012	85	57
Hungary	..	..	..
Iceland	..	..	..
India	2016	79	37
Indonesia	2017	47	29
Iran, Islamic Rep.	..	..	..
Iraq	2018	..	..
Ireland	..	..	..
Isle of Man	..	..	..
Israel	..	..	..
Italy	..	..	..
Jamaica	2011	..	..
Japan	..	..	..
Jordan	2018	64	31
Kazakhstan	2015	..	..
Kenya	2015	68	24
Kiribati	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	..	..	..
Kosovo	2014	..	..
Kuwait	..	..	..
Kyrgyz Republic	2018	54	24
Lao PDR	2017	..	..
Latvia	..	..	..
Lebanon	..	..	..
Lesotho	2018	61	25
Liberia	2016	84	43
Libya	..	..	..
Liechtenstein	..	..	..
Lithuania	..	..	..
Luxembourg	..	..	..
Madagascar	2016	39	27
Malawi	2017	84	57
Malaysia	..	..	..
Maldives	2017	62	58
Mali	2018	62	32
Malta	..	..	..
Marshall Islands	..	..	..
Mauritania	2015	..	..
Mauritius	..	..	..
Mexico	2015	..	..
Micronesia, Fed. Sts.	..	..	..
Moldova	2012	..	..
Monaco	..	..	..
Mongolia	2018	..	..
Montenegro	2013	..	..
Morocco	..	..	..
Mozambique	2018	89	26
Myanmar	2016	71	31
Namibia	2013	74	20
Nepal	2016	94	67
Netherlands	..	..	..
New Caledonia	..	..	..
New Zealand	..	..	..
Nicaragua	..	..	..
Niger	2012	79	59
Nigeria	2018	70	33
North Macedonia	2011	..	..
Northern Mariana Islands	..	..	..
Norway	..	..	..
Oman	..	..	..
Pakistan	2018	80	48
Palau	..	..	..
Panama	..	..	..
Papua New Guinea	2018	90	52
Paraguay	2016	..	..
Peru	2012	95	72
Philippines	2017	72	36
Poland	..	..	..
Portugal	..	..	..
Puerto Rico	..	..	..
Qatar	..	..	..
Romania	..	..	..
Russian Federation	..	..	..
Rwanda	2017	82	32
Samoa	..	..	..
San Marino	..	..	..
Sao Tome and Principe	2014	89	91
Saudi Arabia	..	..	..
Senegal	2017	78	25
Serbia	2014	..	..
Seychelles	..	..	..
Sierra Leone	2017	80	56
Singapore	..	..	..
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	..	..	..
Slovenia	..	..	..
Solomon Islands	..	..	..
Somalia	..	..	..
South Africa	2016	27	10
South Sudan	2010	..	..
Spain	..	..	..
Sri Lanka	..	..	..
St. Kitts and Nevis	..	..	..
St. Lucia	..	..	..
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	..	..	..
Sudan	2014	..	..
Suriname	2018	..	..
Sweden	..	..	..
Switzerland	..	..	..
Syrian Arab Republic	..	..	..
Tajikistan	2017	66	25
Tanzania	2017	80	48
Thailand	2016	..	..
Timor-Leste	2016	82	55
Togo	2017	78	48
Tonga	..	..	..
Trinidad and Tobago	..	..	..
Tunisia	2018	..	..
Turkey	2013	..	..
Turkmenistan	2016	..	..
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	2016	78	37
Ukraine	2012	..	..
United Arab Emirates	..	..	..
United Kingdom	..	..	..
United States	..	..	..
Uruguay	..	..	..
Uzbekistan	..	..	..
Vanuatu	..	..	..
Venezuela, RB	..	..	..
Vietnam	2014	..	..
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	2014	..	..
Yemen, Rep.	2013	99	81
Zambia	2014	75	25
Zimbabwe	2015	81	34
