Country	Macroeconomic management	Fiscal policy	Debt policy	Average
Afghanistan	2.7	3.5	3	2.5
Bangladesh	3.1	3.5	3.5	4
Benin	3.6	4	4	4.5
Bhutan	3.9	4.5	4	4
Burkina Faso	3.5	4	3	4
Burundi	2.9	2.5	3	2.5
Cabo Verde	3.8	4	3.5	2.5
Cambodia	3.4	4	3.5	5
Cameroon	3.3	4	3.5	3.5
Central African Republic	2.6	3.5	3	2.5
Chad	2.8	3.5	3	2.5
Comoros	2.8	3	2.5	3
Congo, Dem. Rep.	2.9	3	3	3.5
Congo, Rep.	2.7	3	3	2
Cote d'Ivoire	3.5	4	3.5	3.5
Djibouti	3.2	4	3	2.5
Dominica	3.7	4.5	4	3
Eritrea	1.9	1.5	1.5	1.5
Ethiopia	3.5	3.5	3.5	3.5
Gambia, The	3	2.5	2.5	2
Ghana	3.6	3.5	3	3.5
Grenada	3.6	4.5	3.5	3
Guinea	3.2	4	3.5	3
Guinea-Bissau	2.5	3	2.5	2.5
Guyana	3.3	3.5	3.5	3.5
Haiti	2.8	3.5	3	2.5
Honduras	3.4	3.5	3.5	4
Kenya	3.7	4.5	3.5	4
Kiribati	3	3	2.5	2.5
Kosovo	3.6	3.5	3	4.5
Kyrgyz Republic	3.5	4	3	4
Lao PDR	3	3	3	2
Lesotho	3.3	3.5	2.5	3.5
Liberia	2.9	3	3	3
Madagascar	3.3	4	3	4
Malawi	3.2	3.5	2	3
Maldives	3.3	3.5	2.5	2.5
Mali	3.4	4	4	4
Marshall Islands	2.6	3	2.5	2
Mauritania	3.4	3.5	4	3
Micronesia, Fed. Sts.	2.7	3	2.5	2.5
Moldova	3.7	4.5	3.5	4
Mongolia	3.4	3.5	3	3
Mozambique	3.1	3.5	3	2
Myanmar	3	3.5	3.5	4
Nepal	3.4	3	3	4
Nicaragua	3.4	4	4	4
Niger	3.4	4	3.5	4
Nigeria	3.2	3	3	4
Pakistan	3.3	3.5	2.5	3.5
Papua New Guinea	3	3	2.5	3.5
Rwanda	4	4	4	4
Samoa	4	4.5	4.5	3.5
Sao Tome and Principe	3	3	3	2.5
Senegal	3.7	4	3.5	4
Sierra Leone	3.1	3.5	3	3
Solomon Islands	2.9	3.5	2.5	3.5
Somalia	2	2	2.5	1.5
South Sudan	1.4	1	1	1
St. Lucia	3.6	4.5	3	2.5
St. Vincent and the Grenadines	3.7	4.5	3	3.5
Sudan	2.2	1.5	2.5	1.5
Tajikistan	3.1	4	3.5	2.5
Tanzania	3.5	4.5	3.5	4
Timor-Leste	2.8	3	2.5	3.5
Togo	3.3	4	3	3
Tonga	3.5	3.5	3.5	3
Tuvalu	2.9	3	3	2
Uganda	3.7	4	4	5
Uzbekistan	3.7	4	4	4.5
Vanuatu	3.4	4	3.5	4
Yemen, Rep.	2	2	2	1.5
Zambia	3.2	3	2	3
Zimbabwe	3	2.5	3	2
