Country	Active military	Reserve military	Paramilitary	Total	Per 1,000 capita (total)	Per 1,000 capita (active)
Afghanistan	174,3	0	148,7	323	9.2	5
Albania	8	0	500	8,5	2.8	2.6
Algeria	130	150	187,2	467,2	11.2	3.1
Angola	107	0	10	117	3.9	3.5
Antigua and Barbuda	180	80	0	260	2.7	1.9
Argentina	74,2	0	31,25	105,45	2.4	1.7
Armenia	44,8	210	4,3	259,1	85.3	14.7
Australia	57,05	21,05	0	78,1	3.3	2.4
Austria	21,2	157,9	0	179,1	20.4	2.4
Azerbaijan	66,95	300	15	381,95	38	6.7
Bahamas	1,3	0	0	1,3	3.9	3.9
Bahrain	8,2	0	11,26	19,46	13.5	5.7
Bangladesh	157,05	0	63,9	220,95	1.4	1
Barbados	610	430	0	1,04	3.6	2.1
Belarus	45,35	289,5	110	444,85	46.7	4.8
Belgium	26,55	5,1	0	31,65	2.7	2.3
Belize	1,5	700	150	2,35	6.1	3.9
Benin	7,25	0	4,8	12,05	1.1	0.6
Bolivia	34,1	0	37,1	71,2	6.3	3
Bosnia and Herzegovina	10,5	0	0	10,5	2.7	2.7
Botswana	9	0	0	9	4	4
Brazil	334,5	1,340,000	395	2,069,500	9.9	1.6
Brunei	7,2	700	500	8,4	18.6	16
Bulgaria	31,3	3	0	34,3	4.9	4.4
Burkina Faso	11,2	0	250	11,45	0.6	0.6
Burundi	30,05	0	21	51,05	4.3	2.5
Cambodia	124,3	0	67	191,3	11.6	7.6
Cameroon	15,4	0	9	24,4	1	0.6
Canada	67,492	36,381	5,4	109,273	3	1.9
Cape Verde	1,2	0	0	1,2	2.1	2.1
Central African Republic	7,15	0	1	8,15	1.4	1.2
Chad	30,35	0	4,5	34,85	2.2	1.9
Chile	77,2	40	44,7	161,9	9	4.3
China	2,035,000	510	660	3,205,000	2.3	1.5
Colombia	293,2	34,95	187,9	516,05	10.7	6.1
Costa Rica	0	0	9,8	9,8	2	0
Côte d'Ivoire	27,4	0	0	27,4	1	1
Croatia	15,2	18,35	3	36,55	8.6	3.6
Cuba	49	39	1,146,500	1,234,500	110.9	4.4
Cyprus	15	50	750	65,75	53.1	12.1
Czech Republic	23,2	0	0	23,2	2.2	2.2
Democratic Republic of the Congo	134,25	0	0	134,25	1.6	1.6
Denmark	14,5	45,7	0	60,2	10.4	2.5
Djibouti	10,45	0	2,65	13,1	14.8	11.8
Dominican Republic	56,05	0	15	71,05	6.9	5.4
East Timor	2,28	0	0	2,28	1.7	1.7
Ecuador	40,25	118	500	158,75	9.6	2.4
Egypt	438,5	479	397	1,314,500	13.2	4.4
El Salvador	24,5	9,9	17	51,4	8.3	4
Equatorial Guinea	1,45	0	0	1,45	1.8	1.8
Eritrea	201,75	120	0	321,75	53.9	33.8
Estonia	6,6	12	15,8	34,4	27.6	5.3
Ethiopia	138	0	0	138	1.3	1.3
Fiji	3,5	6	0	9,5	10.3	3.8
Finland	21,5	216	14,2	251,7	45.5	3.9
France	203,9	36,3	143,4	383,6	5.7	3
Gabon	4,7	0	2	6,7	3.2	2.2
Gambia	800	0	0	800	0.4	0.4
Georgia	20,65	0	5,4	26,05	5.3	4.2
Germany	179,4	28,25	0	207,65	2.6	2.2
Ghana	15,5	0	0	15,5	0.6	0.6
Greece	142,35	220,5	4	366,85	34.1	13.2
Guatemala	18,05	63,85	25	106,9	6.4	1.1
Guinea	9,7	0	2,6	12,3	1	0.8
Guinea-Bissau	4,45	0	0	4,45	2.4	2.4
Guyana	3,4	670	0	4,07	5.5	4.6
Haiti	150	0	50	200	0	0
Honduras	14,95	60	8	82,95	9	1.6
Hungary	27,8	20	12	59,8	6.1	2.8
Iceland	0	0	250	250	0.7	0
India	1,444,500	1,155,000	2,526,950	5,126,450	4	1.1
Indonesia	395,5	400	280	1,075,500	4.1	1.5
Iran	610	350	1,050,000	2,010,000	24.2	7.3
Iraq	193	0	145	338	8.4	4.8
Ireland	9,5	4,05	0	13,55	2.7	1.9
Israel	169,5	465	8	642,5	76.3	20.1
Italy	171,05	18,3	175,75	365,1	5.9	2.7
Jamaica	3,95	980	0	4,93	1.8	1.4
Japan	247,15	56	14	317,15	2.5	2
Jordan	100,5	65	15	180,5	17.3	9.6
Kazakhstan	39	0	31,5	70,5	3.8	2.1
Kenya	24,1	0	5	29,1	0.6	0.5
Kosovo	2,5	800	0	3,3	1.7	1.3
Kuwait	17,5	23,7	7,1	48,3	16.6	6
Kyrgyzstan	10,9	0	9,5	20,4	3.5	1.9
Laos	29,1	0	100	129,1	17.8	4
Latvia	6,21	15,9	0	22,11	11.5	3.2
Lebanon	60	0	20	80	13.1	9.8
Lesotho	2	0	0	2	1	1
Liberia	2,01	0	0	2,01	0.4	0.4
Libya	0	0	0	0	0	0
Lithuania	19,85	6,7	14,4	40,95	14.7	7.1
Luxembourg	900	0	600	1,5	2.5	1.5
Madagascar	13,5	0	8,1	21,6	0.8	0.5
Malawi	10,7	0	4,2	14,9	0.8	0.5
Malaysia	113	51,6	267,2	431,8	13.6	3.6
Mali	10	0	7,8	17,8	1	0.5
Malta	1,95	180	0	2,13	4.7	4.3
Mauritania	15,85	0	5	20,85	5.4	4.1
Mauritius	0	0	2,55	2,55	1.9	0
Mexico	277,15	81,5	58,9	417,55	3.3	2.2
Moldova	5,15	58	900	64,05	18.6	1.5
Mongolia	9,7	137	7,5	154,2	49.7	3.1
Montenegro	1,95	0	10,1	12,05	19.6	3.2
Morocco	195,8	150	50	395,8	11.5	5.7
Mozambique	11,2	0	0	11,2	0.4	0.4
Myanmar	406	0	107	513	9.2	7.3
Namibia	9,9	0	6	15,9	6.3	3.9
Nepal	96,6	0	15	111,6	3.8	3.3
Netherlands	35,4	4,5	5,9	45,8	2.7	2.1
New Zealand	9	2,3	0	11,3	2.5	2
Nicaragua	12	0	0	12	2	2
Niger	5,3	0	5,4	10,7	0.5	0.3
Nigeria	135	0	80	215	1.1	0.7
North Korea	1,280,000	600	5,889,000	7,769,000	306.1	50.4
North Macedonia	8	4,85	7,6	20,45	9.7	3.8
Norway	23,25	40	0	63,25	11.8	4.3
Oman	42,6	0	4,4	47	13.5	12.2
Pakistan	653,8	0	282	935,8	4.5	3.1
Palestine	0	0	43,8	43,8	9.4	0
Panama	0	0	26	26	6.8	0
Papua New Guinea	3,6	0	0	3,6	0.5	0.5
Paraguay	11,9	164,5	14,8	191,2	27.2	1.7
Peru	81	188	77	346	11	2.6
Philippines	142,35	131	61,1	334,45	3.2	1.3
Poland	117,8	0	73,4	191,2	5	3.1
Portugal	27,2	211,95	24,7	263,85	25.5	2.6
Qatar	16,5	0	5	21,5	9.1	7
Republic of the Congo	10	0	2	12	2.4	2
Romania	69,3	50	57	176,3	8.2	3.2
Russia	900	2,000,000	554	3,454,000	24.3	6.3
Rwanda	33	0	2	35	2.9	2.7
Saudi Arabia	227	0	24,5	251,5	7.6	6.9
Senegal	13,6	0	5	18,6	1.2	0.9
Serbia	28,15	50,15	3,7	82	11.6	4
Seychelles	420	0	0	420	4.4	4.4
Sierra Leone	8,5	0	0	8,5	1.3	1.3
Singapore	72,5	1,386,000	9,591	1,468,091	244.8	12.1
Slovakia	15,85	0	0	15,85	2.9	2.9
Slovenia	7,25	1,5	5,95	14,7	7	3.4
Somalia	19,8	0	0	19,8	1.8	1.8
South Africa	65,35	15,05	0	80,4	1.5	1.2
South Korea	599	3,100,000	3,009,000	6,708,000	130.5	11.6
South Sudan	185	0	0	185	18.1	18.1
Spain	120,35	15,15	75,8	211,3	4.4	2.5
Sri Lanka	255	5,5	92,6	353,1	15.6	11.3
Sudan	104,3	85	20	209,3	4.9	2.4
Suriname	1,84	0	0	1,84	3.1	3.1
Sweden	29,75	0	21,2	50,95	5.1	3
Switzerland	21,45	217,8	0	239,25	28.9	2.6
Syria	139	0	100	239	12.3	7.1
Taiwan	163	1,657,000	11,45	1,831,450	77.8	6.9
Tajikistan	8,8	0	7,5	16,3	1.9	1
Tanzania	27	80	1,4	108,4	2	0.5
Thailand	360,85	200	138,7	699,55	10.2	5.3
Togo	8,55	0	750	9,3	1.1	1
Trinidad and Tobago	4,05	0	0	4,05	3.3	3.3
Tunisia	35,8	0	12	47,8	4.2	3.1
Turkey	355,2	378,7	156,8	890,7	11	4.4
Turkmenistan	36,5	0	5	41,5	7.7	6.7
Uganda	45	10	1,4	56,4	1.4	1.1
Ukraine	209	900	88	1,197,000	27.2	4.8
United Arab Emirates	63	0	0	63	6.5	6.5
United Kingdom	148,35	80	0	228,35	3.5	2.3
United States	1,359,450	845,6	0	2,205,050	6.7	4.1
Uruguay	21	0	1,4	22,4	6.6	6.2
Uzbekistan	48	0	20	68	2.3	1.6
Venezuela	123	8	220	351	11.1	3.9
Vietnam	482	0	5,040,000	5,522,000	56.9	5
Yemen	40	0	0	40	1.4	1.4
Zambia	15,1	3	1,4	19,5	1.2	0.9
Zimbabwe	29	0	21,8	50,8	3.6	2.1
