Country	%
Afghanistan	15.5
Albania	15.1
Algeria	..
American Samoa	..
Andorra	..
Angola	..
Antigua and Barbuda	..
Argentina	3.6
Armenia	21
Aruba	..
Australia	..
Austria	3.2
Azerbaijan	..
Bahamas, The	..
Bahrain	..
Bangladesh	10.7
Barbados	..
Belarus	3.7
Belgium	3.4
Belize	3.9
Benin	..
Bermuda	..
Bhutan	..
Bolivia	6
Bosnia and Herzegovina	15.4
Botswana	..
Brazil	6.9
British Virgin Islands	..
Brunei Darussalam	8.8
Bulgaria	2.3
Burkina Faso	11.1
Burundi	..
Cabo Verde	6.2
Cambodia	0.9
Cameroon	..
Canada	4.6
Cayman Islands	2.5
Central African Republic	..
Chad	..
Channel Islands	..
Chile	7
China	..
Colombia	11.2
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	5.3
Cote d'Ivoire	12.4
Croatia	6
Cuba	..
Curacao	..
Cyprus	7.6
Czech Republic	1.2
Denmark	4
Djibouti	..
Dominica	..
Dominican Republic	3.7
Ecuador	5.3
Egypt, Arab Rep.	22.1
El Salvador	5
Equatorial Guinea	..
Eritrea	..
Estonia	3.6
Eswatini	11.3
Ethiopia	..
Faroe Islands	..
Fiji	5
Finland	4.2
France	5.4
French Polynesia	..
Gabon	..
Gambia, The	7
Georgia	12.9
Germany	1.9
Ghana	4.6
Gibraltar	..
Greece	14.2
Greenland	..
Grenada	..
Guam	..
Guatemala	2.9
Guinea	..
Guinea-Bissau	..
Guyana	4.9
Haiti	..
Honduras	7.6
Hong Kong SAR, China	2.4
Hungary	1.5
Iceland	1.9
India	15.3
Indonesia	5.3
Iran, Islamic Rep.	20
Iraq	..
Ireland	3.8
Isle of Man	..
Israel	2.8
Italy	5.9
Jamaica	..
Japan	2.3
Jordan	..
Kazakhstan	3.5
Kenya	7.8
Kiribati	2.2
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	4.1
Kosovo	4.6
Kuwait	..
Kyrgyz Republic	..
Lao PDR	6.9
Latvia	3.7
Lebanon	..
Lesotho	..
Liberia	8.1
Libya	..
Liechtenstein	..
Lithuania	2.8
Luxembourg	4.2
Macao SAR, China	1.5
Madagascar	8.5
Malawi	14.1
Malaysia	4.1
Maldives	3.5
Mali	18.8
Malta	1.9
Marshall Islands	..
Mauritania	17.3
Mauritius	7
Mexico	4.1
Micronesia, Fed. Sts.	..
Moldova	3.3
Monaco	..
Mongolia	5.7
Montenegro	10.3
Morocco	..
Mozambique	7.3
Myanmar	2.3
Namibia	12.2
Nauru	..
Nepal	8.5
Netherlands	2.5
New Caledonia	..
New Zealand	..
Nicaragua	..
Niger	4.8
Nigeria	13.7
North Macedonia	17.8
Northern Mariana Islands	..
Norway	2.3
Oman	..
Pakistan	7.1
Palau	..
Panama	3.2
Papua New Guinea	..
Paraguay	2.8
Peru	3.9
Philippines	7.5
Poland	2
Portugal	5.4
Puerto Rico	..
Qatar	..
Romania	2.1
Russian Federation	4.8
Rwanda	18.1
Samoa	7.7
San Marino	8.2
Sao Tome and Principe	..
Saudi Arabia	..
Senegal	17.8
Serbia	10.8
Seychelles	2.5
Sierra Leone	..
Singapore	4.1
Sint Maarten (Dutch part)	..
Slovak Republic	3.1
Slovenia	3.6
Solomon Islands	..
Somalia	..
South Africa	12
South Sudan	..
Spain	8.9
Sri Lanka	7.1
St. Kitts and Nevis	..
St. Lucia	7.8
St. Martin (French part)	..
St. Vincent and the Grenadines	..
Sudan	..
Suriname	..
Sweden	3.7
Switzerland	3.5
Syrian Arab Republic	..
Tajikistan	..
Tanzania	..
Thailand	1.6
Timor-Leste	6.1
Togo	13.5
Tonga	2.5
Trinidad and Tobago	2.4
Tunisia	26.8
Turkey	12.2
Turkmenistan	..
Turks and Caicos Islands	..
Tuvalu	2.4
Uganda	..
Ukraine	7.7
United Arab Emirates	3.3
United Kingdom	2.5
United States	2.5
Uruguay	3
Uzbekistan	..
Vanuatu	..
Venezuela, RB	..
Vietnam	2.1
Virgin Islands (U.S.)	..
West Bank and Gaza	32.5
Yemen, Rep.	..
Zambia	8
Zimbabwe	..
Arab World	..
Caribbean small states	..
Central Europe and the Baltics	2.5
Early-demographic dividend	12.5
East Asia & Pacific	..
East Asia & Pacific (excluding high income)	..
East Asia & Pacific (IDA & IBRD countries)	..
Euro area	6.4
Europe & Central Asia	6.9
Europe & Central Asia (excluding high income)	9.1
Europe & Central Asia (IDA & IBRD countries)	8.5
European Union	5.9
Fragile and conflict affected situations	..
Heavily indebted poor countries (HIPC)	..
High income	4.6
IBRD only	..
IDA & IBRD total	..
IDA blend	..
IDA only	..
IDA total	..
Late-demographic dividend	..
Latin America & Caribbean	6.6
Latin America & Caribbean (excluding high income)	6.6
Latin America & the Caribbean (IDA & IBRD countries)	6.6
Least developed countries: UN classification	..
Low & middle income	..
Low income	..
Lower middle income	..
Middle East & North Africa	..
Middle East & North Africa (excluding high income)	..
Middle East & North Africa (IDA & IBRD countries)	..
Middle income	..
North America	2.8
Not classified	..
OECD members	5.8
Other small states	..
Pacific island small states	..
Post-demographic dividend	4.9
Pre-demographic dividend	..
Small states	..
South Asia	14.4
South Asia (IDA & IBRD)	14.4
Sub-Saharan Africa	..
Sub-Saharan Africa (excluding high income)	..
Sub-Saharan Africa (IDA & IBRD countries)	..
Upper middle income	..
World	..
