Country	Male	Female
Afghanistan	74	56
Albania	99	100
Algeria	98	97
American Samoa	..	..
Andorra	..	..
Angola	85	71
Antigua and Barbuda	..	..
Argentina	99	100
Armenia	100	100
Aruba	100	99
Australia	..	..
Austria	..	..
Azerbaijan	100	100
Bahamas, The	..	..
Bahrain	100	99
Bangladesh	92	95
Barbados	100	100
Belarus	100	100
Belgium	..	..
Belize	..	..
Benin	70	52
Bermuda	..	..
Bhutan	93	93
Bolivia	99	99
Bosnia and Herzegovina	100	100
Botswana	96	99
Brazil	99	99
Brunei Darussalam	100	100
Bulgaria	98	98
Burkina Faso	62	55
Burundi	91	86
Cabo Verde	98	99
Cambodia	92	93
Cameroon	88	82
Canada	..	..
Cayman Islands	..	..
Central African Republic	48	29
Chad	41	22
Channel Islands	..	..
Chile	99	99
China	100	100
Hong Kong SAR, China	..	..
Macao SAR, China	100	100
Colombia	99	99
Comoros	78	78
Congo, Dem. Rep.	91	80
Congo, Rep.	85	79
Costa Rica	99	100
Cote d'Ivoire	64	53
Croatia	100	100
Cuba	100	100
Curacao	..	..
Cyprus	100	100
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	99	99
Ecuador	99	99
Egypt, Arab Rep.	89	87
El Salvador	98	98
Equatorial Guinea	98	98
Eritrea	94	93
Estonia	100	100
Eswatini	94	97
Ethiopia	74	72
Faroe Islands	..	..
Fiji	100	100
Finland	..	..
France	..	..
French Polynesia	..	..
Gabon	88	91
Gambia, The	71	64
Georgia	100	99
Germany	..	..
Ghana	93	92
Greece	99	99
Greenland	..	..
Grenada	99	100
Guam	..	..
Guatemala	95	93
Guinea	57	37
Guinea-Bissau	71	50
Guyana	96	97
Haiti	83	83
Honduras	95	98
Hungary	99	99
Iceland	..	..
India	93	90
Indonesia	100	100
Iran, Islamic Rep.	98	98
Iraq	95	92
Ireland	..	..
Isle of Man	..	..
Israel	..	..
Italy	100	100
Jamaica	94	99
Japan	..	..
Jordan	99	99
Kazakhstan	100	100
Kenya	88	88
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	..	..
Kosovo	..	..
Kuwait	99	100
Kyrgyz Republic	100	100
Lao PDR	94	91
Latvia	100	100
Lebanon	100	100
Lesotho	80	94
Liberia	65	46
Libya	..	..
Liechtenstein	..	..
Lithuania	100	100
Luxembourg	..	..
Madagascar	82	81
Malawi	72	73
Malaysia	97	97
Maldives	98	99
Mali	58	43
Malta	99	100
Marshall Islands	98	99
Mauritania	71	57
Mauritius	99	99
Mexico	99	99
Micronesia, Fed. Sts.	..	..
Moldova	100	100
Monaco	..	..
Mongolia	98	99
Montenegro	99	99
Morocco	98	97
Mozambique	77	65
Myanmar	85	84
Namibia	94	96
Nepal	94	91
Netherlands	..	..
New Caledonia	99	99
New Zealand	..	..
Nicaragua	90	94
Niger	49	32
Nigeria	82	68
North Macedonia	99	99
Northern Mariana Islands	..	..
Norway	..	..
Oman	98	99
Pakistan	81	68
Palau	98	99
Panama	99	99
Papua New Guinea	65	71
Paraguay	98	99
Peru	99	99
Philippines	99	99
Poland	..	..
Portugal	100	100
Puerto Rico	92	92
Qatar	94	96
Romania	99	99
Russian Federation	100	100
Rwanda	84	89
Samoa	99	99
San Marino	100	100
Sao Tome and Principe	98	98
Saudi Arabia	99	99
Senegal	76	64
Serbia	100	100
Seychelles	99	100
Sierra Leone	71	63
Singapore	100	100
Sint Maarten (Dutch part)	..	..
Slovak Republic	..	..
Slovenia	100	100
Solomon Islands	..	..
Somalia	..	..
South Africa	94	97
South Sudan	48	47
Spain	100	100
Sri Lanka	99	99
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	73	73
Suriname	99	98
Sweden	..	..
Switzerland	..	..
Syrian Arab Republic	..	..
Tajikistan	100	100
Tanzania	87	85
Thailand	98	99
Timor-Leste	82	85
Togo	90	78
Tonga	99	100
Trinidad and Tobago	100	100
Tunisia	97	96
Turkey	100	100
Turkmenistan	100	100
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	89	90
Ukraine	100	100
United Arab Emirates	100	99
United Kingdom	..	..
United States	..	..
Uruguay	99	99
Uzbekistan	100	100
Vanuatu	96	97
Venezuela, RB	98	99
Vietnam	98	98
Virgin Islands (U.S.)	..	..
West Bank and Gaza	99	99
Yemen, Rep.	..	..
Zambia	93	92
Zimbabwe	88	93
World	93	90
East Asia & Pacific	99	99
Europe & Central Asia	100	100
Latin America & Caribbean	98	99
Middle East & North Africa	92	88
North America	..	..
South Asia	91	87
Sub-Saharan Africa	79	74
Low income	79	72
Lower middle income	91	88
Upper middle income	98	98
High income	..	..
