Country	% 1990	% 2014
Afghanistan	..	..
Albania	12.9	2.9
Algeria	45.1	38.8
American Samoa	..	..
Andorra	..	..
Angola	12.2	2020.2
Antigua and Barbuda	..	..
Argentina	34.5	38
Armenia	30.7	29.7
Aruba	..	..
Australia	55	58.4
Austria	35.4	32.6
Azerbaijan	40.8	46.2
Bahamas, The	..	..
Bahrain	89	80.5
Bangladesh	39	52.8
Barbados	..	..
Belarus	62.3	57.2
Belgium	29.8	25.8
Belize	..	..
Benin	11.5	2.3
Bermuda	..	..
Bhutan	..	..
Bolivia	29.3	24.6
Bosnia and Herzegovina	44.8	70.7
Botswana	54.1	54.5
Brazil	15.2	26.3
Brunei Darussalam	77.9	72.1
Bulgaria	64.7	69
Burkina Faso	..	..
Burundi	..	..
Cabo Verde	..	..
Cambodia	..	19.8
Cameroon	1.5	32.6
Canada	32.9	38.7
Cayman Islands	..	..
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	36.1	43
China	34.9	52.3
Colombia	26.8	26.9
Comoros	..	..
Congo, Dem. Rep.	3.3	0
Congo, Rep.	0	17.4
Costa Rica	7.3	10.7
Cote d'Ivoire	22.2	42
Croatia	38.8	31.8
Cuba	37.7	52.8
Curacao	38	65.7
Cyprus	45.2	50
Czech Republic	45.1	58.6
Denmark	52.1	45.2
Djibouti	..	..
Dominica	..	..
Dominican Republic	44.2	53.6
Ecuador	12	26.5
Egypt, Arab Rep.	32.6	50.3
El Salvador	8.1	28.1
Equatorial Guinea	..	..
Eritrea	63.6	55.4
Estonia	74.6	78.1
Eswatini	..	..
Ethiopia	13.4	0.1
Faroe Islands	..	..
Fiji	..	..
Finland	36.9	50.7
France	18.4	13.8
French Polynesia	..	..
Gabon	34.1	32.7
Gambia, The	..	..
Georgia	51.1	2020.6
Germany	43.8	48.5
Ghana	2.8	24.3
Gibraltar	42.9	27.8
Greece	53.1	58.1
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	7.5	21.1
Guinea	..	..
Guinea-Bissau	..	..
Guyana	..	..
Haiti	25.8	2020.3
Honduras	2.3	40.9
Hong Kong SAR, China	73.4	66.2
Hungary	35.7	31.1
Iceland	0	0
India	43.7	53.6
Indonesia	35.6	44.3
Iran, Islamic Rep.	24.5	34.3
Iraq	31.8	65
Ireland	36.1	33.7
Isle of Man	..	..
Israel	60.2	68
Italy	36.8	35.6
Jamaica	27.9	35.4
Japan	42.6	53.1
Jordan	38.4	52.4
Kazakhstan	48.6	63.3
Kenya	7.6	13.4
Kiribati	..	..
Korea, Dem. Peopleâ€™s Rep.	13.8	16.2
Korea, Rep.	28	60.5
Kosovo	..	75.1
Kuwait	74.6	67.4
Kyrgyz Republic	17.2	25.8
Lao PDR	..	..
Latvia	52.5	26.6
Lebanon	50.8	57.2
Lesotho	..	..
Liberia	..	..
Libya	63	53.2
Liechtenstein	..	..
Lithuania	42.4	30.9
Luxembourg	16.1	8.3
Macao SAR, China	..	..
North Macedonia	65.5	59.9
Madagascar	..	..
Malawi	..	..
Malaysia	38.3	54
Maldives	..	..
Mali	..	..
Malta	76.6	68.4
Marshall Islands	..	..
Mauritania	..	..
Mauritius	37.9	61.4
Mexico	36.7	44.1
Micronesia, Fed. Sts.	..	..
Moldova	44.8	45.1
Monaco	..	..
Mongolia	51.6	63.8
Montenegro	..	67.1
Morocco	40.3	40.6
Mozambique	10.2	19.9
Myanmar	40.7	2020.3
Namibia	6.2	0.3
Nepal	0	1.9
Netherlands	40.9	45.8
New Caledonia	..	..
New Zealand	20.8	23.7
Nicaragua	31	34.4
Niger	..	23.5
Nigeria	29.4	39.1
Northern Mariana Islands	..	..
Norway	26.6	36.5
Oman	56.5	38.5
Pakistan	28.6	33.7
Palau	..	..
Panama	21.5	30.9
Papua New Guinea	..	..
Paraguay	1.6	0
Peru	20.8	34.4
Philippines	28	50.2
Poland	66.4	55.6
Portugal	43.5	41.1
Puerto Rico	..	..
Qatar	62.2	63.5
Romania	47.2	45.6
Russian Federation	56.9	61.1
Rwanda	..	..
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	47	49.2
Senegal	40.8	37.1
Serbia	65.3	69.4
Seychelles	..	..
Sierra Leone	..	..
Singapore	79.9	58.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	32.4	38.7
Slovenia	46.8	35.7
Solomon Islands	..	..
Somalia	..	..
South Africa	59.8	67.5
South Sudan	..	30.9
Spain	38.5	37.4
Sri Lanka	4.1	40.8
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	9.6	16.5
Suriname	..	41.7
Sweden	18.8	24.2
Switzerland	6.1	9.3
Syrian Arab Republic	29.2	44.5
Taiwan, China	..	..
Tajikistan	13.9	4.3
Tanzania	17.4	23.3
Thailand	38	46.6
Timor-Leste	..	..
Togo	12.1	1.2
Tonga	..	..
Trinidad and Tobago	59.6	62.1
Tunisia	32.8	38.8
Turkey	30.7	46.7
Turkmenistan	29.3	35.8
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	..
Ukraine	51.9	50
United Arab Emirates	26.3	41.5
United Kingdom	45	41.9
United States	45	46
Uruguay	14.4	15.5
Uzbekistan	41.1	42.5
Vanuatu	..	..
Venezuela, RB	39	35.5
Vietnam	28.1	34.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	25.4	2020.5
Zambia	6.3	9.7
Zimbabwe	43	59.4
World	43.3	49
East Asia & Pacific	38	52.4
Europe & Central Asia	47.3	48.1
Latin America & Caribbean	30.1	35.5
Middle East & North Africa	39.7	46.9
North America	44	45.3
South Asia	41.9	52.1
Sub-Saharan Africa	50.8	54.8
Low income	16.4	23.2
Lower middle income	44	48.7
Upper middle income	44	51.1
High income	43.2	47
