Country	Institution
Afghanistan	-10.2
Albania	0,00
Algeria	0,00
American Samoa	..
Andorra	..
Angola	7.7
Antigua and Barbuda	..
Argentina	-3.9
Armenia	-4.5
Aruba	..
Australia	..
Austria	..
Azerbaijan	-4.1
Bahamas, The	..
Bahrain	..
Bangladesh	168.7
Barbados	..
Belarus	0,00
Belgium	..
Belize	0,00
Benin	24.2
Bermuda	..
Bhutan	4.2
Bolivia	-21,00
Bosnia and Herzegovina	0,00
Botswana	-3,00
Brazil	-5.7
Brunei Darussalam	..
Bulgaria	0,00
Burkina Faso	25.1
Burundi	-0.5
Cabo Verde	-0.9
Cambodia	50.9
Cameroon	48.9
Canada	..
Cayman Islands	..
Central African Republic	0,00
Chad	3.5
Channel Islands	..
Chile	..
China	0,00
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	-5.3
Comoros	0.8
Congo, Dem. Rep.	-0.3
Congo, Rep.	2,00
Costa Rica	-0.9
Cote d'Ivoire	17.1
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	-2.4
Dominica	0,00
Dominican Republic	-16.8
Ecuador	-24.1
Egypt, Arab Rep.	-7.3
El Salvador	-19.5
Equatorial Guinea	..
Eritrea	-2,00
Estonia	..
Ethiopia	163.9
Faroe Islands	..
Fiji	0,00
Finland	..
France	..
French Polynesia	..
Gabon	-0.1
Gambia, The	1.1
Georgia	3.1
Germany	..
Ghana	29.7
Greece	..
Greenland	..
Grenada	0,00
Guam	..
Guatemala	-11.4
Guinea	13.2
Guinea-Bissau	-0.5
Guyana	-11.4
Haiti	0,00
Honduras	-20.9
Hungary	..
Iceland	..
India	0,00
Indonesia	-124,00
Iran, Islamic Rep.	0,00
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	0.3
Japan	..
Jordan	0,00
Kazakhstan	-0.6
Kenya	172.3
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	0,00
Kuwait	..
Kyrgyz Republic	-4.4
Lao PDR	3.1
Latvia	..
Lebanon	0,00
Lesotho	1.2
Liberia	31.3
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	0,00
Madagascar	12.3
Malawi	42.4
Malaysia	..
Maldives	-5.4
Mali	23.6
Malta	..
Marshall Islands	..
Mauritania	5.5
Mauritius	-0.1
Mexico	2.7
Micronesia, Fed. Sts.	..
Moldova	0,00
Monaco	..
Mongolia	25.1
Montenegro	0,00
Morocco	-1.6
Mozambique	38.1
Myanmar	24,00
Namibia	..
Nepal	136.3
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	-21.3
Niger	23.4
Nigeria	62.1
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	-297.4
Palau	..
Panama	..
Papua New Guinea	9.6
Paraguay	-13.8
Peru	-1.1
Philippines	-82.6
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	-10.5
Russian Federation	0,00
Rwanda	115.4
Samoa	-5.8
San Marino	..
Sao Tome and Principe	5.2
Saudi Arabia	..
Senegal	28.6
Serbia	0,00
Seychelles	..
Sierra Leone	3.2
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	0.8
Somalia	0,00
South Africa	0,00
South Sudan	..
Spain	..
Sri Lanka	-39.8
St. Kitts and Nevis	..
St. Lucia	0,00
St. Martin (French part)	..
St. Vincent and the Grenadines	0,00
Sudan	0.8
Suriname	..
Eswatini	-2.2
Sweden	..
Switzerland	..
Syrian Arab Republic	0,00
Tajikistan	-10.1
Tanzania	143,00
Thailand	0,00
Timor-Leste	13.2
Togo	1.7
Tonga	1.4
Trinidad and Tobago	..
Tunisia	0,00
Turkey	0,00
Turkmenistan	0,00
Turks and Caicos Islands	..
Tuvalu	..
Uganda	106.9
Ukraine	0,00
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	44.8
Vanuatu	0.4
Venezuela, RB	0,00
Vietnam	180.9
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	0,00
Zambia	17.4
Zimbabwe	0,00
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	-43.6
Sub-Saharan Africa	..
Low income	884.9
Lower middle income	319.5
Upper middle income	-160.6
High income	..
