Country	%
Afghanistan	..
Albania	53
Algeria	..
American Samoa	..
Andorra	100
Angola	..
Antigua and Barbuda	83
Argentina	100
Armenia	100
Aruba	..
Australia	100
Austria	100
Azerbaijan	..
Bahamas, The	89
Bahrain	96
Bangladesh	..
Barbados	79
Belarus	100
Belgium	100
Belize	89
Benin	..
Bermuda	..
Bhutan	..
Bolivia	..
Bosnia and Herzegovina	95
Botswana	..
Brazil	99
Brunei Darussalam	100
Bulgaria	100
Burkina Faso	..
Burundi	..
Cabo Verde	93
Cambodia	..
Cameroon	..
Canada	100
Cayman Islands	..
Central African Republic	..
Chad	..
Channel Islands	..
Chile	95
China	62
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	80
Comoros	..
Congo, Dem. Rep.	..
Congo, Rep.	..
Costa Rica	87
Cote d'Ivoire	..
Croatia	100
Cuba	100
Curacao	..
Cyprus	68
Czech Republic	100
Denmark	100
Djibouti	..
Dominica	100
Dominican Republic	58
Ecuador	82
Egypt, Arab Rep.	94
El Salvador	93
Equatorial Guinea	..
Eritrea	..
Estonia	100
Eswatini	..
Ethiopia	..
Faroe Islands	..
Fiji	100
Finland	100
France	100
French Polynesia	..
Gabon	..
Gambia, The	..
Georgia	90
Germany	100
Ghana	..
Greece	100
Greenland	..
Grenada	100
Guam	..
Guatemala	100
Guinea	..
Guinea-Bissau	..
Guyana	90
Haiti	..
Honduras	14
Hungary	100
Iceland	100
India	10
Indonesia	..
Iran, Islamic Rep.	90
Iraq	65
Ireland	100
Isle of Man	..
Israel	100
Italy	100
Jamaica	94
Japan	100
Jordan	56
Kazakhstan	91
Kenya	..
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	100
Kosovo	..
Kuwait	59
Kyrgyz Republic	91
Lao PDR	..
Latvia	100
Lebanon	..
Lesotho	..
Liberia	..
Libya	..
Liechtenstein	..
Lithuania	100
Luxembourg	100
Madagascar	..
Malawi	..
Malaysia	52
Maldives	91
Mali	..
Malta	100
Marshall Islands	..
Mauritania	..
Mauritius	100
Mexico	100
Micronesia, Fed. Sts.	..
Moldova	90
Monaco	100
Mongolia	84
Montenegro	94
Morocco	29
Mozambique	..
Myanmar	..
Namibia	..
Nepal	..
Netherlands	100
New Caledonia	..
New Zealand	100
Nicaragua	68
Niger	..
Nigeria	..
North Macedonia	100
Northern Mariana Islands	..
Norway	100
Oman	74
Pakistan	..
Palau	95
Panama	92
Papua New Guinea	..
Paraguay	88
Peru	57
Philippines	89
Poland	100
Portugal	100
Puerto Rico	..
Qatar	77
Romania	100
Russian Federation	100
Rwanda	..
Samoa	..
San Marino	100
Sao Tome and Principe	..
Saudi Arabia	42
Senegal	..
Serbia	94
Seychelles	91
Sierra Leone	..
Singapore	66
Sint Maarten (Dutch part)	..
Slovak Republic	100
Slovenia	100
Solomon Islands	..
Somalia	..
South Africa	92
South Sudan	..
Spain	100
Sri Lanka	..
St. Kitts and Nevis	88
St. Lucia	97
St. Martin (French part)	..
St. Vincent and the Grenadines	100
Sudan	..
Suriname	80
Sweden	100
Switzerland	100
Syrian Arab Republic	83
Tajikistan	87
Tanzania	..
Thailand	87
Timor-Leste	..
Togo	..
Tonga	..
Trinidad and Tobago	83
Tunisia	29
Turkey	92
Turkmenistan	85
Turks and Caicos Islands	..
Tuvalu	..
Uganda	..
Ukraine	99
United Arab Emirates	59
United Kingdom	100
United States	100
Uruguay	100
Uzbekistan	93
Vanuatu	..
Venezuela, RB	89
Vietnam	..
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	..
Zambia	..
Zimbabwe	..
World	66.9
East Asia & Pacific	69.4
Europe & Central Asia	98.1
Latin America & Caribbean	92.8
Middle East & North Africa	75.3
North America	100
South Asia	10
Sub-Saharan Africa	..
Low income	..
Lower middle income	..
Upper middle income	75.9
High income	99.1
