Country	Consumption (2010)	Consumption (2019)
Afghanistan	114.5	91.9
Albania	89.3	91.8
Algeria	51.5	62.6
American Samoa	..	..
Andorra	..	..
Angola	52.8	66.8
Antigua and Barbuda	..	..
Argentina	79.4	79.6
Armenia	98.3	96.9
Aruba	87.6	77.5
Australia	74.2	74.5
Austria	74	70.8
Azerbaijan	50.2	67.5
Bahamas, The	74.2	81.2
Bahrain	54.1	55.9
Bangladesh	79.2	75.2
Barbados	93.2	89.7
Belarus	71.7	70.9
Belgium	75.2	74.6
Belize	86.5	85.9
Benin	89.7	78.8
Bermuda	70.5	..
Bhutan	65.8	77.6
Bolivia	76.1	86.6
Bosnia and Herzegovina	107.9	96.3
Botswana	68.9	69.7
Brazil	79.2	85.2
Brunei Darussalam	36.9	45.5
Bulgaria	80.2	77.1
Burkina Faso	86.1	78.7
Burundi	102.9	105.2
Cabo Verde	81.5	79.2
Cambodia	87.6	74.2
Cameroon	81.6	81.1
Canada	78.7	79
Cayman Islands	..	..
Central African Republic	89.9	101.3
Chad	72.2	79.7
Channel Islands	..	..
Chile	70.4	77.6
China	48.9	55.1
Hong Kong SAR, China	70.2	79.3
Macao SAR, China	31.6	35.7
Colombia	79.7	84
Comoros	102.1	101.6
Congo, Dem. Rep.	79.7	77.8
Congo, Rep.	49.1	38.6
Costa Rica	82.2	80.7
Cote d'Ivoire	79.3	77.5
Croatia	80.6	77.8
Cuba	85.1	86
Curacao	96.2	..
Cyprus	84.3	81.3
Czech Republic	69.8	67.7
Denmark	75	70.6
Djibouti	..	63.8
Dominica	..	..
Dominican Republic	84.3	80.8
Ecuador	76.5	75
Egypt, Arab Rep.	85.7	93.8
El Salvador	103	99
Equatorial Guinea	35.1	83.9
Eritrea	145.5	..
Estonia	72.1	68.6
Eswatini	95.5	89.3
Ethiopia	82.8	77.7
Faroe Islands	84.6	..
Fiji	..	..
Finland	76.3	75.7
France	79.3	76.8
French Polynesia	..	..
Gabon	44.1	47.8
Gambia, The	103.4	104.3
Georgia	96.5	82.1
Germany	74.7	72.6
Ghana	100.7	77.9
Greece	91.6	87.5
Greenland	90	80.3
Grenada	..	..
Guam	..	..
Guatemala	96.6	96
Guinea	92.5	82
Guinea-Bissau	109.5	101.2
Guyana	102.5	76.3
Haiti	124	113
Honduras	96	93.8
Hungary	74.1	67.7
Iceland	76.2	75.1
India	65.7	72
Indonesia	65.2	66.7
Iran, Islamic Rep.	53.7	61.1
Iraq	63.4	84.7
Ireland	66.4	42.4
Isle of Man	..	..
Israel	79.3	77.8
Italy	81.3	79
Jamaica	98	89.8
Japan	77.2	75.4
Jordan	90	100.7
Kazakhstan	56.2	61.6
Kenya	91.3	95.5
Kiribati	151.3	150.7
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	64.6	65.8
Kosovo	102.6	98.6
Kuwait	46	61.8
Kyrgyz Republic	102.7	98.9
Lao PDR	86.5	..
Latvia	81.5	77.8
Lebanon	100.1	101.9
Lesotho	133	112.9
Liberia	154	147.2
Libya	32.3	..
Liechtenstein	..	..
Lithuania	83.9	77.7
Luxembourg	49.2	46.6
Madagascar	87.1	84.9
Malawi	89.3	93.1
Malaysia	60.7	71.5
Maldives	..	..
Mali	88.3	88.1
Malta	77.3	59.8
Marshall Islands	130.9	129.9
Mauritania	69.7	69.6
Mauritius	87	90.5
Mexico	77.1	77
Micronesia, Fed. Sts.	..	..
Moldova	108.4	98.4
Monaco	..	..
Mongolia	67.9	67.5
Montenegro	103.9	90.2
Morocco	76.7	77
Mozambique	92	92.2
Myanmar	67.3	70.4
Namibia	88.8	99.1
Nepal	88.5	81
Netherlands	71.7	68.1
New Caledonia	..	..
New Zealand	77.6	75.9
Nicaragua	94.6	87.7
Niger	87.1	85.7
Nigeria	76	82.2
North Macedonia	93.8	79.8
Northern Mariana Islands	..	..
Norway	63.3	69.3
Oman	51.8	65
Pakistan	90	94.6
Palau	107.4	101.8
Panama	70	63
Papua New Guinea	..	..
Paraguay	73.3	77.4
Peru	72.3	77.9
Philippines	79.9	85.7
Poland	80.7	75.2
Portugal	86.5	81
Puerto Rico	68.7	71.5
Qatar	30.2	41.9
Romania	79.3	80.9
Russian Federation	70.2	68.7
Rwanda	95.3	89.5
Samoa	..	..
San Marino	..	57.2
Sao Tome and Principe	..	..
Saudi Arabia	52.5	62.8
Senegal	93.2	82.1
Serbia	94.6	85.2
Seychelles	77.6	85.3
Sierra Leone	86.6	108.2
Singapore	46	46.2
Sint Maarten (Dutch part)	85.4	91.8
Slovak Republic	76.4	75.7
Slovenia	76.6	70.1
Solomon Islands	..	..
Somalia	..	..
