Country	Revenue % (2010)	Revenue % (2018)
Afghanistan	5	7
Albania	3	1
Algeria	..	..
American Samoa	..	..
Andorra	..	..
Angola	4	4
Antigua and Barbuda	..	..
Argentina	16	7
Armenia	4	6
Aruba	..	..
Australia	2	3
Austria	0	..
Azerbaijan	1	3
Bahamas, The	49	21
Bahrain	..	..
Bangladesh	24	25
Barbados	8	9
Belarus	11	13
Belgium	..	..
Belize	21	14
Benin	..	..
Bermuda	..	..
Bhutan	1	4
Bolivia	3	..
Bosnia and Herzegovina	0	0
Botswana	19	29
Brazil	2	2
Brunei Darussalam	..	..
Bulgaria	0	0
Burkina Faso	11	12
Burundi	..	..
Cabo Verde	12	13
Cambodia	15	11
Cameroon	12	12
Canada	1	2
Cayman Islands	..	..
Central African Republic	13	22
Chad	..	..
Channel Islands	..	..
Chile	1	1
China	4	2
Hong Kong SAR, China	..	..
Macao SAR, China	..	..
Colombia	5	2
Comoros	..	..
Congo, Dem. Rep.	..	..
Congo, Rep.	2	5
Costa Rica	4	5
Cote d'Ivoire	42	25
Croatia	1	0
Cuba	..	..
Curacao	..	..
Cyprus	0	0
Czech Republic	..	..
Denmark	..	..
Djibouti	..	..
Dominica	..	..
Dominican Republic	8	6
Ecuador	..	..
Egypt, Arab Rep.	5	4
El Salvador	5	3
Equatorial Guinea	1	1
Eritrea	..	..
Estonia	..	..
Eswatini	..	..
Ethiopia	29	22
Faroe Islands	..	..
Fiji	20	19
Finland	0	..
France	0	0
French Polynesia	..	..
Gabon	16	16
Gambia, The	24	..
Georgia	1	1
Germany	..	..
Ghana	17	13
Greece	0	0
Greenland	..	..
Grenada	..	..
Guam	..	..
Guatemala	7	5
Guinea	..	..
Guinea-Bissau	..	18
Guyana	..	..
Haiti	..	..
Honduras	4	3
Hungary	0	..
Iceland	1	0
India	13	11
Indonesia	3	2
Iran, Islamic Rep.	6	..
Iraq	..	1
Ireland	..	..
Isle of Man	..	..
Israel	1	1
Italy	..	..
Jamaica	9	11
Japan	2	1
Jordan	6	4
Kazakhstan	17	19
Kenya	..	7
Kiribati	17	2
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	4	2
Kosovo	..	..
Kuwait	1	2
Kyrgyz Republic	..	11
Lao PDR	..	..
Latvia	0	0
Lebanon	7	5
Lesotho	9	11
Liberia	32	..
Libya	..	..
Liechtenstein	..	..
Lithuania	..	..
Luxembourg	..	..
Madagascar	11	12
Malawi	6	8
Malaysia	2	2
Maldives	32	..
Mali	10	11
Malta	0	..
Marshall Islands	8	6
Mauritania	..	..
Mauritius	2	1
Mexico	1	2
Micronesia, Fed. Sts.	5	3
Moldova	4	3
Monaco	..	..
Mongolia	6	7
Montenegro	..	..
Morocco	6	3
Mozambique	5	7
Myanmar	4	3
Namibia	26	29
Nepal	16	16
Netherlands	0	..
New Caledonia	..	..
New Zealand	3	3
Nicaragua	4	3
Niger	..	..
Nigeria	..	..
North Macedonia	4	3
Northern Mariana Islands	..	..
Norway	0	0
Oman	..	..
Pakistan	..	..
Palau	9	12
Panama	..	..
Papua New Guinea	..	6
Paraguay	8	7
Peru	2	1
Philippines	21	21
Poland	0	..
Portugal	..	..
Puerto Rico	..	..
Qatar	..	..
Romania	0	0
Russian Federation	26	11
Rwanda	..	5
Samoa	7	8
San Marino	1	0
Sao Tome and Principe	..	..
Saudi Arabia	2	2
Senegal	..	10
Serbia	4	..
Seychelles	18	4
Sierra Leone	..	..
Singapore	0	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	0	0
Slovenia	..	..
Solomon Islands	30	32
Somalia	..	36
South Africa	3	4
South Sudan	..	..
Spain	..	..
Sri Lanka	16	18
St. Kitts and Nevis	28	17
St. Lucia	45	29
St. Martin (French part)	..	..
St. Vincent and the Grenadines	16	18
Sudan	14	16
Suriname	..	..
Sweden	..	..
Switzerland	1	1
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	5	7
Thailand	5	3
Timor-Leste	0	2
Togo	18	16
Tonga	6	6
Trinidad and Tobago	4	6
Tunisia	6	..
Turkey	1	1
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	11
Ukraine	2	2
United Arab Emirates	0	0
United Kingdom	..	..
United States	1	2
Uruguay	4	3
Uzbekistan	7	4
Vanuatu	16	10
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	14	26
Yemen, Rep.	..	..
Zambia	8	6
Zimbabwe	31	8
World	4	4
East Asia & Pacific	3	3
Europe & Central Asia	1	1
Latin America & Caribbean	4	3
Middle East & North Africa	5	3
North America	1	2
South Asia	16	14
Sub-Saharan Africa	11	11
Low income	..	..
Lower middle income	6	7
Upper middle income	4	4
High income	1	..
