Country	2018
Afghanistan	65
Albania	20
Algeria	10
American Samoa	..
Andorra	..
Angola	148
Antigua and Barbuda	42
Argentina	63
Armenia	21
Aruba	21
Australia	11
Austria	7
Azerbaijan	56
Bahamas, The	29
Bahrain	13
Bangladesh	82
Barbados	31
Belarus	14
Belgium	5
Belize	68
Benin	84
Bermuda	..
Bhutan	19
Bolivia	64
Bosnia and Herzegovina	9
Botswana	45
Brazil	58
Brunei Darussalam	10
Bulgaria	39
Burkina Faso	102
Burundi	55
Cabo Verde	73
Cambodia	51
Cameroon	103
Canada	8
Cayman Islands	..
Central African Republic	127
Chad	158
Channel Islands	7
Chile	40
China	8
Hong Kong SAR, China	3
Macao SAR, China	2
Colombia	65
Comoros	64
Congo, Dem. Rep.	123
Congo, Rep.	111
Costa Rica	53
Cote d'Ivoire	116
Croatia	8
Cuba	52
Curacao	28
Cyprus	4
Czech Republic	12
Denmark	4
Djibouti	18
Dominica	..
Dominican Republic	93
Ecuador	79
Egypt, Arab Rep.	53
El Salvador	69
Equatorial Guinea	153
Eritrea	51
Estonia	7
Eswatini	75
Ethiopia	65
Faroe Islands	..
Fiji	49
Finland	6
France	5
French Polynesia	38
Gabon	94
Gambia, The	76
Georgia	45
Germany	8
Ghana	66
Greece	7
Greenland	..
Grenada	28
Guam	31
Guatemala	70
Guinea	133
Guinea-Bissau	103
Guyana	73
Haiti	51
Honduras	72
Hungary	24
Iceland	6
India	12
Indonesia	47
Iran, Islamic Rep.	41
Iraq	72
Ireland	7
Isle of Man	..
Israel	9
Italy	5
Jamaica	51
Japan	4
Jordan	26
Kazakhstan	29
Kenya	74
Kiribati	15
Korea, Dem. Peopleâ€™s Rep.	0
Korea, Rep.	1
Kosovo	..
Kuwait	8
Kyrgyz Republic	32
Lao PDR	65
Latvia	16
Lebanon	14
Lesotho	93
Liberia	136
Libya	6
Liechtenstein	..
Lithuania	10
Luxembourg	5
Madagascar	108
Malawi	132
Malaysia	13
Maldives	7
Mali	167
Malta	12
Marshall Islands	..
Mauritania	70
Mauritius	25
Mexico	59
Micronesia, Fed. Sts.	13
Moldova	22
Monaco	..
Mongolia	31
Montenegro	9
Morocco	31
Mozambique	146
Myanmar	28
Namibia	62
Nepal	64
Netherlands	4
New Caledonia	14
New Zealand	19
Nicaragua	83
Niger	184
Nigeria	105
North Macedonia	15
Northern Mariana Islands	..
Norway	5
Oman	13
Pakistan	38
Palau	..
Panama	81
Papua New Guinea	52
Paraguay	70
Peru	56
Philippines	55
Poland	10
Portugal	8
Puerto Rico	28
Qatar	10
Romania	36
Russian Federation	20
Rwanda	39
Samoa	23
San Marino	..
Sao Tome and Principe	93
Saudi Arabia	7
Senegal	71
Serbia	14
Seychelles	61
Sierra Leone	110
Singapore	4
Sint Maarten (Dutch part)	..
Slovak Republic	26
Slovenia	4
Solomon Islands	78
Somalia	98
South Africa	68
South Sudan	59
Spain	7
Sri Lanka	21
St. Kitts and Nevis	..
St. Lucia	40
St. Martin (French part)	..
St. Vincent and the Grenadines	48
Sudan	61
Suriname	61
Sweden	5
Switzerland	3
Syrian Arab Republic	38
Tajikistan	57
Tanzania	117
Thailand	45
Timor-Leste	32
Togo	89
Tonga	14
Trinidad and Tobago	29
Tunisia	8
Turkey	26
Turkmenistan	24
Turks and Caicos Islands	..
Tuvalu	..
Uganda	116
Ukraine	23
United Arab Emirates	6
United Kingdom	13
United States	19
Uruguay	58
Uzbekistan	24
Vanuatu	49
Venezuela, RB	85
Vietnam	29
Virgin Islands (U.S.)	28
West Bank and Gaza	52
Yemen, Rep.	59
Zambia	118
Zimbabwe	83
World	42
East Asia & Pacific	21
Europe & Central Asia	17
Latin America & Caribbean	62
Middle East & North Africa	40
North America	18
South Asia	25
Sub-Saharan Africa	101
Low income	94
Lower middle income	42
Upper middle income	33
High income	12
