Country	Imports (2010)	Imports (2019)
Afghanistan	69	79
Albania	16	11
Algeria	26	32
American Samoa	..	..
Andorra	..	..
Angola	19	39
Antigua and Barbuda	33	21
Argentina	26	20
Armenia	36	23
Aruba	17	14
Australia	27	18
Austria	32	29
Azerbaijan	21	23
Bahamas, The	31	29
Bahrain	40	13
Bangladesh	84	60
Barbados	24	16
Belarus	46	33
Belgium	24	22
Belize	38	32
Benin	62	69
Bermuda	27	23
Bhutan	38	23
Bolivia	41	26
Bosnia and Herzegovina	34	37
Botswana	10	21
Brazil	19	17
Brunei Darussalam	37	13
Bulgaria	27	38
Burkina Faso	44	47
Burundi	71	74
Cabo Verde	34	34
Cambodia	61	53
Cameroon	36	37
Canada	22	21
Cayman Islands	..	13
Central African Republic	..	..
Chad	..	..
Channel Islands	..	..
Chile	52	36
China	45	21
Hong Kong SAR, China	22	22
Macao SAR, China	12	10
Colombia	30	24
Comoros	62	51
Congo, Dem. Rep.	61	47
Congo, Rep.	23	65
Costa Rica	42	29
Cote d'Ivoire	59	53
Croatia	22	14
Cuba	..	..
Curacao	15	12
Cyprus	31	25
Czech Republic	25	23
Denmark	50	45
Djibouti	67	90
Dominica	47	24
Dominican Republic	54	47
Ecuador	58	41
Egypt, Arab Rep.	51	42
El Salvador	44	35
Equatorial Guinea	..	..
Eritrea	..	..
Estonia	33	31
Eswatini	11	16
Ethiopia	65	67
Faroe Islands	22	..
Fiji	60	51
Finland	21	18
France	24	20
French Polynesia	42	31
Gabon	38	..
Gambia, The	47	77
Georgia	55	54
Germany	25	19
Ghana	46	23
Greece	54	60
Greenland	..	..
Grenada	52	26
Guam	..	..
Guatemala	46	44
Guinea	59	50
Guinea-Bissau	28	29
Guyana	31	31
Haiti	81	73
Honduras	53	50
Hungary	21	25
Iceland	17	18
India	18	18
Indonesia	33	30
Iran, Islamic Rep.	..	..
Iraq	51	30
Ireland	2	1
Isle of Man	..	..
Israel	31	26
Italy	23	21
Jamaica	41	37
Japan	29	17
Jordan	49	56
Kazakhstan	17	22
Kenya	49	36
Kiribati	58	51
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	32	22
Kosovo	19	20
Kuwait	28	13
Kyrgyz Republic	53	52
Lao PDR	9	11
Latvia	29	31
Lebanon	14	14
Lesotho	16	13
Liberia	12	44
Libya	45	29
Liechtenstein	..	..
Lithuania	53	52
Luxembourg	5	5
Madagascar	38	49
Malawi	42	28
Malaysia	32	27
Maldives	34	31
Mali	61	59
Malta	5	6
Marshall Islands	51	55
Mauritania	36	41
Mauritius	28	28
Mexico	40	41
Micronesia, Fed. Sts.	54	..
Moldova	39	36
Monaco	..	..
Mongolia	37	31
Montenegro	34	44
Morocco	47	47
Mozambique	32	13
Myanmar	60	46
Namibia	22	25
Nepal	33	35
Netherlands	17	15
New Caledonia	27	26
New Zealand	28	23
Nicaragua	49	47
Niger	64	61
Nigeria	43	21
North Macedonia	39	29
Northern Mariana Islands	..	..
Norway	25	23
Oman	42	39
Pakistan	57	38
Palau	54	54
Panama	57	39
Papua New Guinea	22	20
Paraguay	69	62
Peru	42	30
Philippines	28	18
Poland	20	24
Portugal	26	24
Puerto Rico	..	..
Qatar	63	41
Romania	19	20
Russian Federation	16	16
Rwanda	79	51
Samoa	46	43
San Marino	..	..
Sao Tome and Principe	91	35
Saudi Arabia	25	33
Senegal	50	57
Serbia	29	25
Seychelles	50	33
Sierra Leone	49	38
Singapore	29	31
Sint Maarten (Dutch part)	19	10
Slovak Republic	26	28
Slovenia	20	20
Solomon Islands	25	23
Somalia	..	..
South Africa	37	43
South Sudan	..	66
Spain	16	14
Sri Lanka	66	38
St. Kitts and Nevis	42	23
St. Lucia	41	25
St. Martin (French part)	..	..
St. Vincent and the Grenadines	53	41
Sudan	42	74
Suriname	31	8
Sweden	24	15
Switzerland	14	11
Syrian Arab Republic	46	..
Tajikistan	86	80
Tanzania	39	41
Thailand	46	32
Timor-Leste	9	21
Togo	62	65
Tonga	60	30
Trinidad and Tobago	33	26
Tunisia	52	49
Turkey	44	29
Turkmenistan	..	..
Turks and Caicos Islands	..	83
Tuvalu	20	..
Uganda	60	58
Ukraine	33	16
United Arab Emirates	..	..
United Kingdom	16	12
United States	20	19
Uruguay	46	26
Uzbekistan	..	47
Vanuatu	54	58
Venezuela, RB	33	29
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	13	26
Yemen, Rep.	49	54
Zambia	56	55
Zimbabwe	54	24
World	28	22
East Asia & Pacific	35	22
Europe & Central Asia	24	20
Latin America & Caribbean	36	32
Middle East & North Africa	38	34
North America	20	20
South Asia	28	24
Sub-Saharan Africa	41	40
Low income	54	59
Lower middle income	34	26
Upper middle income	38	26
High income	24	20
