Country	$ billions	$ per capita
Afghanistan	2.9	0.5
Albania	2.2	2.7
Algeria	0.8	-1.1
American Samoa	2.2	2.5
Andorra	1.8	1.7
Angola	-0.9	-4.0
Antigua and Barbuda	4.7	3.8
Argentina	-2.2	-3.1
Armenia	7.6	7.4
Aruba	2.0	1.5
Australia	1.9	0.4
Austria	1.6	1.2
Azerbaijan	2.2	1.4
Bahamas, The	1.8	0.8
Bahrain	1.8	-2.6
Bangladesh	8.2	7.0
Barbados	-0.1	-0.2
Belarus	1.2	1.4
Belgium	1.4	0.9
Belize	0.3	-1.6
Benin	6.9	4.0
Bermuda	..	..
Bhutan	3.0	1.8
Bolivia	2.2	0.8
Bosnia and Herzegovina	2.6	3.3
Botswana	3.0	0.8
Brazil	1.1	0.4
Brunei Darussalam	3.9	2.8
Bulgaria	3.4	4.1
Burkina Faso	5.7	2.7
Burundi	1.8	-1.3
Cambodia	7.1	5.5
Cameroon	4.0	1.4
Canada	1.7	0.2
Cabo Verde	5.7	4.5
Cayman Islands	3.3	2.0
Central African Republic	3.0	1.3
Chad	3.2	0.2
Channel Islands	..	..
Chile	1.1	-0.1
China	6.1	5.7
Hong Kong SAR, China	-1.2	-1.9
Macao SAR, China	-4.7	-6.0
Colombia	3.3	1.9
Comoros	2.7	0.5
Congo, Dem. Rep.	4.4	1.1
Congo, Rep.	-0.9	-3.4
Costa Rica	2.1	1.1
Cote d'Ivoire	6.9	4.2
Croatia	2.9	3.5
Cuba	2.2	2.3
Curacao	-2.2	-1.9
Cyprus	3.2	1.9
Czech Republic	2.6	2.2
Denmark	2.4	1.9
Djibouti	7.5	5.9
Dominica	5.7	5.4
Dominican Republic	5.1	4.0
Ecuador	0.1	-1.6
Egypt, Arab Rep.	5.6	3.5
El Salvador	2.4	1.9
Equatorial Guinea	-5.6	-8.8
Eritrea	..	..
Estonia	4.3	4.0
Eswatini	2.0	1.0
Ethiopia	8.3	5.5
Faroe Islands	..	..
Fiji	1.1	0.3
Finland	1.0	0.9
France	1.5	1.4
French Polynesia	..	..
Gabon	3.4	0.9
Gambia, The	6.0	2.9
Georgia	5.1	5.3
Germany	0.6	0.3
Ghana	6.5	4.2
Greece	1.9	2.0
Greenland	3.2	3.5
Grenada	3.1	2.6
Guam	-0.3	-1.2
Guatemala	3.8	2.2
Guinea	5.6	2.6
Guinea-Bissau	4.6	2.1
Guyana	4.7	4.2
Haiti	-0.9	-2.2
Honduras	2.7	1.0
Hungary	4.9	5.0
Iceland	1.9	-0.5
India	5.0	4.0
Indonesia	5.0	3.9
Iran, Islamic Rep.	3.8	2.3
Iraq	4.4	2.1
Ireland	5.5	4.0
Isle of Man	3.6	3.2
Israel	3.5	1.6
Italy	0.3	0.5
Jamaica	0.7	0.2
Japan	0.7	0.9
Jordan	2.0	0.5
Kazakhstan	4.5	3.2
Kenya	5.4	3.0
Kiribati	2.2	0.7
Korea, Dem. People’s Rep.	..	..
Korea, Rep.	2.0	1.8
Kosovo	4.2	4.3
Kuwait	0.4	-1.3
Kyrgyz Republic	4.5	2.3
Lao PDR	4.7	3.1
Latvia	2.2	3.0
Lebanon	-5.6	-5.7
Lesotho	1.5	0.7
Liberia	-2.3	-4.6
Libya	2.5	1.0
Liechtenstein	..	..
Lithuania	3.9	4.5
Luxembourg	2.3	0.3
Madagascar	4.8	2.1
Malawi	4.4	1.6
Malaysia	4.3	3.0
Maldives	5.2	2.2
Mali	5.0	1.9
Malta	4.4	0.6
Marshall Islands	3.6	3.0
Mauritania	5.9	3.1
Mauritius	3.6	3.5
