Country	Institution
Afghanistan	0
Albania	-0.9
Algeria	0
American Samoa	..
Andorra	..
Angola	1012.5
Antigua and Barbuda	..
Argentina	28623.2
Armenia	-32.9
Aruba	..
Australia	..
Austria	..
Azerbaijan	0
Bahamas, The	..
Bahrain	..
Bangladesh	-51.8
Barbados	..
Belarus	0
Belgium	..
Belize	0
Benin	23.9
Bermuda	..
Bhutan	0
Bolivia	0
Bosnia and Herzegovina	-113.7
Botswana	0
Brazil	0
Brunei Darussalam	..
Bulgaria	0
Burkina Faso	-8.6
Burundi	0
Cabo Verde	0
Cambodia	0
Cameroon	128.2
Canada	..
Cayman Islands	..
Central African Republic	50.1
Chad	0
Channel Islands	..
Chile	..
China	0
Hong Kong SAR, China	..
Macao SAR, China	..
Colombia	0
Comoros	-3.2
Congo, Dem. Rep.	-93.8
Congo, Rep.	-2.4
Costa Rica	0
Cote d'Ivoire	118.9
Croatia	..
Cuba	..
Curacao	..
Cyprus	..
Czech Republic	..
Denmark	..
Djibouti	-6.3
Dominica	0
Dominican Republic	0
Ecuador	0
Egypt, Arab Rep.	2028.8
El Salvador	0
Equatorial Guinea	..
Eritrea	0
Estonia	..
Ethiopia	-53
Faroe Islands	..
Fiji	0
Finland	..
France	..
French Polynesia	..
Gabon	202.3
Gambia, The	-7.8
Georgia	28.3
Germany	..
Ghana	78.4
Greece	..
Greenland	..
Grenada	-4.9
Guam	..
Guatemala	0
Guinea	48.7
Guinea-Bissau	0
Guyana	0
Haiti	-9.6
Honduras	0
Hungary	..
Iceland	..
India	0
Indonesia	0
Iran, Islamic Rep.	0
Iraq	..
Ireland	..
Isle of Man	..
Israel	..
Italy	..
Jamaica	-52.5
Japan	..
Jordan	-492.9
Kazakhstan	0
Kenya	0
Kiribati	..
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	..
Kosovo	-5
Kuwait	..
Kyrgyz Republic	-29.3
Lao PDR	0
Latvia	..
Lebanon	0
Lesotho	-11.9
Liberia	0
Libya	..
Liechtenstein	..
Lithuania	..
Luxembourg	..
North Macedonia	0
Madagascar	0
Malawi	0
Malaysia	..
Maldives	-0.6
Mali	116.5
Malta	..
Marshall Islands	..
Mauritania	0
Mauritius	0
Mexico	0
Micronesia, Fed. Sts.	..
Moldova	-54.5
Monaco	..
Mongolia	103.9
Montenegro	0
Morocco	0
Mozambique	0
Myanmar	0
Namibia	..
Nepal	-8.1
Netherlands	..
New Caledonia	..
New Zealand	..
Nicaragua	-18.7
Niger	0
Nigeria	0
Northern Mariana Islands	..
Norway	..
Oman	..
Pakistan	-212.4
Palau	..
Panama	..
Papua New Guinea	0
Paraguay	0
Peru	0
Philippines	0
Poland	..
Portugal	..
Puerto Rico	..
Qatar	..
Romania	0
Russian Federation	0
Rwanda	0
Samoa	-2.5
San Marino	..
Sao Tome and Principe	0.4
Saudi Arabia	..
Senegal	0
Serbia	0
Seychelles	..
Sierra Leone	0
Singapore	..
Sint Maarten (Dutch part)	..
Slovak Republic	..
Slovenia	..
Solomon Islands	0
Somalia	0
South Africa	0
South Sudan	..
Spain	..
Sri Lanka	251.7
St. Kitts and Nevis	..
St. Lucia	-3
St. Martin (French part)	..
St. Vincent and the Grenadines	-3.5
Sudan	0
Suriname	..
Eswatini	0
Sweden	..
Switzerland	..
Syrian Arab Republic	0
Tajikistan	-29.6
Tanzania	-85.4
Thailand	0
Timor-Leste	0
Togo	46.1
Tonga	0
Trinidad and Tobago	..
Tunisia	228.1
Turkey	0
Turkmenistan	0
Turks and Caicos Islands	..
Tuvalu	..
Uganda	0
Ukraine	-688.7
United Arab Emirates	..
United Kingdom	..
United States	..
Uruguay	..
Uzbekistan	0
Vanuatu	-3
Venezuela, RB	0
Vietnam	0
Virgin Islands (U.S.)	..
West Bank and Gaza	..
Yemen, Rep.	-27.1
Zambia	-61.3
Zimbabwe	0
World	..
East Asia & Pacific	..
Europe & Central Asia	..
Latin America & Caribbean	..
Middle East & North Africa	..
North America	..
South Asia	-21.1
Sub-Saharan Africa	..
Low income	-37.6
Lower middle income	2555.7
Upper middle income	28393.2
High income	..
