Country	Rents %
Afghanistan	0
Albania	0
Algeria	2
American Samoa	0
Andorra	..
Angola	0.1
Antigua and Barbuda	0
Argentina	0.1
Armenia	0
Aruba	0
Australia	0.5
Austria	0
Azerbaijan	2.1
Bahamas, The	0
Bahrain	1.4
Bangladesh	0.4
Barbados	0
Belarus	0
Belgium	0
Belize	0
Benin	0
Bermuda	0
Bhutan	0
Bolivia	1.2
Bosnia and Herzegovina	0
Botswana	0
Brazil	0
Brunei Darussalam	7.8
Bulgaria	0
Burkina Faso	0
Burundi	0
Cambodia	0
Cameroon	0.1
Canada	0
Cabo Verde	0
Cayman Islands	..
Central African Republic	0
Chad	0
Channel Islands	..
Chile	0
China	0.1
Hong Kong SAR, China	0
Macao SAR, China	0
Colombia	0.1
Comoros	0
Congo, Dem. Rep.	0
Congo, Rep.	0.8
Costa Rica	0
Cote d'Ivoire	0.3
Croatia	0.1
Cuba	0
Curacao	..
Cyprus	0
Czech Republic	0
Denmark	0.1
Djibouti	0
Dominica	0
Dominican Republic	0
Ecuador	0
Egypt, Arab Rep.	0.4
El Salvador	0
Equatorial Guinea	2.6
Eritrea	..
Estonia	0
Eswatini	0
Ethiopia	0
Faroe Islands	0
Fiji	0
Finland	0
France	0
French Polynesia	..
Gabon	0.1
Gambia, The	0
Georgia	0
Germany	0
Ghana	0
Greece	0
Greenland	0
Grenada	0
Guam	0
Guatemala	0
Guinea	0
Guinea-Bissau	0
Guyana	0
Haiti	0
Honduras	0
Hungary	0.1
Iceland	0
India	0
Indonesia	0.6
Iran, Islamic Rep.	1.5
Iraq	0.2
Ireland	0
Isle of Man	..
Israel	0.1
Italy	0
Jamaica	0
Japan	0
Jordan	0
Kazakhstan	0.8
Kenya	0
Kiribati	0
Korea, Dem. Peopleâ€™s Rep.	..
Korea, Rep.	0
Kosovo	0
Kuwait	0.5
Kyrgyz Republic	0
Lao PDR	0
Latvia	0
Lebanon	0
Lesotho	0
Liberia	0
Libya	1.3
Liechtenstein	..
Lithuania	0
Luxembourg	0
North Macedonia	0
Madagascar	0
Malawi	0
Malaysia	1.9
Maldives	0
Mali	0
Malta	0
Marshall Islands	..
Mauritania	0
Mauritius	0
Mexico	0.1
Micronesia, Fed. Sts.	..
Moldova	0
Monaco	..
Mongolia	0
Montenegro	0
Morocco	0
Mozambique	2.4
Myanmar	2.1
Namibia	0
Nepal	0
Netherlands	0.3
New Caledonia	..
New Zealand	0.2
Nicaragua	0
Niger	0
Nigeria	0.5
Northern Mariana Islands	..
Norway	1.4
Oman	1.5
Pakistan	0.4
Palau	..
Panama	0
Papua New Guinea	4.3
Paraguay	0
Peru	0.2
Philippines	0.1
Poland	0
Portugal	0
Puerto Rico	0
Qatar	3.6
Romania	0.2
Russian Federation	1.9
Rwanda	0
Samoa	0
San Marino	..
Sao Tome and Principe	0
Saudi Arabia	0.5
Senegal	0
Serbia	0
Seychelles	0
Sierra Leone	0
Singapore	0
Sint Maarten (Dutch part)	..
Slovak Republic	0
Slovenia	0
Solomon Islands	0
Somalia	0
South Africa	0
South Sudan	0
Spain	0
Sri Lanka	0
St. Kitts and Nevis	0
St. Lucia	0
St. Martin (French part)	..
St. Vincent and the Grenadines	0
Sudan	0
Suriname	0
Sweden	0
Switzerland	0
Syrian Arab Republic	..
Tajikistan	0
Tanzania	0.1
Thailand	0.6
Timor-Leste	19.1
Togo	0
Tonga	0
Trinidad and Tobago	3
Tunisia	0.2
Turkey	0
Turkmenistan	8.2
Turks and Caicos Islands	..
Tuvalu	..
Uganda	0
Ukraine	0.7
United Arab Emirates	0.5
United Kingdom	0.1
United States	0
Uruguay	0
Uzbekistan	3.2
Vanuatu	0
Venezuela, RB	0.3
Vietnam	0.4
Virgin Islands (U.S.)	0
West Bank and Gaza	0
Yemen, Rep.	0
Zambia	0
Zimbabwe	0
World	0.1
East Asia & Pacific	0.2
Europe & Central Asia	0.2
Latin America & Caribbean	0.1
Middle East & North Africa	0.8
North America	0
South Asia	0.1
Sub-Saharan Africa	0.2
Low income	0.1
Lower middle income	0.3
Upper middle income	0.3
High income	0.1
